Data		DIGSA	ELEIN	SETGL	SETVI
04/02/08	93	0.0	0.0	6.0	13.0
04/04/08	95	0.3	0.0	8.0	22.3
04/09/08	100	2.4	0.0	19.4	29.9
04/13/08	104	8.3	0.0	28.6	41.1
04/18/08	109	11.7	0.0	31.6	53.4
04/20/08	111	13.0	0.0	34.0	54.9
04/24/08	115	16.4	0.4	40.0	60.1
04/27/08	118	21.3	0.8	48.0	66.4
05/02/08	123	36.1	4.7	55.0	77.5
05/04/08	125	53.9	5.9	60.0	85.9
05/07/08	128	56.0	7.9	68.0	87.0
05/10/08	131	56.0	16.9	70.0	89.6
05/15/08	136	58.0	17.0	70.0	89.6
05/18/08	139	70.0	20.0	76.7	92.2
05/22/08	143	76.0	35.0	89.3	94.4
05/24/08	145	86.0	56.4	94.2	95.9
05/29/08	150	93.1	64.3	95.6	96.7
06/01/08	153	94.1	67.4	97.6	97.4
06/05/08	157	95.2	70.6	98.1	98.1
06/08/08	160	95.9	72.9	98.5	98.5
06/12/08	164	96.6	75.7	99.0	99.3
06/15/08	167	96.6	80.0	99.0	100.0
06/19/08	171	98.0	85.0	99.0	100.0
06/22/08	174	98.5	86.0	99.0	100.0
06/26/08	178	99.1	86.0	100.0	100.0
06/29/08	181	99.9	87.0	100.0	100.0
07/03/08	185	100.0	89.0	100.0	100.0
07/06/08	188	100.0	89.0	100.0	100.0
07/10/08	192	100.0	92.0	100.0	100.0
07/18/08	200	100.0	92.0	100.0	100.0
07/25/08	207	100.0	93.0	100.0	100.0
15/08/2008	228	100.0	100.0	100.0	100.0
