Date	Tmin	Tmax
01/05/2008	23.3	32.8
02/05/2008	24.4	34.4
03/05/2008	23.9	31.1
04/05/2008	21.7	32.8
05/05/2008	24.4	32.2
06/05/2008	23.9	33.3
07/05/2008	24.4	33.3
08/05/2008	20.6	36.1
09/05/2008	23.3	33.9
10/05/2008	24.4	35.6
11/05/2008	24.4	32.2
12/05/2008	21.1	32.8
13/05/2008	25.6	35
14/05/2008	26.1	33.3
15/05/2008	24.4	34.4
16/05/2008	19.4	27.8
17/05/2008	20	27.8
18/05/2008	17.8	32.8
19/05/2008	18.9	34.4
20/05/2008	23.3	35
21/05/2008	25	33.9
22/05/2008	26.1	35
23/05/2008	25.6	36.1
24/05/2008	25	35.6
25/05/2008	26.7	33.9
26/05/2008	26.1	33.9
27/05/2008	23.9	33.9
28/05/2008	21.7	33.3
29/05/2008	20.6	33.3
30/05/2008	21.1	33.9
31/05/2008	21.1	35
01/06/2008	21.1	35.6
02/06/2008	22.8	35.6
03/06/2008	23.3	35.6
04/06/2008	25.6	35.6
05/06/2008	26.1	35.6
06/06/2008	26.1	35.6
07/06/2008	23.9	32.8
08/06/2008	24.4	35
09/06/2008	23.3	35
10/06/2008	24.4	35
11/06/2008	22.8	35.6
12/06/2008	22.2	36.1
13/06/2008	23.9	35.6
14/06/2008	23.3	35.6
15/06/2008	23.3	36.7
16/06/2008	23.3	36.1
17/06/2008	22.8	36.7
18/06/2008	22.2	37.2
19/06/2008	22.8	37.2
20/06/2008	21.7	36.1
21/06/2008	22.2	35
22/06/2008	22.8	35
23/06/2008	21.1	35.6
24/06/2008	21.7	33.3
25/06/2008	23.3	36.1
26/06/2008	23.9	35.6
27/06/2008	23.3	36.1
28/06/2008	23.9	34.4
29/06/2008	23.9	35.6
30/06/2008	22.2	35.6
01/07/2008	22.8	33.9
02/07/2008	24.4	32.2
03/07/2008	23.9	32.2
04/07/2008	22.2	26.7
05/07/2008	21.7	27.2
06/07/2008	22.8	30.6
07/07/2008	23.3	26.7
08/07/2008	23.3	30
09/07/2008	23.3	33.3
10/07/2008	23.3	32.8
11/07/2008	23.9	33.9
12/07/2008	22.8	33.9
13/07/2008	23.9	33.9
14/07/2008	23.9	34.4
15/07/2008	23.9	34.4
16/07/2008	23.9	34.4
17/07/2008	23.3	33.9
18/07/2008	23.3	33.3
19/07/2008	22.2	33.9
20/07/2008	23.3	33.9
21/07/2008	21.7	35
22/07/2008	22.8	33.3
23/07/2008	22.8	25
24/07/2008	26.7	36.1
25/07/2008	25.6	31.7
26/07/2008	22.8	32.2
27/07/2008	23.9	28.9
28/07/2008	23.9	31.7
29/07/2008	25	32.8
30/07/2008	24.4	33.3
31/07/2008	26.1	33.9
01/08/2008	25.6	33.9
02/08/2008	25	33.9
03/08/2008	23.9	34.4
04/08/2008	22.8	35.6
05/08/2008	24.4	35
06/08/2008	25	35
07/08/2008	25	35
08/08/2008	23.3	35.6
09/08/2008	23.3	35.6
10/08/2008	25.6	35.6
11/08/2008	25.6	35.6
12/08/2008	26.1	36.1
13/08/2008	25.6	35.6
14/08/2008	22.8	35
15/08/2008	25.6	33.9
16/08/2008	27.8	32.8
17/08/2008	25.6	31.7
18/08/2008	23.9	32.2
19/08/2008	23.9	32.8
20/08/2008	23.9	33.3
21/08/2008	25	33.3
22/08/2008	26.1	31.7
23/08/2008	25.6	32.8
24/08/2008	23.3	30
25/08/2008	21.7	30
26/08/2008	23.9	32.2
27/08/2008	24.4	33.9
28/08/2008	24.4	33.3
29/08/2008	24.4	33.3
30/08/2008	24.4	32.8
31/08/2008	23.9	33.3
01/09/2008	22.2	35
02/09/2008	23.9	36.7
03/09/2008	24.4	36.7
04/09/2008	24.4	33.9
05/09/2008	25	32.2
06/09/2008	23.9	32.8
07/09/2008	24.4	33.9
08/09/2008	23.3	29.4
09/09/2008	23.9	32.2
10/09/2008	23.9	32.8
11/09/2008	23.9	33.3
12/09/2008	25	33.3
13/09/2008	27.2	35
14/09/2008	24.4	32.8
15/09/2008	21.1	25.6
16/09/2008	18.3	27.2
17/09/2008	16.7	28.9
18/09/2008	18.3	29.4
19/09/2008	19.4	30.6
20/09/2008	20	31.7
21/09/2008	21.7	30.6
22/09/2008	23.3	27.8
23/09/2008	22.8	30.6
24/09/2008	21.7	25.6
25/09/2008	18.9	30
26/09/2008	17.2	30
27/09/2008	16.7	30.6
28/09/2008	17.2	30
29/09/2008	16.7	30
30/09/2008	16.7	32.2
01/10/2008	17.2	33.9
02/10/2008	18.3	31.1
03/10/2008	16.7	31.7
04/10/2008	18.3	32.2
05/10/2008	21.1	31.7
06/10/2008	22.2	33.3
07/10/2008	22.2	33.9
08/10/2008	16.1	30.6
09/10/2008	13.3	30.6
10/10/2008	16.7	32.2
11/10/2008	21.1	32.2
12/10/2008	24.4	31.1
13/10/2008	23.3	31.1
14/10/2008	20.6	32.2
15/10/2008	22.2	30
16/10/2008	19.4	23.9
17/10/2008	19.4	28.9
18/10/2008	16.1	28.3
19/10/2008	14.4	29.4
20/10/2008	15.6	30
21/10/2008	15.6	29.4
22/10/2008	16.1	31.1
23/10/2008	14.4	24.4
24/10/2008	11.1	27.2
25/10/2008	16.7	30
26/10/2008	17.8	31.7
27/10/2008	11.7	25.6
28/10/2008	12.2	24.4
29/10/2008	11.1	26.7
30/10/2008	12.8	29.4
31/10/2008	15.6	28.9
01/11/2008	13.3	29.4
02/11/2008	12.8	28.3
03/11/2008	13.9	30
