Day	larvaTotalMass	larvaTotalSupply	resource	demandBG	supply	sdratio	growth	latestInflow	fecundity
1	0	0	5000000	0	0	0	0	0	0
2	0	0	5000000	0	0	0	0	0	20
3	0	0	5000000	0	0	0	-2.019483917e-28	1.123376314e-12	20
4	0	2.694695528e-12	5000000	1.482082541e-12	1.482082541e-12	1	0.00496031675	0.01042329514	20
5	0	0.03690139239	5000000	0.02029576582	0.02029576582	1	0.06292742502	0.08958346589	20
6	0	0.4027364296	4999999.963	0.2215050363	0.2215050363	1	0.2690905773	0.09999323906	20
7	6.607446013e-18	1.288075115	4999999.56	0.7084413133	0.7084413133	1	0.7560300717	0.09999999991	20
8	2.292969664e-07	3.341474642	4999998.272	1.837811053	1.837811053	1	1.885399812	0.1	20
9	0.0005420556285	8.103850931	4999994.931	4.457118012	4.457118012	1	4.50470677	0.1	20
10	0.04888982323	19.13259343	4999986.827	10.52292638	10.52292638	1	10.57051514	0.1	20
11	1.060278344	44.17971609	4999967.694	24.29884385	24.29884385	1	24.34643261	0.1	20.00000138
12	9.877768127	95.97990013	4999923.515	52.78894507	52.78894507	1	52.83653383	0.1	20.00010798
13	48.18614529	181.6256511	4999827.535	99.89410813	99.89410813	1	99.94169689	0.1000000007	20.00409075
14	144.3661958	283.8435399	4999645.909	156.1139469	156.1139469	1	156.1615357	0.1000000617	20.07149639
15	306.7996815	369.4660472	4999362.066	203.2063259	203.2063259	1	203.2539159	0.1000025601	20.63718309
16	518.1705786	420.8162837	4998992.6	231.448956	231.448956	1	231.4965702	0.1000535088	22.27088142
17	754.7819712	443.6833139	4998571.783	244.0258226	244.0258226	1	244.0737051	0.1006171899	26.02329383
18	1001.052349	451.537099	4998128.1	248.3454045	248.3454045	1	248.3947743	0.1037426939	33.33064129
19	1250.19704	453.7040928	4997676.563	249.537251	249.537251	1	249.5907688	0.1124589673	45.70068049
20	1500.031915	454.2574691	4997222.859	249.841608	249.841608	1	249.9044109	0.1319698923	65.69621312
21	1750.004557	454.5799267	4996768.601	250.0189597	250.0189597	1	250.0995241	0.1692929047	88.55859654
22	2000.001022	455.2622926	4996314.021	250.394261	250.394261	1	250.5048949	0.2324792524	111.7907242
23	2250.0073	457.03246	4995858.759	251.367853	251.367853	1	251.5248853	0.329977745	0
24	2500.077769	461.4335235	4995401.727	253.7884379	253.7884379	1	253.9992497	0.4429866495	0
25	2750.568187	471.6795925	4994940.293	259.4237759	259.4237759	1	259.6562872	0.488584594	0
26	3002.937371	493.6532732	4994468.613	271.5093002	271.5093002	1	271.5370044	0.05821574093	0
27	3261.432109	535.6229674	4993974.96	294.5926321	294.5926321	1	294.5926501	3.779044462e-05	0
28	3535.727286	610.9656158	4993439.337	336.0310887	336.0310887	1	336.0310887	4.826272802e-10	0
29	3844.384656	733.7027456	4992828.372	403.5365101	403.5365101	1	403.5365101	6.786462554e-16	0
30	4218.55935	911.5666864	4992094.669	501.3616775	501.3616775	1	501.3616775	2.435458402e-22	0
