date	smax	smin	smean	T
02/01/2009   	-0.0075194831	23.635860    	14.1326886   	 6.169140    
03/01/2009   	-0.0089237290	15.436027    	 7.8686447   	 9.916308    
04/01/2009   	-0.0089181708	 9.256422    	 5.6467841   	10.757501    
05/01/2009   	 1.9454666376	 9.964371    	 6.7938460   	 8.990127    
06/01/2009   	-0.0087752249	12.607036    	 3.8312383   	11.437191    
07/01/2009   	 5.8857607841	13.027978    	10.9744944   	 5.210960    
08/01/2009   	12.1404943466	14.239528    	13.4006532   	 3.247773    
09/01/2009   	-0.0080163209	13.925327    	 7.1253094   	 8.772498    
10/01/2009   	-0.0081098694	13.125767    	 6.5204347   	 9.299360    
11/01/2009   	 9.1970338821	13.477679    	11.5827251   	 5.386505    
12/01/2009   	12.9305744171	18.993477    	14.9633889   	 2.764140    
13/01/2009   	-0.0081595685	24.129625    	14.8359453   	 4.546726    
13/01/2009   	 0.0005973205	24.127642    	12.8376243   	 7.813652    
14/01/2009   	-0.0077224779	21.503946    	 6.3282310   	11.469320    
15/01/2009   	-0.0093656303	15.877129    	 2.7475823   	13.402095    
16/01/2009   	-0.0088195400	 8.123911    	 1.0550888   	14.154455    
17/01/2009   	-0.0090478910	10.662923    	 2.2304632   	13.386358    
18/01/2009   	-0.0093788430	17.002705    	 8.5670570   	10.217522    
19/01/2009   	 2.3580605984	20.742136    	13.0815753   	 7.933591    
20/01/2009   	 5.8302235603	24.397301    	20.5691668   	 4.824306    
21/01/2009   	-0.0024728237	24.138895    	13.9524151   	 8.094915    
22/01/2009   	-0.0091000376	12.496928    	 3.2028484   	13.079096    
23/01/2009   	-0.0083776442	23.656952    	15.8880178   	 7.741351    
24/01/2009   	 7.3575067520	22.667128    	19.4514985   	 6.024368    
25/01/2009   	-0.0086010676	22.659849    	 6.5259466   	11.772815    
26/01/2009   	-0.0089773256	14.295567    	 3.0292629   	13.285138    
27/01/2009   	-0.0087818131	16.206142    	 3.1526282   	13.225196    
28/01/2009   	-0.0089939535	 7.803737    	 1.5354260   	13.829104    
29/01/2009   	-0.0089667868	 8.816332    	 1.5883285   	13.761685    
30/01/2009   	-0.0049730712	 4.433571    	 0.6554809   	14.185858    
31/01/2009   	-0.0048884568	 7.084013    	 0.7178050   	14.253429    
