Date	Tavg
01/01/2012	-1.6
02/01/2012	0.3
03/01/2012	-1.3
04/01/2012	-0.4
05/01/2012	-6.9
06/01/2012	-4.7
07/01/2012	-3.9
08/01/2012	-6.7
09/01/2012	-9.5
10/01/2012	-7.1
11/01/2012	-3.5
12/01/2012	-0.2
13/01/2012	0.1
14/01/2012	-0.8
15/01/2012	-2.6
16/01/2012	-4.2
17/01/2012	-7.6
18/01/2012	-7.9
19/01/2012	-11
20/01/2012	-12.2
21/01/2012	-8.9
22/01/2012	-4.2
23/01/2012	-7.5
24/01/2012	-7.4
25/01/2012	-10.8
26/01/2012	-4.9
27/01/2012	-2.6
28/01/2012	-4.4
29/01/2012	-5.3
30/01/2012	-6
31/01/2012	-12.9
01/02/2012	-13.7
02/02/2012	-11.8
03/02/2012	-16.9
04/02/2012	-14.3
05/02/2012	-10.2
06/02/2012	-3.4
07/02/2012	-5.4
08/02/2012	-7.5
09/02/2012	-7.7
10/02/2012	-7.1
11/02/2012	-9.3
12/02/2012	-7.1
13/02/2012	-5.8
14/02/2012	-0.9
15/02/2012	-0.4
16/02/2012	-2.5
17/02/2012	-4.7
18/02/2012	1.1
19/02/2012	-1.1
20/02/2012	-2.4
21/02/2012	0.1
22/02/2012	1.2
23/02/2012	3.3
24/02/2012	3.8
25/02/2012	1.9
26/02/2012	-2.7
27/02/2012	-3.3
28/02/2012	-0.6
29/02/2012	-1.3
01/03/2012	5.1
02/03/2012	1.7
03/03/2012	-4.2
04/03/2012	-3.6
05/03/2012	-1.9
06/03/2012	-2.1
07/03/2012	-0.9
08/03/2012	-0.6
09/03/2012	3.9
10/03/2012	3.4
11/03/2012	4.8
12/03/2012	8.1
13/03/2012	7.8
14/03/2012	3.9
15/03/2012	2.3
16/03/2012	3.7
17/03/2012	3.3
18/03/2012	1.3
19/03/2012	1.7
20/03/2012	4.2
21/03/2012	9
22/03/2012	9
23/03/2012	6.8
24/03/2012	7.3
25/03/2012	8.5
26/03/2012	9.2
27/03/2012	12.1
28/03/2012	7.6
29/03/2012	5.9
30/03/2012	4.1
31/03/2012	1.6
01/04/2012	1
02/04/2012	-1
03/04/2012	-0.4
04/04/2012	0.3
05/04/2012	1.9
06/04/2012	0.2
07/04/2012	-0.8
08/04/2012	0.4
09/04/2012	0.9
10/04/2012	3
11/04/2012	4.1
12/04/2012	4.7
13/04/2012	4.2
14/04/2012	3.8
15/04/2012	1.4
16/04/2012	1.2
17/04/2012	0.4
18/04/2012	1
19/04/2012	5
20/04/2012	4.1
21/04/2012	1.6
22/04/2012	2.3
23/04/2012	3.8
24/04/2012	4.9
25/04/2012	5.9
26/04/2012	5.8
27/04/2012	8.3
28/04/2012	6.8
29/04/2012	6.8
30/04/2012	7.5
01/05/2012	9.8
02/05/2012	11.3
03/05/2012	7
04/05/2012	2.7
05/05/2012	3.3
06/05/2012	4
07/05/2012	5.3
08/05/2012	6.5
09/05/2012	8.3
10/05/2012	7.9
11/05/2012	6.2
12/05/2012	6.9
13/05/2012	6.5
14/05/2012	8.8
15/05/2012	8.6
16/05/2012	7.9
17/05/2012	7.7
18/05/2012	8.8
19/05/2012	8.2
20/05/2012	10.9
21/05/2012	12.3
22/05/2012	16.2
23/05/2012	19
24/05/2012	20.2
25/05/2012	20.7
26/05/2012	18.5
27/05/2012	18.5
28/05/2012	12.3
29/05/2012	8.2
30/05/2012	9
31/05/2012	8.3
01/06/2012	7.1
02/06/2012	7
03/06/2012	8.3
04/06/2012	9.3
05/06/2012	8.9
06/06/2012	10.6
07/06/2012	12.1
08/06/2012	13.3
09/06/2012	11.6
10/06/2012	13.3
11/06/2012	13.3
12/06/2012	12.4
13/06/2012	12
14/06/2012	10.7
15/06/2012	10.5
16/06/2012	10.9
17/06/2012	13.2
18/06/2012	12.7
19/06/2012	13
20/06/2012	13.1
21/06/2012	15.2
22/06/2012	16.2
23/06/2012	12.7
24/06/2012	12.7
25/06/2012	13.3
26/06/2012	14.7
27/06/2012	13.6
28/06/2012	13.5
29/06/2012	11.9
30/06/2012	15.6
01/07/2012	14.2
02/07/2012	14
03/07/2012	14.6
04/07/2012	15.4
05/07/2012	18.4
06/07/2012	17.8
07/07/2012	15.5
08/07/2012	16.8
09/07/2012	14.4
10/07/2012	14.3
11/07/2012	14.3
12/07/2012	12.2
13/07/2012	13.7
14/07/2012	14.5
15/07/2012	13.1
16/07/2012	13.2
17/07/2012	13.7
18/07/2012	12.2
19/07/2012	12.4
20/07/2012	11.1
21/07/2012	12.2
22/07/2012	13.1
23/07/2012	14.9
24/07/2012	17.6
25/07/2012	18
26/07/2012	15.2
27/07/2012	15.2
28/07/2012	13.9
29/07/2012	15.7
30/07/2012	15
31/07/2012	12.7
01/08/2012	14.4
02/08/2012	13.5
03/08/2012	16.6
04/08/2012	15.1
05/08/2012	13.9
06/08/2012	13
07/08/2012	13
08/08/2012	12.9
09/08/2012	11.6
10/08/2012	13.3
11/08/2012	15.9
12/08/2012	16.8
13/08/2012	15.7
14/08/2012	15.9
15/08/2012	14.7
16/08/2012	15.3
17/08/2012	15.9
18/08/2012	15.1
19/08/2012	19.5
20/08/2012	14.7
21/08/2012	16.4
22/08/2012	13.6
23/08/2012	12.5
24/08/2012	11.6
25/08/2012	12.4
26/08/2012	11.5
27/08/2012	10
28/08/2012	11
29/08/2012	14.5
30/08/2012	13.7
31/08/2012	12.6
01/09/2012	12.4
02/09/2012	15.2
03/09/2012	15.1
04/09/2012	15.5
05/09/2012	12.5
06/09/2012	8
07/09/2012	10.3
08/09/2012	9.6
09/09/2012	8.4
10/09/2012	14
11/09/2012	13.1
12/09/2012	8.3
13/09/2012	8.5
14/09/2012	11.5
15/09/2012	12.1
16/09/2012	12.4
17/09/2012	10.8
18/09/2012	9.5
19/09/2012	7.5
20/09/2012	6.1
21/09/2012	5
22/09/2012	6.8
23/09/2012	7.5
24/09/2012	7.8
25/09/2012	5.9
26/09/2012	6.2
27/09/2012	7.8
28/09/2012	8.2
29/09/2012	8.6
30/09/2012	8
01/10/2012	10.5
02/10/2012	9.9
03/10/2012	9.2
04/10/2012	7.2
05/10/2012	4.8
06/10/2012	5
07/10/2012	6.9
08/10/2012	6.9
09/10/2012	4.9
10/10/2012	4.3
11/10/2012	2.5
12/10/2012	2.7
13/10/2012	3.1
14/10/2012	2.1
15/10/2012	3.6
16/10/2012	3
17/10/2012	5.2
18/10/2012	7.7
19/10/2012	7.1
20/10/2012	4.4
21/10/2012	3.5
22/10/2012	2.3
23/10/2012	0.4
24/10/2012	1.4
25/10/2012	0.1
26/10/2012	0.5
27/10/2012	1.1
28/10/2012	-3.3
29/10/2012	-1.8
30/10/2012	-4.7
31/10/2012	-3.6
01/11/2012	3.6
02/11/2012	2.7
03/11/2012	3.4
04/11/2012	2.5
05/11/2012	0.3
06/11/2012	-2.9
07/11/2012	-1.2
08/11/2012	-0.7
09/11/2012	-0.6
10/11/2012	4.6
11/11/2012	4.6
12/11/2012	1.8
13/11/2012	-1.2
14/11/2012	4.8
15/11/2012	4.6
16/11/2012	2.3
17/11/2012	3.3
18/11/2012	2.6
19/11/2012	2.3
20/11/2012	6.7
21/11/2012	7.4
22/11/2012	4.4
23/11/2012	5.4
24/11/2012	1.1
25/11/2012	-1.3
26/11/2012	-0.3
27/11/2012	0.3
28/11/2012	-0.2
29/11/2012	-3.6
30/11/2012	-5.2
01/12/2012	-7.1
02/12/2012	-13
03/12/2012	-17.7
04/12/2012	-15.7
05/12/2012	-10
06/12/2012	-13.6
07/12/2012	-8.6
08/12/2012	-11
09/12/2012	-9.4
10/12/2012	-8.8
11/12/2012	-14.3
12/12/2012	-10.9
13/12/2012	-8.6
14/12/2012	-7.9
15/12/2012	-4
16/12/2012	0.1
17/12/2012	0.1
18/12/2012	-1.5
19/12/2012	-6.1
20/12/2012	-9.3
21/12/2012	-9.5
22/12/2012	-7.1
23/12/2012	-6.2
24/12/2012	-6
25/12/2012	-5.3
26/12/2012	-5.1
27/12/2012	-9.4
28/12/2012	-7.2
29/12/2012	-1.1
30/12/2012	2.8
31/12/2012	1
