Date	Tmin	Tmax	Tavg
07/03/2013	0.8	9.8	5.3
08/03/2013	2.4	14.8	8.6
09/03/2013	2.8	17.8	10.3
10/03/2013	5.6	20.7	13.2
11/03/2013	6.6	25.0	15.8
12/03/2013	9.0	23.4	16.2
13/03/2013	6.4	22.0	14.2
14/03/2013	7.2	24.2	15.7
15/03/2013	8.2	26.6	17.4
16/03/2013	14.4	27.0	20.7
17/03/2013	11.8	23.8	17.8
18/03/2013	6.2	16.0	11.1
19/03/2013	0.8	10.4	5.6
20/03/2013	1.8	11.0	6.4
21/03/2013	5.2	20.2	12.7
22/03/2013	8.4	20.0	14.2
23/03/2013	6.6	11.2	8.9
24/03/2013	6.4	11.8	9.1
25/03/2013	4.0	22.0	13.0
26/03/2013	9.6	26.8	18.2
27/03/2013	5.6	13.0	9.3
28/03/2013	7.0	15.2	11.1
29/03/2013	6.2	19.2	12.7
30/03/2013	6.4	22.4	14.4
31/03/2013	7.0	18.4	12.7
01/04/2013	9.2	11.8	10.5
02/04/2013	2.8	10.6	6.7
03/04/2013	4.6	14.6	9.6
04/04/2013	4.8	20.2	12.5
05/04/2013	9.8	16.6	13.2
06/04/2013	6.2	13.2	9.7
07/04/2013	4.0	10.8	7.4
08/04/2013	2.2	13.4	7.8
09/04/2013	3.7	20.4	12.1
10/04/2013	11.8	20.2	16.0
11/04/2013	10.1	19.2	14.7
12/04/2013	5.2	11.8	8.5
13/04/2013	7.2	11.6	9.4
14/04/2013	6.2	10.2	8.2
15/04/2013	0.8	8.4	4.6
16/04/2013	2.0	11.4	6.7
17/04/2013	4.8	22.4	13.6
18/04/2013	11.4	23.6	17.5
19/04/2013	7.8	22.2	15.0
20/04/2013	11.6	19.8	15.7
21/04/2013	10.3	17.0	13.7
22/04/2013	6.7	15.4	11.1
23/04/2013	6.6	20.8	13.7
24/04/2013	8.2	19.4	13.8
25/04/2013	8.9	27.0	18.0
26/04/2013	10.0	25.4	17.7
27/04/2013	8.2	15.4	11.8
28/04/2013	9.0	13.6	11.3
29/04/2013	7.0	12.2	9.6
30/04/2013	6.2	20.2	13.2
01/05/2013	11.2	24.4	17.8
02/05/2013	11.6	25.4	18.5
03/05/2013	11.6	22.4	17.0
04/05/2013	12.0	21.2	16.6
05/05/2013	9.5	21.6	15.6
06/05/2013	11.0	22.8	16.9
07/05/2013	14.0	29.4	21.7
08/05/2013	17.4	29.2	23.3
09/05/2013	14.2	24.4	19.3
10/05/2013	13.4	24.4	18.9
11/05/2013	14.4	20.4	17.4
12/05/2013	13.4	25.4	19.4
13/05/2013	15.4	27.6	21.5
14/05/2013	16.2	25.8	21.0
15/05/2013	16.6	23.0	19.8
16/05/2013	13.8	27.8	20.8
17/05/2013	15.6	28.6	22.1
18/05/2013	14.8	29.6	22.2
19/05/2013	15.6	23.6	19.6
20/05/2013	12.6	24.6	18.6
21/05/2013	13.6	27.4	20.5
22/05/2013	14.0	26.8	20.4
23/05/2013	14.6	29.2	21.9
24/05/2013	15.8	32.6	24.2
25/05/2013	17.4	31.0	24.2
26/05/2013	18.4	33.4	25.9
27/05/2013	18.2	29.8	24.0
28/05/2013	16.8	31.4	24.1
29/05/2013	19.0	33.8	26.4
30/05/2013	17.8	35.4	26.6
31/05/2013	23.0	33.4	28.2
01/06/2013	14.6	25.4	20.0
02/06/2013	16.0	26.0	21.0
03/06/2013	15.0	24.4	19.7
04/06/2013	12.2	24.2	18.2
05/06/2013	11.0	27.0	19.0
06/06/2013	12.2	28.4	20.3
07/06/2013	15.0	31.2	23.1
08/06/2013	14.8	31.2	23.0
09/06/2013	17.0	31.0	24.0
10/06/2013	18.0	31.2	24.6
11/06/2013	15.6	32.2	23.9
12/06/2013	17.8	31.2	24.5
13/06/2013	16.8	31.4	24.1
14/06/2013	16.4	32.8	24.6
15/06/2013	16.6	33.6	25.1
16/06/2013	17.4	34.2	25.8
17/06/2013	17.0	33.2	25.1
18/06/2013	20.4	32.6	26.5
19/06/2013	19.0	32.2	25.6
20/06/2013	14.2	33.0	23.6
21/06/2013	20.8	33.8	27.3
22/06/2013	21.4	33.8	27.6
23/06/2013	22.8	34.0	28.4
24/06/2013	19.4	33.0	26.2
25/06/2013	18.2	32.8	25.5
26/06/2013	20.0	33.6	26.8
27/06/2013	19.2	33.8	26.5
28/06/2013	18.4	34.2	26.3
29/06/2013	18.8	36.2	27.5
30/06/2013	20.4	31.0	25.7
01/07/2013	17.2	30.6	23.9
02/07/2013	14.6	33.0	23.8
03/07/2013	17.2	34.0	25.6
04/07/2013	19.6	28.0	23.8
05/07/2013	15.0	30.6	22.8
06/07/2013	18.8	35.4	27.1
07/07/2013	18.6	37.2	27.9
08/07/2013	22.2	35.0	28.6
09/07/2013	22.8	34.8	28.8
10/07/2013	20.2	34.8	27.5
11/07/2013	21.4	35.4	28.4
12/07/2013	19.8	35.6	27.7
