*diffevol::Plot	*diffevol::Year	Fertiliser	Fungicide	Yield				
01-A	2010	546.54	48.39	5.83				
01-B	2010	438.37	26.57	7.29				
02-A	2010	560.00	163.37	5.00				
03-A	2010	1836.98	65.85	10.48				
03-B	2010	1745.45	39.55	9.31				
03-C	2010	1655.17	37.50	11.03				
03-D	2010	1536.00	39.50	9.47				
03-E	2010	1152.00	39.50	7.68				
04-A	2010	1537.15	190.72	8.18				
04-B	2010	1759.18	173.64	9.84				
05-A	2010	1523.81	73.44	9.14				
05-B	2010	1074.84	36.84	9.17				
06-A	2010	664.86	126.82	3.19				
06-B	2010	1273.63	85.41	7.85				
07-A	2010	1163.58	0.00	6.01				
08-A	2010	1148.11	225.44	8.73				
09-A	2010	440.65	36.15	2.31				
10-A	2010	879.72	56.23	9.84				
11-A	2010	674.63	0.00	2.55				
12-A	2010	591.37	19.77	6.42				
13-A	2010	865.00	52.92	7.47				
13-B	2010	2230.43	0.00	6.49				
14-A	2010	1556.35	0.00	6.87				
14-B	2010	1024.77	277.07	5.12				
15-A	2010	719.36	41.91	5.70				
15-B	2010	1289.37	73.18	8.54				
16-A	2010	1732.85	356.50	8.04				
16-B	2010	1230.77	217.95	4.99				
17-A	2010	1591.51	174.62	7.72				
18-A	2010	1161.54	0.00	9.58				
18-B	2010	717.55	187.85	3.75				
18-C	2010	960.72	0.00	8.93				
18-D	2010	1839.66	0.00	5.76				
19-A	2010	876.90	162.62	9.19				
20-A	2010	685.64	0.00	3.66				
20-B	2010	727.15	0.00	3.38				
21-A	2010	1446.00	103.00	6.91				
21-B	2010	2171.35	173.37	7.33				
22-A	2010	960.00	158.00	4.16				
22-B	2010	882.00	146.00	4.90				
23-A	2010	1385.12	0.00	4.31				
24-A	2010	1525.93	0.00	9.16				
24-B	2010	1422.22	0.00	9.48				
24-C	2010	1738.74	0.00	9.85				
24-D	2010	1720.43	0.00	8.03				
25-A	2010	1136.59	74.04	7.10				
26-A	2010	1750.47	0.00	8.09				
27-A	2010	964.77	152.27	6.69				
27-B	2010	932.97	281.57	7.45				
28-A	2010	1254.67	48.27	9.05				
28-B	2010	1879.46	0.00	9.14				
28-C	2010	2421.86	0.00	10.08				
28-D	2010	1853.54	0.00	10.24				
29-A	2010	1233.13	0.00	9.47				
29-B	2010	1475.32	50.54	9.97				
30-A	2010	1988.48	177.88	8.20				
30-B	2010	1927.56	210.83	10.56				
31-A	2010	1355.32	0.00	6.68				
32-A	2010	2307.69	113.73	9.53				
01-A	2009	368.46	0.00	5.10				
01-B	2009	334.47	0.00	5.22				
02-A	2009	346.67	163.37	2.51				
03-A	2009	1383.70	65.85	11.20				
03-B	2009	1581.82	39.55	11.64				
03-C	2009	1500.00	37.50	11.77				
03-D	2009	1392.00	39.50	10.24				
03-E	2009	1392.00	39.50	10.24				
04-A	2009	1383.43	0.00	8.38				
04-B	2009	1579.85	0.00	10.20				
05-A	2009	1380.95	73.44	6.10				
05-B	2009	967.36	36.84	6.11				
06-A	2009	428.47	126.82	2.84				
06-B	2009	1097.01	85.41	7.85				
07-A	2009	1050.25	0.00	4.28				
08-A	2009	1029.61	0.00	8.73				
09-A	2009	433.82	36.15	3.82				
10-A	2009	790.04	0.00	9.84				
11-A	2009	611.38	0.00	2.55				
12-A	2009	604.18	19.77	9.19				
13-A	2009	1156.25	52.92	7.47				
13-B	2009	1515.22	0.00	12.06				
14-A	2009	1771.02	0.00	6.87				
14-B	2009	364.36	277.07	5.12				
15-A	2009	642.97	0.00	6.53				
15-B	2009	1155.98	0.00	9.48				
16-A	2009	1570.40	356.50	4.62				
16-B	2009	1115.38	217.95	4.27				
17-A	2009	1025.64	0.00	5.68				
18-A	2009	988.29	0.00	10.41				
18-B	2009	646.47	187.85	4.33				
18-C	2009	864.65	0.00	10.93				
18-D	2009	1662.45	0.00	7.20				
19-A	2009	1068.34	0.00	10.89				
20-A	2009	377.51	0.00	3.13				
20-B	2009	381.76	0.00	2.96				
21-A	2009	810.00	103.00	6.40				
21-B	2009	1131.12	173.37	8.62				
22-A	2009	392.00	0.00	2.63				
22-B	2009	407.33	0.00	3.20				
23-A	2009	1302.15	0.00	7.62				
24-A	2009	1382.87	0.00	11.70				
24-B	2009	1288.89	0.00	11.85				
24-C	2009	1575.73	0.00	11.59				
24-D	2009	1559.14	0.00	11.47				
25-A	2009	866.46	74.04	4.67				
26-A	2009	1567.06	0.00	9.36				
27-A	2009	867.61	0.00	7.42				
27-B	2009	838.41	0.00	8.62				
28-A	2009	1278.00	48.27	8.87				
28-B	2009	1118.16	0.00	6.09				
28-C	2009	1306.92	0.00	9.45				
28-D	2009	1528.07	0.00	11.65				
29-A	2009	1301.45	0.00	7.29				
29-B	2009	1319.48	50.54	6.76				
30-A	2009	1595.81	177.88	12.73				
30-B	2009	1388.98	210.83	12.09				
31-A	2009	1215.11	0.00	6.98				
32-A	2009	1799.01	0.00	10.59				
