*diffevol::Plot	Area	Slope
05-A	0.75	53.30
15-A	2.15	63.10
32-A	0.48	69.50
14-A	0.64	39.20
18-A	4.76	19.00
18-C	4.76	25.40
27-A	2.71	64.30
04-A	0.95	53.70
04-B	0.95	40.80
07-A	0.26	45.50
08-A	0.30	51.00
10-A	2.81	43.40
11-A	0.14	65.10
13-B	3.78	39.20
19-A	0.97	65.50
20-A	1.59	68.60
20-B	1.59	54.20
24-A	1.71	48.50
24-B	1.71	78.20
24-C	1.71	75.30
26-A	2.01	30.20
28-B	3.14	62.60
28-D	3.14	58.90
29-A	5.82	24.10
29-B	5.82	33.10
31-A	0.77	50.50
01-A	1.23	52.10
01-B	1.23	60.80
03-A	9.92	55.10
03-B	9.92	57.40
05-B	0.75	43.00
06-A	2.02	74.00
12-A	2.81	21.70
13-A	3.78	37.60
15-B	2.15	38.10
17-A	0.11	65.00
18-B	4.76	26.50
21-A	1.59	76.80
21-B	1.59	55.10
22-A	3.00	23.10
22-B	3.00	25.00
23-A	0.53	36.40
24-D	1.71	52.10
28-C	3.14	76.50
30-B	3.18	62.90
03-E	9.92	60.90
25-A	2.46	69.50
03-D	9.92	67.60
18-D	4.76	63.90
27-B	2.71	40.20
03-C	9.92	42.30
06-B	2.02	71.90
14-B	0.64	46.80
16-B	0.13	49.50
28-A	3.14	74.90
30-A	3.18	67.30
09-A	1.76	62.80
02-A	0.60	65.30
16-A	0.13	13.50
