Date	T	Smax	Smin
1/09/1995	16.3	22	15
2/09/1995	16.2	24	20
3/09/1995	16.1	20	12
4/09/1995	16.1	27	26
5/09/1995	16.1	17	10
6/09/1995	16.2	25	19
7/09/1995	16	10	7
8/09/1995	16.1	11	10
9/09/1995	16.2	20	20
10/09/1995	16.3	18	13
11/09/1995	16.3	19	19
12/09/1995	16.3	28	24
13/09/1995	16.1	15	13
14/09/1995	16	21	16
15/09/1995	15.9	13	7
16/09/1995	15.7	16	15
17/09/1995	15.6	26	25
18/09/1995	15.4	12	7
19/09/1995	15.4	25	21
20/09/1995	15.4	20	16
21/09/1995	15.4	10	4
22/09/1995	15.3	15	14
23/09/1995	15.3	11	7
24/09/1995	15.3	26	22
25/09/1995	15.2	11	5
26/09/1995	15.2	15	13
27/09/1995	15.1	12	12
28/09/1995	15	23	16
29/09/1995	15	26	26
30/09/1995	14.3	22	21
1/10/1995	13.4	14	7
2/10/1995	13.2	16	11
3/10/1995	13.1	23	20
4/10/1995	13.1	17	16
5/10/1995	13	25	25
6/10/1995	13.3	24	21
7/10/1995	13.7	29	25
8/10/1995	14	11	11
9/10/1995	14.2	28	26
10/10/1995	14.3	21	19
11/10/1995	14.5	26	24
12/10/1995	14.7	14	9
13/10/1995	14.7	17	13
14/10/1995	14.8	18	10
15/10/1995	14.8	18	12
16/10/1995	14.7	15	7
17/10/1995	14.4	27	24
18/10/1995	14.2	20	17
19/10/1995	13.9	26	24
20/10/1995	13.6	12	9
21/10/1995	13.3	16	8
22/10/1995	12.9	21	19
23/10/1995	12.7	30	29
24/10/1995	12.5	25	17
25/10/1995	12.5	21	15
26/10/1995	12.4	14	7
27/10/1995	11.8	29	24
28/10/1995	11	15	13
29/10/1995	9.8	14	10
30/10/1995	9.7	21	16
31/10/1995	7.9	26	22
1/11/1995	7.5	12	5
2/11/1995	7.5	13	13
3/11/1995	7.4	24	20
4/11/1995	7.3	16	10
5/11/1995	7.3	17	10
6/11/1995	7.6	17	15
7/11/1995	7.8	25	24
8/11/1995	8.4	11	4
9/11/1995	8.3	25	22
10/11/1995	8.2	15	9
11/11/1995	8.1	16	11
12/11/1995	7.9	11	11
13/11/1995	7.8	18	12
14/11/1995	7.7	24	19
15/11/1995	7.7	14	10
16/11/1995	7.6	28	28
17/11/1995	7.4	26	20
18/11/1995	7.1	30	26
19/11/1995	6.8	24	19
20/11/1995	6.5	13	13
21/11/1995	6.3	30	22
22/11/1995	6.1	26	25
23/11/1995	6	27	22
24/11/1995	5.8	27	20
25/11/1995	5.7	27	25
26/11/1995	5.5	16	8
27/11/1995	5.4	20	13
28/11/1995	5.3	28	26
29/11/1995	5.5	18	10
30/11/1995	4.6	16	16
1/12/1995	3.8	17	16
2/12/1995	3	15	11
3/12/1995	2.2	21	13
4/12/1995	1.8	18	15
5/12/1995	0.8	16	11
6/12/1995	0	27	24
7/12/1995	-0.1	23	21
8/12/1995	-0.2	10	2
9/12/1995	-0.4	10	6
10/12/1995	-0.5	21	18
11/12/1995	-0.4	30	22
12/12/1995	-0.2	28	27
13/12/1995	-0.1	13	13
14/12/1995	0.2	22	16
15/12/1995	-0.4	29	21
16/12/1995	-0.5	28	28
17/12/1995	-0.5	20	16
18/12/1995	-0.4	28	20
19/12/1995	-0.2	26	26
20/12/1995	-0.4	30	30
21/12/1995	-0.3	14	10
22/12/1995	-0.4	20	19
23/12/1995	-0.5	25	23
24/12/1995	-0.4	11	6
25/12/1995	-0.5	20	13
26/12/1995	-0.8	25	18
27/12/1995	-0.9	19	19
28/12/1995	-0.6	15	9
29/12/1995	-0.4	30	24
