Date	Tmax	Tmin	Rain
01/01/2013	30.2	20.7	0
02/01/2013	33	21.5	0
03/01/2013	33.2	21.5	0
04/01/2013	32.6	21.4	0
05/01/2013	32.2	21	0
06/01/2013	32	21	0
07/01/2013	32.5	21	0
08/01/2013	33.8	21.2	0
09/01/2013	33.8	21	0
10/01/2013	33.5	21	0
11/01/2013	33	22.6	0
12/01/2013	33.3	22.5	1
13/01/2013	33.6	23	0
14/01/2013	32.5	22	0
15/01/2013	32	20.5	0
16/01/2013	34	22	0
17/01/2013	33.2	22.2	0
18/01/2013	32.8	21	0
19/01/2013	31	20	0
20/01/2013	32.5	20	0
21/01/2013	33.8	20	0
22/01/2013	33.8	22.5	0
23/01/2013	35	23.5	0
24/01/2013	34.8	23.6	1.5
25/01/2013	31.5	25	0
26/01/2013	32	24	0
27/01/2013	32.5	23.5	2
28/01/2013	31.2	23.5	0
29/01/2013	31.2	21.6	0
30/01/2013	32.6	23.8	0
31/01/2013	32.3	24.5	0.4
01/02/2013	31.5	23	0
02/02/2013	32.4	23	0
03/02/2013	32	24.5	0
04/02/2013	34.7	24.5	0
05/02/2013	35	24.5	0
06/02/2013	36	25	0
07/02/2013	36	25	0
08/02/2013	34.2	25	0
09/02/2013	33.8	24.8	0
10/02/2013	34.2	25	0
11/02/2013	35.4	25.4	0
12/02/2013	35.5	24.5	0
13/02/2013	33	24.5	0
14/02/2013	35.4	23.5	0
15/02/2013	34.5	24	0
16/02/2013	34.5	24	4.5
17/02/2013	35.5	24	0
18/02/2013	35	24	0
19/02/2013	34.5	25	0
20/02/2013	35.7	25	0
21/02/2013	34.8	25.6	0
22/02/2013	33.5	24.5	0
23/02/2013	32.5	21.5	0
24/02/2013	33.5	21.7	0
25/02/2013	36.3	21.5	0
26/02/2013	37.8	21.6	0
27/02/2013	36.5	25.5	0
28/02/2013	36.2	25.5	0
01/03/2013	36	26	0
02/03/2013	35.8	25.4	0
03/03/2013	34	26	2.2
04/03/2013	27.6	23	1.6
05/03/2013	31.7	22.3	0
06/03/2013	33.5	23	0
07/03/2013	35.8	23	0
08/03/2013	35.5	25	0
09/03/2013	35	25	0
10/03/2013	34	25	0
11/03/2013	35.5	25.2	0
12/03/2013	35.5	25.5	0
13/03/2013	35.8	25	0
14/03/2013	37	25.5	0
15/03/2013	35.3	24.5	0
16/03/2013	34.8	25	0
17/03/2013	36.7	25	0
18/03/2013	36.5	25	0
19/03/2013	37.6	25	0
20/03/2013	36.6	26	0
21/03/2013	36.8	25.6	0
22/03/2013	37	25	0
23/03/2013	37.2	25	0
24/03/2013	37.7	25	0
25/03/2013	39.6	25	0
26/03/2013	37.5	26	0
27/03/2013	38	25.8	0
28/03/2013	37.6	25.8	0
29/03/2013	37.4	26.4	0
30/03/2013	37.5	26.5	0
31/03/2013	38	26	0
01/04/2013	39.2	25.6	0
02/04/2013	38.6	26	0
03/04/2013	38.7	27	0
04/04/2013	38.6	27.2	0
05/04/2013	39	26.7	0
06/04/2013	37.5	26.5	0
07/04/2013	37	26.8	0
08/04/2013	37.2	25.4	0
09/04/2013	39.2	24.5	0
10/04/2013	38	25	0
11/04/2013	36.5	25	0.2
12/04/2013	36.5	25.5	0
13/04/2013	38	26	0
14/04/2013	36.6	27	0.3
15/04/2013	34.5	25	0.6
16/04/2013	36	25.6	0
17/04/2013	32.5	26	0
18/04/2013	36.7	24.8	0
19/04/2013	38	26.5	0
20/04/2013	38	26	0
21/04/2013	38.5	26	0
22/04/2013	36.4	26.2	0
