Date	Tmax	Tmin	Rain	I
01/01/2013	30.2	20.7	0	80
02/01/2013	33	21.5	0	84
03/01/2013	33.2	21.5	0	77
04/01/2013	32.6	21.4	0	81
05/01/2013	32.2	21	0	90
06/01/2013	32	21	0	88
07/01/2013	32.5	21	0	69
08/01/2013	33.8	21.2	0	71
09/01/2013	33.8	21	0	74
10/01/2013	33.5	21	0	80
11/01/2013	33	22.6	0	70
12/01/2013	33.3	22.5	1	62
13/01/2013	33.6	23	0	63
14/01/2013	32.5	22	0	63
15/01/2013	32	20.5	0	63
16/01/2013	34	22	0	59
17/01/2013	33.2	22.2	0	60
18/01/2013	32.8	21	0	56
19/01/2013	31	20	0	40
20/01/2013	32.5	20	0	50
21/01/2013	33.8	20	0	48
22/01/2013	33.8	22.5	0	41
23/01/2013	35	23.5	0	54
24/01/2013	34.8	23.6	1.5	68
25/01/2013	31.5	25	0	74
26/01/2013	32	24	0	69
27/01/2013	32.5	23.5	2	55
28/01/2013	31.2	23.5	0	75
29/01/2013	31.2	21.6	0	78
30/01/2013	32.6	23.8	0	71
31/01/2013	32.3	24.5	0.4	76
01/02/2013	31.5	23	0	70
02/02/2013	32.4	23	0	77
03/02/2013	32	24.5	0	67
04/02/2013	34.7	24.5	0	64
05/02/2013	35	24.5	0	65
06/02/2013	36	25	0	61
07/02/2013	36	25	0	64
08/02/2013	34.2	25	0	63
09/02/2013	33.8	24.8	0	57
10/02/2013	34.2	25	0	61
11/02/2013	35.4	25.4	0	61
12/02/2013	35.5	24.5	0	63
13/02/2013	33	24.5	0	64
14/02/2013	35.4	23.5	0	61
15/02/2013	34.5	24	0	57
16/02/2013	34.5	24	4.5	79
17/02/2013	35.5	24	0	69
18/02/2013	35	24	0	66
19/02/2013	34.5	25	0	70
20/02/2013	35.7	25	0	71
21/02/2013	34.8	25.6	0	64
22/02/2013	33.5	24.5	0	57
23/02/2013	32.5	21.5	0	49
24/02/2013	33.5	21.7	0	58
25/02/2013	36.3	21.5	0	55
26/02/2013	37.8	21.6	0	70
27/02/2013	36.5	25.5	0	90
28/02/2013	36.2	25.5	0	82
01/03/2013	36	26	0	80
02/03/2013	35.8	25.4	0	68
03/03/2013	34	26	2.2	64
04/03/2013	27.6	23	1.6	66
05/03/2013	31.7	22.3	0	76
06/03/2013	33.5	23	0	70
07/03/2013	35.8	23	0	60
08/03/2013	35.5	25	0	61
09/03/2013	35	25	0	53
10/03/2013	34	25	0	70
11/03/2013	35.5	25.2	0	66
12/03/2013	35.5	25.5	0	62
13/03/2013	35.8	25	0	70
14/03/2013	37	25.5	0	77
15/03/2013	35.3	24.5	0	78
16/03/2013	34.8	25	0	78
17/03/2013	36.7	25	0	90
18/03/2013	36.5	25	0	68
19/03/2013	37.6	25	0	66
20/03/2013	36.6	26	0	77
21/03/2013	36.8	25.6	0	60
22/03/2013	37	25	0	52
23/03/2013	37.2	25	0	49
24/03/2013	37.7	25	0	54
25/03/2013	39.6	25	0	68
26/03/2013	37.5	26	0	56
27/03/2013	38	25.8	0	52
28/03/2013	37.6	25.8	0	68
29/03/2013	37.4	26.4	0	61
30/03/2013	37.5	26.5	0	56
31/03/2013	38	26	0	52
01/04/2013	39.2	25.6	0	56
02/04/2013	38.6	26	0	59
03/04/2013	38.7	27	0	55
04/04/2013	38.6	27.2	0	51
05/04/2013	39	26.7	0	50
06/04/2013	37.5	26.5	0	50
07/04/2013	37	26.8	0	66
08/04/2013	37.2	25.4	0	83
09/04/2013	39.2	24.5	0	74
10/04/2013	38	25	0	75
11/04/2013	36.5	25	0.2	74
12/04/2013	36.5	25.5	0	64
13/04/2013	38	26	0	61
14/04/2013	36.6	27	0.3	57
15/04/2013	34.5	25	0.6	58
16/04/2013	36	25.6	0	66
17/04/2013	32.5	26	0	80
18/04/2013	36.7	24.8	0	67
19/04/2013	38	26.5	0	62
20/04/2013	38	26	0	68
21/04/2013	38.5	26	0	74
22/04/2013	36.4	26.2	0	64
23/04/2013	35.4	26.3	37.3	59
24/04/2013	36.2	24.2	0	59
25/04/2013	36	25.5	0.4	65
26/04/2013	37.2	25.5	0	69
27/04/2013	37	27	0	70
28/04/2013	37	26	0	80
29/04/2013	37.4	26.3	0	77
30/04/2013	37.5	26.5	0	71
01/05/2013	38	26.5	0	69
02/05/2013	38.7	26.4	0	70
03/05/2013	38.5	28	0	75
04/05/2013	38.7	27.5	0	67
05/05/2013	34.5	26.8	23.6	62
06/05/2013	37	25.5	0	68
07/05/2013	37.5	23.5	0	72
08/05/2013	38	27.2	0	60
09/05/2013	38	26.5	0	75
10/05/2013	38.3	26.5	0	70
11/05/2013	38	27	0	61
12/05/2013	38.5	27	0	56
13/05/2013	38.3	27	0	58
14/05/2013	38.5	27.5	0	57
15/05/2013	38.5	28	0	56
16/05/2013	39	29	0	59
17/05/2013	38.8	28.2	27.5	74
18/05/2013	37	25.5	0.2	60
19/05/2013	37.5	25.5	0.8	88
20/05/2013	37.6	25.4	0	77
21/05/2013	36.5	27.2	0	63
22/05/2013	36.5	27	0.3	58
23/05/2013	37.5	26	0	61
24/05/2013	37.5	26.5	4.2	61
25/05/2013	37.5	25.5	1	68
26/05/2013	37.5	25.5	0	64
27/05/2013	37.2	25.5	0	53
28/05/2013	38	27.4	0	59
29/05/2013	38	28	0	63
30/05/2013	37	27.5	0	64
31/05/2013	33.6	26.4	0	56
01/06/2013	37	25	0	55
02/06/2013	37	24.5	0	63
03/06/2013	36	24.9	0.2	57
04/06/2013	36	25.6	4.2	81
05/06/2013	33.8	25.2	19.5	67
06/06/2013	33.5	23.6	20.5	60
07/06/2013	34	24	0	58
08/06/2013	35.6	24.2	0	57
09/06/2013	38.5	24.2	0	61
10/06/2013	36	26.8	21	84
11/06/2013	35	25	0.8	79
12/06/2013	32.5	24.8	18.8	90
13/06/2013	33	25	37.2	71
14/06/2013	33.5	24.7	0	68
15/06/2013	34.4	26.2	0	64
16/06/2013	35.5	26	0	61
17/06/2013	34.8	25.6	1.5	56
18/06/2013	34.2	25.4	0.2	48
19/06/2013	35	26	38.3	51
20/06/2013	34.4	25.2	0	56
21/06/2013	31.9	26.7	0.5	53
22/06/2013	33.5	27	0.7	41
23/06/2013	34	25.5	3.5	62
24/06/2013	33.6	25	3.3	61
25/06/2013	33	25.6	0.3	59
26/06/2013	32.5	26.5	3.8	62
27/06/2013	32.9	26.2	0	90
28/06/2013	34.7	25.5	0	87
29/06/2013	35	25.5	0	72
30/06/2013	35.2	25.2	0	68
01/07/2013	35	24.2	0	55
02/07/2013	35.4	25.6	0	54
03/07/2013	35.4	24.7	3.5	61
04/07/2013	35.5	26	0	78
05/07/2013	34	26	29.9	95
06/07/2013	34	25.2	3.5	70
07/07/2013	34	25.3	0	67
08/07/2013	32.6	25	18	64
09/07/2013	32	24.7	2.1	63
10/07/2013	32.5	24.5	3.2	67
11/07/2013	33.5	24.5	3.3	66
12/07/2013	33.6	24.5	0	58
13/07/2013	34.5	25.5	0	80
14/07/2013	34.5	25.5	0	84
15/07/2013	34.2	25.6	0	77
16/07/2013	34	25.5	8.6	81
17/07/2013	34.5	24.5	0	90
18/07/2013	36.5	25.5	0.1	88
19/07/2013	32.5	26	0	69
20/07/2013	32.5	25.5	0	71
21/07/2013	35.2	25.5	0	74
22/07/2013	33.5	27	1	80
23/07/2013	34	26	2.7	70
24/07/2013	32	25.2	0.4	62
25/07/2013	34	25.6	0	63
26/07/2013	33.8	25.8	0	63
27/07/2013	34.7	25.5	1	63
28/07/2013	34.5	26	0.2	59
29/07/2013	33.8	25.5	5.3	60
30/07/2013	30.5	24.9	2.1	56
31/07/2013	31.5	26	0	40
01/08/2013	34.6	25.8	0	50
02/08/2013	35.1	25.7	2.9	48
03/08/2013	35	25.5	7.2	41
04/08/2013	35	24.5	0	54
05/08/2013	33.6	24.5	0.3	68
06/08/2013	36	24.5	0	74
07/08/2013	33.5	24.6	11.4	69
08/08/2013	34.9	24	0.3	55
09/08/2013	31.2	25.5	17	75
10/08/2013	34	24.5	0	78
11/08/2013	34	26	0.8	71
12/08/2013	35.5	25.5	10	76
13/08/2013	33.5	24.2	10.9	70
14/08/2013	32.4	24.5	1.9	77
15/08/2013	32.5	26	0	67
16/08/2013	33.6	25.8	0	64
17/08/2013	35.1	23.4	0	65
18/08/2013	35	26.5	0	61
19/08/2013	35.5	26.3	0	64
20/08/2013	35.5	26	15.2	63
21/08/2013	33	24.4	0	57
22/08/2013	31.5	25.3	10.4	61
23/08/2013	33.5	23.5	9.8	61
24/08/2013	33.5	25	19	63
25/08/2013	33.5	24	23.8	64
26/08/2013	34.8	24	3	61
27/08/2013	35.5	24.2	20.9	57
28/08/2013	34.9	23.9	0	79
29/08/2013	35	26.5	0	69
30/08/2013	35.5	26.7	1.6	66
31/08/2013	34.4	26	4	70
01/09/2013	35.5	26	0	71
02/09/2013	32.5	26	6.7	64
03/09/2013	34.1	25.9	0	57
04/09/2013	35.5	26	0	49
05/09/2013	35.5	26	18.8	58
06/09/2013	33	24.5	0	55
07/09/2013	35	25	15.1	70
08/09/2013	30.4	25	0.5	90
09/09/2013	33	25	0	82
10/09/2013	35	25	0.3	80
11/09/2013	35	24.5	32	68
12/09/2013	34.3	24.5	21.9	64
13/09/2013	28.6	24.5	4.9	66
14/09/2013	32.2	24.7	1.7	76
15/09/2013	33.4	26.2	63.9	70
16/09/2013	33	24.5	0	60
17/09/2013	32.8	24.4	0	61
18/09/2013	34.2	25.6	3.6	53
19/09/2013	32	24.8	58.4	70
20/09/2013	27.8	23.8	10.3	66
21/09/2013	31.5	24.4	9.5	62
22/09/2013	33	25.6	3.8	70
23/09/2013	30.4	25.5	0.1	77
24/09/2013	34.7	25.9	0	78
25/09/2013	34.5	26.5	2	78
26/09/2013	33.8	25.9	0	90
27/09/2013	33.8	26.2	2	68
28/09/2013	34.5	25.2	12.5	66
29/09/2013	32	24.5	99	77
30/09/2013	32	24	1.6	60
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
