Date	TmaxC	TminC	Rain	Tmax	Tmin
01/01/2013	30.2	20.7	0	304.2	294.7
02/01/2013	33	21.5	0	307	295.5
03/01/2013	33.2	21.5	0	307.2	295.5
04/01/2013	32.6	21.4	0	306.6	295.4
05/01/2013	32.2	21	0	306.2	295
06/01/2013	32	21	0	306	295
07/01/2013	32.5	21	0	306.5	295
08/01/2013	33.8	21.2	0	307.8	295.2
09/01/2013	33.8	21	0	307.8	295
10/01/2013	33.5	21	0	307.5	295
11/01/2013	33	22.6	0	307	296.6
12/01/2013	33.3	22.5	1	307.3	296.5
13/01/2013	33.6	23	0	307.6	297
14/01/2013	32.5	22	0	306.5	296
15/01/2013	32	20.5	0	306	294.5
16/01/2013	34	22	0	308	296
17/01/2013	33.2	22.2	0	307.2	296.2
18/01/2013	32.8	21	0	306.8	295
19/01/2013	31	20	0	305	294
20/01/2013	32.5	20	0	306.5	294
21/01/2013	33.8	20	0	307.8	294
22/01/2013	33.8	22.5	0	307.8	296.5
23/01/2013	35	23.5	0	309	297.5
24/01/2013	34.8	23.6	1.5	308.8	297.6
25/01/2013	31.5	25	0	305.5	299
26/01/2013	32	24	0	306	298
27/01/2013	32.5	23.5	2	306.5	297.5
28/01/2013	31.2	23.5	0	305.2	297.5
29/01/2013	31.2	21.6	0	305.2	295.6
30/01/2013	32.6	23.8	0	306.6	297.8
31/01/2013	32.3	24.5	0.4	306.3	298.5
01/02/2013	31.5	23	0	305.5	297
02/02/2013	32.4	23	0	306.4	297
03/02/2013	32	24.5	0	306	298.5
04/02/2013	34.7	24.5	0	308.7	298.5
05/02/2013	35	24.5	0	309	298.5
06/02/2013	36	25	0	310	299
07/02/2013	36	25	0	310	299
08/02/2013	34.2	25	0	308.2	299
09/02/2013	33.8	24.8	0	307.8	298.8
10/02/2013	34.2	25	0	308.2	299
11/02/2013	35.4	25.4	0	309.4	299.4
12/02/2013	35.5	24.5	0	309.5	298.5
13/02/2013	33	24.5	0	307	298.5
14/02/2013	35.4	23.5	0	309.4	297.5
15/02/2013	34.5	24	0	308.5	298
16/02/2013	34.5	24	4.5	308.5	298
17/02/2013	35.5	24	0	309.5	298
