Date	Tav
1/1/2013	25.45
2/1/2013	27.25
3/1/2013	27.35
4/1/2013	27
5/1/2013	26.6
6/1/2013	26.5
7/1/2013	26.75
8/1/2013	27.5
9/1/2013	27.4
10/1/2013	27.25
11/1/2013	27.8
12/1/2013	27.9
13/01/2013	28.3
14/01/2013	27.25
15/01/2013	26.25
16/01/2013	28
17/01/2013	27.7
18/01/2013	26.9
19/01/2013	25.5
20/01/2013	26.25
21/01/2013	26.9
22/01/2013	28.15
23/01/2013	29.25
24/01/2013	29.2
25/01/2013	28.25
26/01/2013	28
27/01/2013	28
28/01/2013	27.35
29/01/2013	26.4
30/01/2013	28.2
31/01/2013	28.4
1/2/2013	27.25
2/2/2013	27.7
3/2/2013	28.25
4/2/2013	29.6
5/2/2013	29.75
6/2/2013	30.5
7/2/2013	30.5
8/2/2013	29.6
9/2/2013	29.3
10/2/2013	29.6
11/2/2013	30.4
12/2/2013	30
13/02/2013	28.75
14/02/2013	29.45
15/02/2013	29.25
16/02/2013	29.25
17/02/2013	29.75
18/02/2013	29.5
19/02/2013	29.75
20/02/2013	30.35
21/02/2013	30.2
22/02/2013	29
23/02/2013	27
24/02/2013	27.6
25/02/2013	28.9
26/02/2013	29.7
27/02/2013	31
28/02/2013	30.85
1/3/2013	31
2/3/2013	30.6
3/3/2013	30
4/3/2013	25.3
5/3/2013	27
6/3/2013	28.25
7/3/2013	29.4
8/3/2013	30.25
9/3/2013	30
10/3/2013	29.5
11/3/2013	30.35
12/3/2013	30.5
13/03/2013	30.4
14/03/2013	31.25
15/03/2013	29.9
16/03/2013	29.9
17/03/2013	30.85
18/03/2013	30.75
19/03/2013	31.3
20/03/2013	31.3
21/03/2013	31.2
22/03/2013	31
23/03/2013	31.1
24/03/2013	31.35
25/03/2013	32.3
26/03/2013	31.75
27/03/2013	31.9
28/03/2013	31.7
29/03/2013	31.9
30/03/2013	32
31/03/2013	32
1/4/2013	32.4
2/4/2013	32.3
3/4/2013	32.85
4/4/2013	32.9
5/4/2013	32.85
6/4/2013	32
7/4/2013	31.9
8/4/2013	31.3
9/4/2013	31.85
10/4/2013	31.5
11/4/2013	30.75
12/4/2013	31
13/04/2013	32
14/04/2013	31.8
15/04/2013	29.75
16/04/2013	30.8
17/04/2013	29.25
18/04/2013	30.75
19/04/2013	32.25
20/04/2013	32
21/04/2013	32.25
22/04/2013	31.3
23/04/2013	30.85
24/04/2013	30.2
25/04/2013	30.75
26/04/2013	31.35
27/04/2013	32
28/04/2013	31.5
29/04/2013	31.85
30/04/2013	32
1/5/2013	32.25
2/5/2013	32.55
3/5/2013	33.25
4/5/2013	33.1
5/5/2013	30.65
6/5/2013	31.25
7/5/2013	30.5
8/5/2013	32.6
9/5/2013	32.25
10/5/2013	32.4
11/5/2013	32.5
12/5/2013	32.75
13/05/2013	32.65
14/05/2013	33
15/05/2013	33.25
16/05/2013	34
17/05/2013	33.5
18/05/2013	31.25
19/05/2013	31.5
20/05/2013	31.5
21/05/2013	31.85
22/05/2013	31.75
23/05/2013	31.75
24/05/2013	32
25/05/2013	31.5
26/05/2013	31.5
27/05/2013	31.35
28/05/2013	32.7
29/05/2013	33
30/05/2013	32.25
31/05/2013	30
1/6/2013	31
2/6/2013	30.75
3/6/2013	30.45
4/6/2013	30.8
5/6/2013	29.5
6/6/2013	28.55
7/6/2013	29
8/6/2013	29.9
9/6/2013	31.35
