Day	Temperature	r1LossRate	e1LossRate	r2LossRate
1	11.7	0	0	0
2	8.3	0	0	0
3	10	0	0	0
4	15	0	0	0
5	19.45	0	0	0
6	21.35	0	0	0
7	25	0	0	0
8	24.7	0	0	1.24E-08
9	16.7	0	0	0.003280451
10	18.05	0	0	0.060464892
11	15.3	0	0	0.198513395
12	18.6	0	0	0.337270734
13	13.05	0	0	0.805028732
14	13.85	0	0	0.402429417
15	15.3	0	0	0.23075912
16	15.85	0	0	0.095134026
17	11.4	0	0	0.028779271
18	5.85	0	0	0.00546743
19	8.35	0	0	0.001322036
20	10.8	0.8	0.5	0.000902032
21	20	0.623040627	0.389400392	0.000251132
22	19.15	0.485224528	0.30326533	8.00E-05
23	15	0.377893242	0.236183276	3.35E-06
24	8.9	0.294303553	0.183939721	1.74E-07
25	7.5	0.229203838	0.143252398	1.77E-08
26	11.4	0.178504128	0.11156508	5.16E-09
27	16.7	0.139019155	0.086886972	2.80E-09
28	21.7	0.108268227	0.067667642	1.50E-09
29	23.35	0.08431938	0.052699612	4.95E-10
30	16.95	0.065667999	0.041042499	1.90E-11
31	16.95	0.051142289	0.031963931	1.01E-13
32	11.65	0.039829655	0.024893534	6.87E-15
33	18.05	0.031019366	0.019387104	6.15E-16
34	22.5	0.024157907	0.015098692	2.04E-16
35	25.25	0.018814197	0.011758873	1.42E-17
36	23.65	0.014652511	0.009157819	8.05E-20
37	14.75	0.011411387	0.007132117	3.58E-23
38	16.95	0.008887197	0.005554498	1.23E-26
39	20	0.006921356	0.004325848	5.82E-28
40	21.4	0.005390358	0.003368974	2.65E-29
41	21.65	0.004198015	0.002623759	2.97E-31
42	22.5	0.003269417	0.002043386	1.04E-33
43	21.1	0.002546225	0.00159139	1.65E-33
44	13.1	0.001983002	0.001239376	2.26E-30
45	18.05	0.001544363	0.000965227	8.22E-29
46	23.6	0.001202751	0.00075172	3.87E-27
47	24.15	0.000936704	0.00058544	1.61E-24
48	20	0.000729506	0.000455941	1.24E-21
49	16.7	0.00056814	0.000355087	1.21E-19
50	18.3	0.000442467	0.000276542	8.98E-18
51	24.2	0.000344594	0.000215371	1.20E-16
52	26.4	0.00026837	0.000167731	4.40E-15
53	22.2	0.000209007	0.000130629	9.40E-14
54	24.7	0.000162775	0.000101734	3.23E-12
55	24.45	0.000126769	7.92E-05	2.70E-10
56	26.65	9.87E-05	6.17E-05	2.98E-09
57	18.35	7.69E-05	4.81E-05	3.33E-08
58	12.75	5.99E-05	3.74E-05	8.18E-08
59	16.95	4.66E-05	2.91E-05	1.14E-07
60	23.9	3.63E-05	2.27E-05	7.05E-07
61	23.35	2.83E-05	1.77E-05	3.28E-06
62	23.85	2.20E-05	1.38E-05	7.36E-06
63	21.95	1.72E-05	1.07E-05	3.31E-05
64	14.2	1.34E-05	8.35E-06	8.60E-05
65	17.25	1.04E-05	6.50E-06	9.43E-05
66	21.65	8.10E-06	5.07E-06	0.000367634
67	13.9	6.31E-06	3.94E-06	0.001031002
68	16.1	4.92E-06	3.07E-06	0.000598349
69	20	3.83E-06	2.39E-06	0.000685745
70	21.9	2.98E-06	1.86E-06	0.001111325
71	15.55	2.32E-06	1.45E-06	0.00256221
72	16.65	1.81E-06	1.13E-06	0.001800108
73	23.6	1.41E-06	8.80E-07	0.002826067
74	27.8	1.10E-06	6.85E-07	0.012700405
75	27.5	8.54E-07	5.34E-07	0.034265381
76	26.1	6.65E-07	4.16E-07	0.056974159
77	27.75	5.18E-07	3.24E-07	0.066549072
78	25	4.03E-07	2.52E-07	0.084139542
79	19.75	3.14E-07	1.96E-07	0.043131165
80	16.15	2.45E-07	1.53E-07	0.024467115
81	18.3	1.91E-07	1.19E-07	0.017559974
82	18.6	1.48E-07	9.28E-08	0.020654883
83	18.35	1.16E-07	7.22E-08	0.019820886
