date	smin	smax	smean	tmean
01/01/2009 	18.608532  	19.25570   	19.121352  	 1.83556096
02/01/2009 	18.461992  	19.16566   	18.840278  	 1.87887035
03/01/2009 	15.343626  	18.94923   	17.844575  	 1.57713537
04/01/2009 	11.061519  	17.65315   	15.141515  	 1.64288396
05/01/2009 	15.410990  	17.92894   	17.411816  	 1.50226193
06/01/2009 	17.667913  	20.45261   	19.550928  	 0.91961264
07/01/2009 	19.362411  	19.98917   	19.693203  	 0.67907716
08/01/2009 	19.180424  	19.90769   	19.695662  	 0.72172835
09/01/2009 	18.559505  	20.05527   	18.958497  	 0.34007205
10/01/2009 	19.835514  	20.13383   	19.982579  	 0.28408680
11/01/2009 	19.098291  	20.65399   	19.977315  	-0.07100989
12/01/2009 	16.093496  	21.18862   	19.585357  	 0.11748772
13/01/2009 	21.204641  	22.54906   	21.952407  	 1.25349722
14/01/2009 	22.041479  	23.37883   	22.911486  	 1.68139266
15/01/2009 	22.069269  	22.77922   	22.476680  	 1.54661527
16/01/2009 	22.537140  	22.97397   	22.866190  	 1.52594293
17/01/2009 	21.426445  	23.18710   	22.863751  	 1.79597553
18/01/2009 	16.802612  	22.28942   	21.402964  	 2.52702098
19/01/2009 	19.070473  	23.87753   	23.053639  	 2.84097021
20/01/2009 	22.317497  	25.72110   	23.551432  	 3.03408744
21/01/2009 	25.528585  	26.31057   	25.913094  	 2.85737248
22/01/2009 	25.334929  	26.25916   	25.628122  	 2.59405186
23/01/2009 	25.401411  	27.49936   	26.833896  	 2.71611675
24/01/2009 	22.652878  	27.03424   	24.441490  	 3.00702187
25/01/2009 	24.632380  	26.00445   	25.399884  	 2.87772937
26/01/2009 	25.843967  	26.39185   	26.110434  	 2.60725613
27/01/2009 	26.126783  	26.41859   	26.315585  	 2.27534876
28/01/2009 	25.839813  	26.44363   	26.190115  	 2.01714785
29/01/2009 	25.865145  	26.34612   	26.193211  	 1.76929226
30/01/2009 	25.672857  	26.33150   	26.061322  	 1.47101257
31/01/2009 	24.411581  	25.78740   	24.991206  	 1.02593094
01/02/2009 	23.709286  	24.38923   	24.048564  	 0.57694226
02/02/2009 	23.662207  	23.85161   	23.746859  	 0.30953358
03/02/2009 	23.580938  	23.74386   	23.657851  	 0.49370765
04/02/2009 	23.544369  	23.62963   	23.574618  	 0.63074168
05/02/2009 	23.581882  	23.72749   	23.623660  	 0.76285398
06/02/2009 	23.264294  	23.71317   	23.467272  	 1.06525660
07/02/2009 	21.917881  	23.53503   	22.767873  	 1.27627903
08/02/2009 	17.370325  	23.05717   	21.037619  	 1.22729316
09/02/2009 	20.266365  	21.54769   	20.889733  	 1.34392026
10/02/2009 	21.441309  	21.84284   	21.610702  	 1.42214705
11/02/2009 	20.799564  	21.82221   	21.614592  	 1.60768682
12/02/2009 	19.927223  	21.52462   	20.863219  	 1.72677454
13/02/2009 	17.935503  	20.77255   	19.232513  	 1.79611818
14/02/2009 	18.451563  	19.56083   	19.088452  	 1.67470607
15/02/2009 	14.846568  	19.05878   	17.760112  	 1.75635122
16/02/2009 	10.156079  	17.56983   	16.103299  	 2.24739171
17/02/2009 	12.220242  	20.55455   	16.951895  	 2.57302312
18/02/2009 	19.250605  	20.41430   	19.592612  	 2.42102905
19/02/2009 	15.630980  	19.44907   	18.038148  	 2.39588397
20/02/2009 	11.782159  	16.75272   	14.691530  	 2.71091554
21/02/2009 	13.123689  	16.06598   	14.829080  	 2.92881497
22/02/2009 	10.077388  	14.81015   	12.052060  	 3.30651803
23/02/2009 	11.114269  	14.18236   	13.038195  	 3.67136723
24/02/2009 	13.498624  	15.90733   	14.290292  	 3.69088119
25/02/2009 	11.276515  	16.54532   	13.908720  	 3.90077180
26/02/2009 	 6.049795  	14.70769   	10.516193  	 4.31286089
27/02/2009 	10.546878  	13.55369   	12.054210  	 4.59021911
28/02/2009 	11.733922  	14.15854   	13.263494  	 4.80902520
01/03/2009 	13.514976  	16.42069   	15.982873  	 4.78110505
02/03/2009 	14.072294  	16.75336   	15.911919  	 4.84930143
03/03/2009 	14.948009  	18.22446   	16.655706  	 4.95976776
04/03/2009 	18.146721  	19.89887   	18.751165  	 4.89635936
05/03/2009 	18.570362  	19.56281   	19.212155  	 4.81711588
06/03/2009 	17.532686  	19.16804   	18.772332  	 4.80802412
07/03/2009 	14.535773  	18.77454   	17.296370  	 4.64604415
08/03/2009 	13.279322  	16.85375   	16.046871  	 5.08673818
09/03/2009 	10.024699  	16.34001   	13.148910  	 5.11149950
10/03/2009 	13.191725  	15.59900   	14.659739  	 5.07978711
11/03/2009 	15.449788  	16.74755   	16.109383  	 5.11383405
12/03/2009 	12.378893  	16.64577   	15.572594  	 5.44856547
13/03/2009 	13.562133  	16.35081   	15.608425  	 5.51421955
14/03/2009 	11.630024  	16.98726   	15.945171  	 5.66266562
15/03/2009 	 8.805455  	15.25099   	13.115173  	 5.87850864
16/03/2009 	12.781878  	16.14809   	14.966755  	 5.90741654
17/03/2009 	14.053703  	15.85903   	15.198211  	 6.17790096
18/03/2009 	13.968444  	15.68633   	15.102718  	 6.17507892
19/03/2009 	13.957849  	15.32405   	14.771262  	 6.32885906
20/03/2009 	15.120938  	15.54621   	15.326565  	 6.31393919
21/03/2009 	12.393270  	15.15492   	13.991606  	 6.36808263
22/03/2009 	 9.663106  	12.95103   	11.645829  	 6.58398539
23/03/2009 	 1.509556  	12.37493   	 7.357541  	 6.94656791
24/03/2009 	 5.588482  	10.82358   	 8.395686  	 6.88026123
25/03/2009 	 8.512879  	14.12863   	10.804651  	 6.77073038
26/03/2009 	 8.964510  	14.85641   	11.889002  	 6.70235577
27/03/2009 	 7.796739  	13.24406   	10.334741  	 6.65921566
28/03/2009 	13.723324  	15.17791   	14.833582  	 6.59219849
29/03/2009 	14.706385  	15.81562   	15.528159  	 6.49136772
30/03/2009 	14.047462  	15.69662   	15.282861  	 6.47423034
31/03/2009 	14.138113  	16.12371   	15.195976  	 6.62547113
01/04/2009 	15.648377  	16.07590   	15.940014  	 6.91057423
02/04/2009 	15.846850  	15.99793   	15.890602  	 7.18353859
03/04/2009 	15.705655  	16.58337   	16.167401  	 7.57769843
04/04/2009 	16.205162  	17.25516   	16.698179  	 7.86046650
05/04/2009 	16.401705  	17.07810   	16.789484  	 8.22857723
06/04/2009 	17.009100  	18.42303   	17.549595  	 8.52563192
07/04/2009 	17.874229  	18.61636   	18.360662  	 8.84937843
08/04/2009 	17.796488  	18.71565   	18.358941  	 8.92005163
09/04/2009 	18.259266  	19.83309   	19.035204  	 8.84048418
10/04/2009 	19.576073  	19.90739   	19.727374  	 9.20403403
