date	smin	smax	smean	tmean
01/01/2009 	22.272663  	27.77485   	26.21564   	-0.29372391
02/01/2009 	22.402420  	28.95122   	26.82010   	 0.96685455
03/01/2009 	22.518673  	29.47396   	27.44313   	 0.92475748
04/01/2009 	21.042114  	28.99756   	26.69407   	 1.58575162
05/01/2009 	20.781372  	31.24223   	28.65019   	 1.63732042
06/01/2009 	25.167595  	31.21717   	28.88749   	-0.16995887
07/01/2009 	22.736441  	31.14443   	27.92476   	-0.03424779
08/01/2009 	23.999765  	31.08768   	28.81015   	-0.32752296
09/01/2009 	23.376831  	30.88564   	27.15955   	-0.35296542
10/01/2009 	22.301294  	30.62584   	26.55843   	-0.88190314
11/01/2009 	22.706795  	30.38064   	24.31403   	-0.16928019
12/01/2009 	23.140388  	26.71590   	24.26154   	 1.33250715
13/01/2009 	25.294622  	27.50743   	26.38181   	 2.54240786
14/01/2009 	25.059502  	27.21377   	25.83071   	 2.88145038
15/01/2009 	23.737951  	26.20979   	24.62174   	 2.39707846
16/01/2009 	23.564709  	24.16115   	23.83712   	 2.04385011
17/01/2009 	21.855667  	24.46522   	23.26112   	 2.22669327
18/01/2009 	23.832010  	25.99774   	24.44029   	 3.01998673
19/01/2009 	23.520805  	27.93321   	25.52428   	 2.94834657
20/01/2009 	25.104998  	29.22888   	27.53358   	 3.02228741
21/01/2009 	27.656940  	29.54723   	28.68982   	 2.66489572
22/01/2009 	27.086840  	29.27747   	28.23832   	 2.54894710
23/01/2009 	26.556057  	29.64103   	28.14869   	 2.77805525
24/01/2009 	26.826162  	29.63729   	28.70571   	 3.09824741
25/01/2009 	27.396004  	29.63706   	28.72007   	 2.89069862
26/01/2009 	26.654188  	27.62795   	27.09390   	 2.48922306
27/01/2009 	26.363848  	27.64944   	27.34490   	 1.79361412
28/01/2009 	24.496807  	27.65052   	26.72430   	 1.43749584
29/01/2009 	25.567659  	27.63223   	26.47667   	 1.06518132
30/01/2009 	21.096159  	26.44419   	23.75347   	 0.27766636
31/01/2009 	16.986759  	22.65480   	19.96352   	-0.31680858
01/02/2009 	15.989345  	26.44623   	21.16744   	-0.75380119
02/02/2009 	19.517418  	27.25724   	23.66846   	-0.59783440
03/02/2009 	19.645510  	24.15586   	21.57245   	-0.20953053
04/02/2009 	19.705503  	23.86755   	21.68101   	 0.20512848
05/02/2009 	19.655863  	23.80793   	21.47614   	 0.37083383
06/02/2009 	20.350628  	24.22045   	22.14692   	 1.12036987
07/02/2009 	20.061481  	24.49761   	21.21830   	 1.23818514
08/02/2009 	19.758917  	24.55517   	21.70675   	 1.53625409
09/02/2009 	20.080357  	24.75026   	21.64138   	 1.53455869
10/02/2009 	20.161106  	27.95601   	24.27913   	 1.55876244
11/02/2009 	24.597471  	29.75240   	27.50917   	 2.03897145
12/02/2009 	25.199858  	30.27658   	28.65001   	 2.22622019
13/02/2009 	24.853359  	29.90769   	28.68622   	 2.38881360
14/02/2009 	23.732672  	29.88797   	28.94581   	 1.69187822
15/02/2009 	23.249187  	29.86711   	27.49121   	 1.72059617
16/02/2009 	23.311764  	29.94801   	28.91287   	 3.15228672
17/02/2009 	23.685953  	29.75493   	28.83592   	 4.15858306
18/02/2009 	21.584652  	29.51393   	27.36675   	 3.01282792
