date	smin	smax	smean	tmean
01/01/2009 	22.584549  	27.30838   	26.30080   	-0.39625364
02/01/2009 	22.412075  	28.10214   	26.63562   	 0.73156021
03/01/2009 	22.549585  	28.79920   	27.03834   	 0.80314747
04/01/2009 	21.470640  	30.16116   	25.92715   	 1.88175775
05/01/2009 	21.532248  	30.93306   	28.46834   	 1.27932660
06/01/2009 	24.731091  	31.29653   	29.71292   	-0.58226263
07/01/2009 	23.223845  	30.55112   	27.26308   	-0.06636184
08/01/2009 	23.590628  	30.60712   	28.18666   	-0.42036078
09/01/2009 	23.184315  	29.97883   	26.63167   	-0.37120864
10/01/2009 	22.853136  	30.36932   	27.62380   	-1.11572760
11/01/2009 	22.751432  	30.20137   	24.65697   	-0.18638595
12/01/2009 	23.469296  	27.40207   	24.71309   	 1.50726031
13/01/2009 	26.082882  	28.19874   	27.13065   	 2.76707448
14/01/2009 	25.480585  	27.74615   	26.50285   	 3.19342413
15/01/2009 	24.584259  	26.70879   	25.96142   	 2.80230807
16/01/2009 	23.372755  	24.99183   	24.12361   	 1.94235304
17/01/2009 	22.194151  	23.88770   	23.17890   	 2.18339402
18/01/2009 	23.731895  	27.09408   	24.74929   	 3.07491690
19/01/2009 	25.626030  	29.12377   	27.20676   	 2.97429340
20/01/2009 	27.415203  	29.98470   	28.83702   	 3.01127721
21/01/2009 	28.887142  	30.11111   	29.64900   	 2.56274342
22/01/2009 	28.010965  	29.94017   	28.76373   	 2.50386039
23/01/2009 	27.046740  	29.67445   	28.76738   	 2.77582540
24/01/2009 	27.705591  	29.77232   	29.22850   	 3.03479785
25/01/2009 	27.934893  	29.77748   	29.12558   	 2.78964279
26/01/2009 	26.641298  	29.38707   	27.69729   	 2.46061085
27/01/2009 	26.443676  	28.79381   	27.30933   	 1.47015437
28/01/2009 	25.026066  	27.63868   	26.88724   	 0.99739587
29/01/2009 	24.950005  	27.64539   	26.80529   	 0.82624746
30/01/2009 	22.301437  	27.38040   	25.51078   	 0.25171666
31/01/2009 	17.648333  	24.11773   	20.67221   	-0.51212686
01/02/2009 	16.152315  	24.52944   	20.21797   	-0.95561760
02/02/2009 	18.118946  	27.09720   	23.40420   	-0.53612225
03/02/2009 	19.303408  	26.79073   	22.19974   	-0.13797708
04/02/2009 	19.312256  	25.79211   	22.18978   	 0.28709611
05/02/2009 	19.364868  	24.30663   	21.19341   	 0.51025270
06/02/2009 	19.379198  	24.47978   	21.28240   	 1.15084229
07/02/2009 	19.315899  	24.81675   	20.93456   	 1.55405575
08/02/2009 	19.915989  	24.59846   	23.13401   	 1.66269541
09/02/2009 	20.485788  	24.55969   	23.27123   	 1.65263060
10/02/2009 	19.715895  	26.74604   	21.88815   	 1.58512808
11/02/2009 	24.076065  	28.73162   	26.69723   	 1.93067254
12/02/2009 	25.433086  	29.90852   	27.82838   	 2.14283084
13/02/2009 	25.195150  	29.79282   	28.63209   	 2.45867433
14/02/2009 	24.055996  	29.98938   	28.93450   	 1.62762294
15/02/2009 	23.588272  	30.21920   	28.06251   	 1.94067855
16/02/2009 	23.512697  	30.22059   	28.40769   	 3.00432413
17/02/2009 	23.602921  	29.83405   	28.54168   	 4.02768215
18/02/2009 	22.455492  	29.69823   	27.81006   	 3.26157238
19/02/2009 	20.790720  	28.09230   	24.14960   	 2.73115695
20/02/2009 	20.769293  	29.14219   	23.38986   	 3.45245499
21/02/2009 	20.958073  	28.73930   	23.97976   	 3.87928296
22/02/2009 	20.985113  	28.37297   	23.11121   	 4.02102248
23/02/2009 	21.259710  	29.69014   	26.95374   	 4.43611860
24/02/2009 	20.870033  	29.26868   	26.85578   	 4.56235931
25/02/2009 	20.600752  	29.27531   	25.62276   	 4.68466899
26/02/2009 	20.385340  	30.29891   	24.70638   	 4.76684547
27/02/2009 	19.082722  	30.22867   	25.65393   	 5.34824765
28/02/2009 	19.336605  	30.15643   	27.35145   	 5.78218182
01/03/2009 	20.192280  	29.98928   	27.49003   	 5.59209225
02/03/2009 	21.495033  	29.57277   	26.57700   	 5.54751443
03/03/2009 	21.376753  	29.03082   	25.19857   	 5.47268037
04/03/2009 	18.602327  	21.34048   	20.55413   	 4.92676975
05/03/2009 	18.612366  	21.38787   	20.34115   	 4.90951076
06/03/2009 	19.025894  	22.08953   	20.74755   	 4.71506824
07/03/2009 	20.514709  	22.38193   	21.43096   	 4.40554840
08/03/2009 	20.741940  	23.09229   	21.63323   	 5.12380787
09/03/2009 	22.285530  	24.86920   	23.68136   	 4.77441238
10/03/2009 	21.392380  	25.09272   	23.94824   	 4.80842284
11/03/2009 	22.545218  	28.35209   	26.22916   	 4.75289108
12/03/2009 	20.348127  	29.11348   	25.39365   	 5.39723654
13/03/2009 	20.822939  	29.15289   	26.70628   	 5.84131504
14/03/2009 	20.412621  	27.99258   	24.86103   	 5.94233683
15/03/2009 	21.082401  	29.48531   	26.44941   	 6.07373183
16/03/2009 	20.591675  	29.09490   	26.05631   	 6.34629453
