date	smin	smax	smean	tmean
01/01/2009  	18.05796    	19.87049    	19.14381    	 1.820450284
02/01/2009  	17.55602    	19.60000    	18.82034    	 1.740333637
03/01/2009  	16.38262    	19.98726    	18.65288    	 1.561620315
04/01/2009  	14.69735    	19.19395    	17.28211    	 1.630119038
05/01/2009  	16.13656    	18.66749    	17.39193    	 1.455441010
06/01/2009  	17.36504    	21.48944    	19.15319    	 1.053010820
07/01/2009  	17.90777    	21.71099    	19.78627    	 0.934792542
08/01/2009  	18.02096    	20.68182    	19.75367    	 0.849269761
09/01/2009  	18.53540    	21.49236    	20.09402    	 0.651492598
10/01/2009  	18.85157    	21.13754    	20.22550    	 0.426443456
11/01/2009  	19.36425    	22.80480    	21.21515    	 0.374521038
12/01/2009  	20.74375    	24.30244    	22.08898    	 0.647695238
13/01/2009  	22.02861    	25.57387    	22.94801    	 1.306510298
14/01/2009  	20.83924    	25.25963    	23.24727    	 1.636159877
15/01/2009  	18.79100    	24.29380    	22.60328    	 1.557858594
16/01/2009  	18.86487    	24.22906    	22.58992    	 1.632057918
17/01/2009  	21.77561    	24.92134    	23.74806    	 2.107383827
18/01/2009  	21.24074    	23.74670    	22.95741    	 2.566548874
19/01/2009  	22.48526    	24.94198    	23.48288    	 2.800398886
20/01/2009  	24.21977    	26.23292    	25.35636    	 3.016664073
21/01/2009  	24.96825    	26.85206    	25.75274    	 2.921861778
22/01/2009  	25.51073    	28.24657    	26.53195    	 2.692219600
23/01/2009  	26.40555    	28.69684    	27.50086    	 2.634122943
24/01/2009  	26.41965    	27.91505    	26.97056    	 2.812744985
25/01/2009  	25.85721    	27.18660    	26.53223    	 2.796806350
26/01/2009  	25.98335    	27.22714    	26.43333    	 2.643694515
27/01/2009  	21.88690    	27.10994    	25.75938    	 2.363984163
28/01/2009  	21.95613    	26.13928    	24.93728    	 2.113387133
29/01/2009  	19.87855    	26.18777    	24.08148    	 1.870190312
30/01/2009  	20.97290    	24.61915    	23.43703    	 1.581621585
31/01/2009  	21.78305    	24.70234    	23.71697    	 1.235470966
01/02/2009  	21.54542    	24.70837    	23.47747    	 0.823303944
02/02/2009  	22.09737    	24.40200    	23.25934    	 0.450098111
03/02/2009  	23.16724    	23.89579    	23.56350    	 0.532052907
04/02/2009  	23.62347    	24.23665    	23.85090    	 0.700834346
05/02/2009  	23.57785    	24.30970    	23.92889    	 0.808557743
06/02/2009  	23.75079    	24.38089    	24.02503    	 1.067593365
07/02/2009  	21.85236    	23.98140    	23.40757    	 1.199646721
08/02/2009  	20.99916    	23.56172    	22.61257    	 1.226584055
09/02/2009  	21.05918    	23.30445    	22.09008    	 1.299297551
10/02/2009  	20.22367    	23.06782    	22.11384    	 1.423192720
11/02/2009  	17.70710    	22.44871    	20.33224    	 1.538790720
12/02/2009  	17.61746    	21.01714    	19.55523    	 1.704462218
13/02/2009  	15.95744    	21.46408    	19.05288    	 1.859967182
14/02/2009  	15.93879    	23.32462    	19.23262    	 1.859768348
15/02/2009  	17.25708    	23.00829    	19.83772    	 1.946956468
16/02/2009  	15.99639    	20.70550    	18.56558    	 2.215820501
17/02/2009  	16.72553    	20.01225    	18.28756    	 2.559206858
18/02/2009  	17.86532    	20.25565    	19.34338    	 2.534394647
19/02/2009  	17.75799    	19.78390    	18.96953    	 2.476587723
20/02/2009  	15.74220    	19.12005    	18.05414    	 2.693057929
21/02/2009  	15.28575    	18.17884    	16.88793    	 2.848316903
22/02/2009  	14.98481    	17.10415    	16.27461    	 3.145341297
23/02/2009  	12.17292    	17.21107    	15.20686    	 3.465633988
24/02/2009  	12.61800    	18.85313    	15.22159    	 3.678944468
25/02/2009  	13.30021    	18.49242    	16.02511    	 3.885153492
26/02/2009  	13.89470    	17.64249    	15.79556    	 4.183131973
27/02/2009  	14.16330    	16.46747    	15.21426    	 4.478148649
28/02/2009  	14.01028    	17.66782    	15.39673    	 4.754532437
01/03/2009  	13.82817    	19.09094    	16.16123    	 4.810151229
02/03/2009  	14.63162    	18.99505    	16.73904    	 4.977958679
03/03/2009  	15.87688    	19.09554    	17.49377    	 5.062231541
04/03/2009  	17.48480    	20.71013    	18.95494    	 4.943576684
05/03/2009  	17.63146    	21.16348    	19.87088    	 4.850642800
06/03/2009  	15.36365    	20.12196    	18.28353    	 4.929357807
07/03/2009  	15.58897    	17.90330    	17.06383    	 4.845713407
08/03/2009  	16.31918    	19.66010    	17.96296    	 5.038342456
09/03/2009  	16.25368    	18.41704    	17.28089    	 5.072490881
10/03/2009  	16.90009    	19.64758    	17.84990    	 5.052253197
11/03/2009  	16.01152    	18.51658    	17.76585    	 5.051546892
12/03/2009  	15.17945    	18.65297    	17.40932    	 5.218616376
13/03/2009  	14.47727    	18.86363    	16.95603    	 5.374454657
14/03/2009  	14.21379    	18.44357    	16.81444    	 5.531222413
15/03/2009  	13.11634    	18.07955    	16.32094    	 5.739543746
16/03/2009  	12.84212    	16.96877    	15.37245    	 6.000341644
17/03/2009  	12.74130    	18.13394    	15.40763    	 6.249765972
18/03/2009  	11.77084    	16.50089    	14.47740    	 6.394763360
19/03/2009  	12.52165    	16.57716    	14.90209    	 6.520878971
20/03/2009  	13.67357    	16.33856    	15.27821    	 6.631277670
21/03/2009  	13.25815    	17.38578    	15.48831    	 6.722915957
22/03/2009  	11.25375    	15.03347    	13.45315    	 6.793439428
23/03/2009  	10.55140    	13.74879    	12.17908    	 6.911043207
24/03/2009  	10.13446    	15.52708    	12.37174    	 6.777363787
25/03/2009  	13.01879    	17.38932    	14.27691    	 6.663500617
26/03/2009  	13.71190    	15.58359    	14.75328    	 6.670319657
27/03/2009  	13.58490    	16.38349    	14.81699    	 6.647544791
28/03/2009  	14.63632    	18.70351    	15.64706    	 6.594553719
29/03/2009  	13.66790    	18.38903    	15.92455    	 6.555550247
30/03/2009  	13.88226    	17.57491    	15.61656    	 6.510208021
31/03/2009  	13.19733    	17.42601    	15.82941    	 6.645090699
01/04/2009  	12.25050    	16.94620    	15.19819    	 6.934332778
02/04/2009  	11.69164    	17.18386    	14.76672    	 7.336686482
03/04/2009  	12.82598    	18.00510    	15.51846    	 7.738615980
04/04/2009  	14.28526    	18.13716    	16.38090    	 7.988305132
05/04/2009  	14.48186    	18.33691    	16.63633    	 8.200722118
06/04/2009  	14.45672    	19.72163    	17.18907    	 8.386957606
07/04/2009  	16.26849    	20.10843    	18.26185    	 8.616977731
08/04/2009  	17.43879    	20.63593    	19.19364    	 8.650608997
09/04/2009  	18.74725    	20.55512    	19.77617    	 8.722076416
10/04/2009  	18.87475    	21.27537    	20.09145    	 9.005897999
11/04/2009  	19.00287    	21.22353    	20.31310    	 9.337279201
12/04/2009  	19.16887    	20.98213    	20.27903    	 9.700292230
13/04/2009  	19.01947    	20.62708    	20.02140    	10.019632955
14/04/2009  	19.03388    	20.45145    	19.94284    	10.274736961
15/04/2009  	19.01632    	20.46717    	19.91287    	10.621039291
16/04/2009  	19.24497    	21.16724    	20.28523    	10.979792754
17/04/2009  	19.94077    	21.58597    	20.77791    	11.107701858
18/04/2009  	20.21803    	21.52944    	20.94612    	11.067468703
19/04/2009  	20.10374    	21.43530    	20.90260    	11.215282301
20/04/2009  	19.97651    	21.24962    	20.78524    	11.652633846
21/04/2009  	20.00130    	21.10751    	20.68465    	11.993640562
22/04/2009  	19.95173    	21.00344    	20.54289    	12.176810682
23/04/2009  	19.58283    	20.74611    	20.24185    	12.269303143
24/04/2009  	19.62091    	21.91724    	20.58948    	12.455190857
25/04/2009  	19.81316    	22.86635    	21.41028    	12.525094569
26/04/2009  	20.89096    	22.54818    	21.84604    	12.661882559
27/04/2009  	21.01519    	22.60829    	21.97357    	12.734512627
28/04/2009  	21.48906    	23.25863    	22.58500    	12.654056529
29/04/2009  	21.97784    	22.97223    	22.52014    	12.714290758
30/04/2009  	22.01209    	22.84558    	22.48379    	12.908954879
01/05/2009  	22.01258    	23.02270    	22.50232    	13.251970887
02/05/2009  	21.82948    	24.06614    	22.70791    	13.490612447
03/05/2009  	22.08200    	23.23448    	22.54775    	13.555575967
04/05/2009  	21.62747    	22.70162    	22.26236    	13.218043327
05/05/2009  	19.78080    	22.32387    	21.09241    	12.966623286
06/05/2009  	18.07152    	22.01870    	20.47702    	12.873692274
07/05/2009  	19.61817    	21.93688    	20.56725    	12.888548036
08/05/2009  	19.61417    	21.49703    	20.76247    	12.936496576
09/05/2009  	20.01958    	21.44886    	20.74005    	12.902063390
10/05/2009  	20.56750    	22.12885    	21.15159    	13.104627728
11/05/2009  	20.68597    	21.91656    	21.24156    	13.160704096
12/05/2009  	20.62731    	21.88166    	21.22763    	13.074294726
13/05/2009  	20.79470    	23.80706    	22.22743    	12.948898613
14/05/2009  	21.82348    	24.63758    	23.23748    	12.961276551
15/05/2009  	22.88102    	25.16262    	24.07632    	13.053764919
16/05/2009  	23.80516    	25.24041    	24.60973    	13.162129958
17/05/2009  	24.38644    	25.27869    	24.75460    	13.325669189
18/05/2009  	24.46969    	25.11707    	24.85815    	13.361998777
19/05/2009  	23.30112    	24.96021    	24.32999    	13.400599639
20/05/2009  	22.88003    	24.52908    	23.63966    	13.569245358
21/05/2009  	23.44418    	24.42539    	23.90210    	13.894616842
22/05/2009  	23.59767    	24.34288    	23.84926    	14.207529962
23/05/2009  	23.51671    	24.19252    	23.84864    	14.609130979
24/05/2009  	23.68763    	24.16373    	23.98326    	15.076507966
25/05/2009  	23.78896    	24.41834    	24.15803    	15.574055533
26/05/2009  	23.72263    	24.82166    	24.34433    	16.037522316
27/05/2009  	22.40084    	24.72992    	24.00909    	15.863751968
28/05/2009  	21.81360    	24.21231    	23.35885    	15.837120593
29/05/2009  	20.78246    	23.68360    	22.73670    	16.142760257
30/05/2009  	19.32460    	24.33295    	21.92319    	16.303820570
31/05/2009  	20.30303    	24.14803    	22.03630    	16.569833954
01/06/2009  	19.94711    	23.20733    	21.66868    	16.984415253
02/06/2009  	19.45386    	22.05007    	21.05209    	17.102923552
03/06/2009  	19.26204    	21.32283    	20.39399    	16.656680981
04/06/2009  	19.65978    	22.22448    	20.88411    	15.556123157
05/06/2009  	21.62349    	24.19690    	22.73113    	14.614431461
06/06/2009  	23.58270    	24.77239    	24.07530    	14.274686337
07/06/2009  	23.78381    	26.70822    	25.19771    	14.298573673
08/06/2009  	25.04187    	26.66480    	25.82555    	14.631431719
09/06/2009  	25.21044    	27.35307    	26.31180    	14.985221128
10/06/2009  	25.66295    	26.99852    	26.51999    	15.249521693
11/06/2009  	23.73453    	26.94867    	25.83354    	15.440089365
12/06/2009  	22.15643    	26.35753    	24.91968    	15.574649314
13/06/2009  	21.57536    	25.70157    	23.83095    	15.797330240
14/06/2009  	21.62421    	26.63318    	24.13847    	16.247268160
15/06/2009  	21.33896    	25.47389    	23.56846    	16.674564759
16/06/2009  	20.78938    	24.96742    	23.18057    	16.846479734
17/06/2009  	21.16389    	24.66476    	23.37362    	17.066904783
18/06/2009  	22.28626    	25.16623    	23.94532    	17.210045576
19/06/2009  	22.20210    	24.95196    	23.99067    	17.237629573
20/06/2009  	21.79641    	24.71702    	23.36248    	17.088197231
21/06/2009  	21.35659    	23.87193    	22.87349    	16.969748537
22/06/2009  	20.89960    	24.38627    	22.70664    	16.934062044
23/06/2009  	21.33003    	25.45120    	23.11588    	17.115285794
24/06/2009  	21.27293    	24.98485    	23.10922    	17.408989072
25/06/2009  	21.65542    	25.98290    	23.84996    	17.705269734
26/06/2009  	22.30813    	26.33967    	24.45903    	18.121019284
27/06/2009  	23.29792    	26.78698    	25.16294    	18.522147973
28/06/2009  	23.98186    	26.84593    	25.58048    	18.931783636
29/06/2009  	24.44915    	26.54679    	25.54107    	19.581623634
30/06/2009  	24.09770    	26.15944    	25.26465    	20.210932255
01/07/2009  	23.78102    	25.82055    	24.96680    	20.678786357
02/07/2009  	23.67565    	25.78185    	24.92606    	21.125262419
03/07/2009  	24.18743    	26.28864    	25.34026    	21.571546515
04/07/2009  	24.84990    	26.61585    	25.80287    	21.910615762
05/07/2009  	24.73124    	26.59183    	25.73055    	22.211214105
06/07/2009  	24.01601    	26.93833    	25.64840    	22.050567071
07/07/2009  	25.11988    	27.29379    	25.90766    	21.360045115
08/07/2009  	25.35558    	26.22558    	25.85775    	20.886419972
09/07/2009  	25.20088    	26.22222    	25.71345    	19.901406129
10/07/2009  	24.58831    	26.20408    	25.49273    	18.620045980
11/07/2009  	24.76026    	26.91063    	25.83003    	17.368401090
12/07/2009  	23.97879    	26.46305    	25.68110    	17.461076458
13/07/2009  	23.51906    	25.79482    	24.81631    	17.826958418
14/07/2009  	23.41085    	24.79669    	24.10923    	18.401422620
15/07/2009  	22.35327    	24.40731    	23.87242    	18.919682463
16/07/2009  	21.92497    	24.03334    	23.28184    	19.118525386
17/07/2009  	23.08079    	24.33394    	23.56528    	19.326600393
18/07/2009  	21.88921    	23.94969    	23.00340    	19.334830284
19/07/2009  	21.48264    	23.37247    	22.69019    	19.147955259
20/07/2009  	21.79516    	23.53602    	22.49797    	19.150629163
21/07/2009  	21.72374    	23.65706    	22.70345    	19.216898441
22/07/2009  	22.57138    	24.76577    	23.23474    	19.413802465
23/07/2009  	22.74490    	24.66202    	23.38016    	19.458585739
24/07/2009  	22.90588    	24.51759    	23.45856    	19.353297273
25/07/2009  	22.33361    	23.64653    	23.27784    	19.216676593
26/07/2009  	22.44984    	23.62951    	23.05369    	19.272957047
27/07/2009  	21.68328    	23.54454    	22.76771    	19.398299019
28/07/2009  	21.63716    	22.98590    	22.42318    	19.421730320
29/07/2009  	21.49434    	22.59195    	22.22165    	19.523419460
30/07/2009  	20.62449    	22.54043    	21.87055    	19.523779273
31/07/2009  	19.55834    	22.47604    	21.52084    	19.139233788
