date	smin	smax	smean	tmean
01/01/2009  	17.82455    	21.05739    	19.50681    	 1.813215797
02/01/2009  	17.48281    	21.91876    	19.19154    	 1.726942562
03/01/2009  	16.47777    	22.57556    	19.23715    	 1.528396500
04/01/2009  	18.38502    	21.88660    	19.91966    	 1.513120624
05/01/2009  	17.61569    	20.62105    	19.27483    	 1.652776867
06/01/2009  	20.02453    	24.16149    	22.24920    	 1.212667430
07/01/2009  	18.93458    	22.78548    	20.93630    	 0.861472912
08/01/2009  	18.29543    	22.03047    	20.34542    	 0.809408947
09/01/2009  	18.46076    	22.59150    	20.64880    	 0.616507423
10/01/2009  	18.64186    	22.33332    	20.56409    	 0.468540896
11/01/2009  	19.09785    	23.43715    	21.70610    	 0.597658464
12/01/2009  	20.28730    	25.88331    	22.62559    	 0.843954360
13/01/2009  	22.13733    	26.84040    	23.82623    	 1.516080716
14/01/2009  	21.54260    	26.56366    	23.79697    	 1.751697707
15/01/2009  	19.48172    	26.00018    	22.71341    	 1.658591568
16/01/2009  	20.01968    	24.90518    	23.10081    	 1.843395464
17/01/2009  	22.40803    	24.66253    	23.58606    	 2.101985914
18/01/2009  	22.62694    	24.56788    	23.55201    	 2.547925035
19/01/2009  	22.61958    	26.02406    	24.34499    	 2.818800062
20/01/2009  	24.78106    	27.74360    	26.34789    	 2.996479253
21/01/2009  	24.55348    	27.84021    	26.24024    	 2.921214312
22/01/2009  	24.94506    	28.87815    	27.09609    	 2.716156522
23/01/2009  	27.06209    	28.74652    	28.13573    	 2.587757453
24/01/2009  	26.34461    	27.67645    	26.84122    	 2.769870738
25/01/2009  	26.13016    	27.44222    	26.53879    	 2.818871583
26/01/2009  	25.55540    	27.51088    	26.66343    	 2.661438743
27/01/2009  	24.60245    	27.17443    	26.24445    	 2.443186288
28/01/2009  	23.57436    	26.59432    	25.34982    	 2.155613783
29/01/2009  	22.92937    	25.90539    	24.69245    	 1.928957264
30/01/2009  	20.71375    	24.96215    	23.41256    	 1.573300816
31/01/2009  	21.70291    	24.82185    	23.42551    	 1.278242712
01/02/2009  	21.73187    	24.11940    	23.15500    	 0.869968052
02/02/2009  	22.64022    	23.83018    	23.14144    	 0.459561346
03/02/2009  	23.33109    	24.43738    	23.78444    	 0.587183444
04/02/2009  	23.65413    	24.45611    	23.98620    	 0.720275104
05/02/2009  	23.48687    	24.62221    	24.05832    	 0.807991998
06/02/2009  	23.52160    	24.81280    	24.17358    	 1.039442030
07/02/2009  	22.81196    	24.59682    	23.79184    	 1.165999894
08/02/2009  	21.50186    	24.16235    	22.97494    	 1.258648659
09/02/2009  	20.72972    	24.10537    	22.42255    	 1.374133324
10/02/2009  	19.95770    	24.12069    	22.52242    	 1.479857375
11/02/2009  	18.49385    	24.50543    	21.15938    	 1.607198531
12/02/2009  	17.71350    	25.13186    	21.07213    	 1.810997640
13/02/2009  	17.98426    	25.21067    	21.09307    	 1.987429038
14/02/2009  	19.44360    	25.26421    	22.43732    	 2.066625506
15/02/2009  	17.61958    	24.84195    	21.51532    	 1.985544316
16/02/2009  	18.67936    	22.66295    	20.21722    	 2.257727737
17/02/2009  	19.22850    	21.62222    	20.63435    	 2.737030392
18/02/2009  	18.87417    	21.79495    	20.39710    	 2.632194296
19/02/2009  	18.78964    	21.15858    	20.02352    	 2.561592549
20/02/2009  	18.00404    	20.28820    	19.14062    	 2.687415789
21/02/2009  	16.47598    	20.07562    	18.29842    	 2.901306907
22/02/2009  	15.72764    	19.46719    	17.88574    	 3.202544163
23/02/2009  	17.34083    	20.61105    	18.32679    	 3.924222246
24/02/2009  	14.77052    	21.37932    	17.56921    	 3.837859501
25/02/2009  	13.58469    	20.30141    	17.37436    	 3.961269855
26/02/2009  	14.79430    	18.73689    	16.65671    	 4.240308444
27/02/2009  	14.77903    	19.13240    	16.36024    	 4.665220588
28/02/2009  	13.97565    	20.21661    	16.47243    	 4.905311465
01/03/2009  	15.30529    	20.79776    	18.11818    	 4.984794150
02/03/2009  	16.23819    	20.81439    	18.47534    	 5.121873915
03/03/2009  	15.43747    	20.66629    	18.13913    	 5.172113746
04/03/2009  	16.92107    	21.40142    	19.46492    	 4.952850978
05/03/2009  	19.14602    	21.63194    	20.68079    	 4.805280825
06/03/2009  	16.34308    	20.50493    	18.74179    	 4.928040534
07/03/2009  	16.11605    	19.62004    	18.21538    	 4.866823296
08/03/2009  	16.00414    	21.62285    	18.88086    	 4.975324353
09/03/2009  	17.38669    	21.21766    	19.00844    	 4.996780564
