date	smin	smax	smean	tmean
01/01/2009  	21.724691   	27.78951    	24.95822    	 0.247500736
02/01/2009  	20.343008   	27.81886    	25.08020    	 1.266201617
03/01/2009  	21.379890   	30.52413    	25.91524    	 1.106510721
04/01/2009  	29.033035   	30.77529    	30.15950    	 2.967203473
05/01/2009  	21.395510   	30.89060    	26.35507    	 1.499916323
06/01/2009  	23.749815   	29.34582    	26.42807    	-0.590674761
07/01/2009  	21.299984   	31.09949    	27.96630    	 0.742634014
08/01/2009  	20.657812   	30.31392    	26.65764    	 0.709111107
09/01/2009  	17.649515   	30.54238    	26.55962    	 0.746315967
10/01/2009  	16.824970   	29.71001    	23.78418    	 0.066827574
11/01/2009  	15.940701   	29.93885    	24.03142    	-0.296310663
12/01/2009  	21.094936   	23.42610    	22.36738    	 0.614071000
13/01/2009  	23.052065   	23.85339    	23.52889    	 1.974665632
14/01/2009  	21.266909   	23.98272    	23.13636    	 2.466211190
15/01/2009  	17.912846   	23.74080    	20.97605    	 1.853111995
16/01/2009  	14.316871   	23.34533    	18.37351    	 1.485551268
17/01/2009  	10.496540   	23.32285    	16.93719    	 1.783231807
18/01/2009  	20.323397   	23.82458    	22.40944    	 2.964086220
19/01/2009  	21.881449   	24.69629    	23.50739    	 2.973139554
20/01/2009  	23.071350   	25.20379    	23.93878    	 3.043892359
21/01/2009  	23.712267   	26.91738    	24.91178    	 2.732873301
22/01/2009  	23.715141   	26.57373    	25.09054    	 2.340284320
23/01/2009  	22.243011   	27.11266    	25.81768    	 2.984054585
24/01/2009  	25.777166   	26.95881    	26.61087    	 3.258829847
25/01/2009  	25.929499   	27.55422    	26.92731    	 2.988431066
26/01/2009  	21.027161   	27.01381    	24.70199    	 2.175411170
27/01/2009  	17.352184   	25.59711    	20.52412    	 1.368799461
28/01/2009  	15.676839   	23.84822    	19.86163    	 0.915484737
29/01/2009  	14.062346   	23.74691    	18.64855    	 0.730039707
30/01/2009  	14.424196   	22.10799    	17.98266    	 0.148770356
31/01/2009  	15.421378   	23.67544    	19.93009    	-0.413819601
01/02/2009  	19.393318   	25.35604    	23.25556    	-0.831730083
02/02/2009  	24.412241   	27.09534    	25.30124    	-0.450220750
03/02/2009  	22.471821   	26.13401    	24.46867    	-0.022759967
04/02/2009  	21.042706   	26.20593    	23.70522    	 0.359016099
05/02/2009  	20.758595   	27.11722    	23.71030    	 0.698058374
06/02/2009  	19.598251   	25.97640    	22.87738    	 1.408170077
07/02/2009  	19.886814   	26.19017    	22.96062    	 1.669966007
08/02/2009  	19.349325   	26.99659    	23.25954    	 1.665521930
09/02/2009  	18.251669   	27.84439    	23.55422    	 1.554906803
10/02/2009  	16.070652   	28.18959    	22.12296    	 1.549121149
11/02/2009  	25.475864   	28.61515    	26.91739    	 1.934510728
12/02/2009  	25.020498   	28.51759    	27.06584    	 2.143458302
13/02/2009  	25.232470   	28.09353    	26.86956    	 2.220581139
14/02/2009  	23.696573   	28.02779    	26.27266    	 1.529147574
15/02/2009  	18.536144   	28.53999    	24.84374    	 1.896981974
16/02/2009  	17.518265   	28.65486    	24.72254    	 2.820503622
17/02/2009  	11.893980   	28.26060    	23.35738    	 3.335316832
