date	smin	smax	smean	tmean
01/01/2009  	16.563793   	23.26723    	19.435714   	 0.002675296
02/01/2009  	15.069150   	22.75143    	19.231925   	 0.845438623
03/01/2009  	16.112722   	28.14815    	21.632935   	 0.976143750
04/01/2009  	23.618542   	30.61539    	28.691203   	 2.591498879
05/01/2009  	18.191145   	30.22626    	22.912439   	 1.144531133
06/01/2009  	17.630226   	23.86539    	20.589255   	-0.524300996
07/01/2009  	17.716568   	23.31334    	20.935824   	 0.036583343
08/01/2009  	17.667440   	23.35649    	21.128377   	 0.106569749
09/01/2009  	19.810759   	23.69974    	22.266131   	-0.091764988
10/01/2009  	18.241718   	23.35027    	21.254123   	-0.541492661
11/01/2009  	19.167629   	23.37293    	21.882628   	-0.488612227
12/01/2009  	21.612152   	24.32769    	23.014219   	 0.884164295
13/01/2009  	23.197790   	24.60612    	23.969154   	 1.884454300
14/01/2009  	20.108433   	24.61752    	23.111558   	 2.170225362
15/01/2009  	18.838366   	24.24620    	21.423069   	 1.767084052
16/01/2009  	14.602640   	23.52570    	18.985422   	 1.510166476
17/01/2009  	15.283539   	22.97154    	20.412345   	 1.863674656
18/01/2009  	22.737318   	24.11198    	23.449114   	 2.803066984
19/01/2009  	23.155603   	24.75067    	23.835783   	 2.856119211
20/01/2009  	23.174929   	27.19494    	24.969480   	 3.012483463
21/01/2009  	25.372568   	27.37247    	26.576150   	 2.746076465
22/01/2009  	24.569836   	27.44292    	26.006213   	 2.488454501
23/01/2009  	25.395792   	28.13054    	27.168533   	 2.884341737
24/01/2009  	26.157841   	27.70147    	26.975252   	 3.082233270
25/01/2009  	26.302099   	27.62744    	26.953645   	 2.844394113
26/01/2009  	19.573824   	26.81007    	24.000758   	 2.182614749
27/01/2009  	18.088741   	25.39948    	21.144964   	 1.431092612
28/01/2009  	17.800097   	23.99643    	20.289294   	 1.038517725
29/01/2009  	14.021263   	22.15903    	17.991847   	 0.753684811
30/01/2009  	13.922955   	17.92803    	15.547411   	 0.176127969
31/01/2009  	14.324783   	17.35337    	16.037591   	-0.540395299
01/02/2009  	15.976244   	19.71291    	17.704979   	-0.971964640
02/02/2009  	18.580347   	21.38570    	20.050897   	-0.722823671
03/02/2009  	20.075975   	21.60627    	20.588398   	 0.076080440
04/02/2009  	20.405869   	21.97288    	21.015173   	 0.437099953
05/02/2009  	20.644112   	22.58510    	21.724731   	 0.710307253
06/02/2009  	20.311066   	23.07074    	21.715110   	 1.237965472
07/02/2009  	19.347168   	22.73559    	21.261385   	 1.529501975
08/02/2009  	19.324526   	24.38908    	21.901152   	 1.503509571
09/02/2009  	20.860893   	24.09916    	22.923888   	 1.619440913
