date	smin	smax	smean	tmean
01/01/2009  	19.445362   	29.47628    	24.32654    	 0.809848430
02/01/2009  	20.831339   	29.36484    	26.07918    	 1.645631394
03/01/2009  	20.421570   	29.71760    	25.79982    	 1.500827606
04/01/2009  	21.763288   	29.40507    	26.47449    	 1.482214686
05/01/2009  	21.163242   	30.26231    	26.79027    	 1.540283674
06/01/2009  	22.663294   	29.35321    	25.78854    	 0.448750480
07/01/2009  	22.472418   	29.85000    	25.59504    	 0.460902810
08/01/2009  	22.710083   	29.82659    	25.68045    	 0.371249596
09/01/2009  	20.891457   	29.19429    	24.69314    	 0.180038575
10/01/2009  	20.665888   	29.22741    	25.37900    	-0.139190629
11/01/2009  	22.562237   	28.92746    	24.12720    	 0.150935477
12/01/2009  	22.758730   	25.85739    	23.86855    	 1.184548642
13/01/2009  	23.750364   	26.16297    	24.70432    	 2.034146182
14/01/2009  	23.730473   	25.73970    	24.73743    	 2.371780967
15/01/2009  	23.756720   	25.43284    	24.23735    	 2.195633799
16/01/2009  	22.280018   	24.59364    	23.85320    	 2.038506324
17/01/2009  	21.185719   	24.27230    	22.87869    	 2.164759643
18/01/2009  	23.413904   	25.16652    	24.37235    	 2.851039127
19/01/2009  	23.334406   	27.34652    	25.32176    	 2.902298217
20/01/2009  	24.969528   	28.53562    	27.24189    	 3.008436322
21/01/2009  	27.138531   	28.38358    	27.52141    	 2.799729019
22/01/2009  	26.005333   	28.34950    	27.16816    	 2.564736257
23/01/2009  	26.025486   	28.96153    	27.70147    	 2.713089074
24/01/2009  	26.589777   	28.16452    	27.45888    	 2.964668532
25/01/2009  	26.414541   	28.03121    	27.14585    	 2.873128797
26/01/2009  	26.744846   	27.66406    	27.12097    	 2.466924419
27/01/2009  	24.704903   	27.22444    	26.53823    	 1.828934756
28/01/2009  	22.567547   	26.12919    	24.63420    	 1.276968046
29/01/2009  	20.486139   	25.03931    	23.13771    	 0.840619603
30/01/2009  	17.858797   	24.68155    	20.99474    	 0.438900524
31/01/2009  	15.536016   	24.22829    	19.10953    	 0.011113395
01/02/2009  	16.144077   	23.80012    	20.28144    	-0.399423894
02/02/2009  	18.685904   	25.86746    	21.67783    	-0.582670820
03/02/2009  	19.394455   	23.99490    	21.76121    	 0.099915765
04/02/2009  	19.889364   	24.29868    	21.83991    	 0.327100592
05/02/2009  	20.140240   	24.46934    	22.42062    	 0.665807766
06/02/2009  	21.433411   	23.94971    	22.57543    	 1.266379890
07/02/2009  	21.394800   	24.85089    	22.56957    	 1.480401245
08/02/2009  	21.437843   	27.19409    	23.57617    	 1.448697053
09/02/2009  	20.679119   	27.51471    	23.35887    	 1.459491613
10/02/2009  	21.810926   	27.61374    	24.01592    	 1.651402188
11/02/2009  	23.291368   	30.34737    	27.66869    	 1.984915463
12/02/2009  	23.571217   	30.31505    	28.40058    	 2.150580272
13/02/2009  	23.363630   	30.00107    	28.01872    	 2.265398800
14/02/2009  	21.852690   	30.17210    	28.21022    	 2.009223411
15/02/2009  	19.528162   	29.78142    	24.99386    	 2.015969167
16/02/2009  	21.167078   	29.67933    	26.41724    	 2.641612450
17/02/2009  	21.906984   	29.55177    	27.08500    	 3.100514054
18/02/2009  	22.544340   	27.48025    	25.05416    	 2.863127172
19/02/2009  	20.627060   	25.35965    	22.73490    	 2.715183020
20/02/2009  	20.096804   	27.36380    	22.27148    	 2.949374919
21/02/2009  	17.237133   	27.59822    	22.17633    	 3.198354602
22/02/2009  	18.266748   	26.78671    	21.73232    	 3.686679468
23/02/2009  	22.538889   	28.40418    	25.70592    	 4.637476087
24/02/2009  	17.785343   	27.92418    	24.75084    	 4.118277267
25/02/2009  	16.322351   	27.63572    	21.80975    	 4.111990546
26/02/2009  	16.798233   	28.70365    	21.19213    	 4.668541441
27/02/2009  	16.991909   	29.39701    	23.90465    	 5.243736585
28/02/2009  	17.735159   	28.02634    	24.10010    	 5.532726318
01/03/2009  	19.412680   	27.12739    	24.48034    	 5.269080510
02/03/2009  	19.463335   	26.52957    	23.81274    	 5.275040468
03/03/2009  	18.485172   	25.81243    	21.93634    	 5.234972040
04/03/2009  	17.726015   	21.02115    	19.58497    	 4.995578011
05/03/2009  	17.531616   	21.18180    	19.60525    	 4.975713332
06/03/2009  	17.545637   	23.07107    	20.04850    	 4.930328836
07/03/2009  	19.117308   	23.09791    	20.63737    	 4.686080952
08/03/2009  	19.250095   	22.93431    	20.65348    	 5.101854463
09/03/2009  	19.919458   	22.66858    	21.67797    	 4.882844458
10/03/2009  	18.934671   	22.62851    	21.32801    	 4.852632046
11/03/2009  	20.089323   	24.14840    	22.40473    	 4.832218885
12/03/2009  	18.596043   	24.24166    	21.95416    	 5.211081664
13/03/2009  	17.548063   	25.13742    	21.74083    	 5.505407065
14/03/2009  	18.760979   	25.61202    	22.90896    	 5.731343697
15/03/2009  	19.050600   	26.12443    	22.90280    	 6.135746857
16/03/2009  	17.300314   	27.41976    	23.66709    	 6.209503313
17/03/2009  	17.377363   	26.75056    	23.16316    	 6.454213232
18/03/2009  	16.327412   	24.90553    	21.74042    	 6.478820006
19/03/2009  	15.932415   	20.43985    	18.04238    	 6.466639866
20/03/2009  	14.638834   	19.59668    	16.77601    	 6.395157893
21/03/2009  	13.381445   	17.60285    	15.58795    	 6.502562553
22/03/2009  	14.965114   	21.14261    	17.75573    	 6.517389496
23/03/2009  	16.143545   	25.24521    	19.41482    	 6.683183690
24/03/2009  	19.313423   	27.30585    	24.39037    	 6.456752439
25/03/2009  	16.968464   	27.57467    	22.13676    	 6.327324162
26/03/2009  	17.322134   	27.68027    	21.02861    	 6.303676993
27/03/2009  	17.257008   	25.05079    	19.01807    	 6.422823946
28/03/2009  	15.295120   	18.56462    	17.35904    	 6.421685000
29/03/2009  	16.191759   	24.59231    	19.23547    	 6.275599072
30/03/2009  	18.018780   	25.30551    	21.34898    	 6.085835248
31/03/2009  	16.944006   	25.08215    	21.62970    	 6.419361919
01/04/2009  	18.923811   	24.75842    	22.58608    	 6.878461719
02/04/2009  	17.262695   	24.09640    	20.29049    	 7.459026585
03/04/2009  	15.222860   	20.49214    	18.05983    	 8.112521301
04/04/2009  	16.106934   	19.14762    	17.32229    	 8.408636967
05/04/2009  	13.333723   	20.04180    	17.10722    	 8.626239041
06/04/2009  	13.728854   	19.44353    	16.42133    	 8.950844467
07/04/2009  	14.020155   	20.29453    	17.03472    	 9.224736651
08/04/2009  	14.919124   	21.65768    	18.89621    	 8.837223212
09/04/2009  	15.085417   	20.90352    	18.71345    	 8.861656904
10/04/2009  	16.605524   	21.31777    	18.80752    	 9.439206004
11/04/2009  	16.852167   	23.24048    	19.46463    	 9.987936219
12/04/2009  	18.051874   	25.03146    	21.74240    	10.232153734
13/04/2009  	19.989897   	25.63639    	23.78846    	10.366858224
14/04/2009  	22.553087   	25.48412    	24.10931    	10.480590522
15/04/2009  	21.470573   	25.77593    	23.62928    	10.826466620
16/04/2009  	20.633287   	23.25346    	22.05976    	11.385858238
17/04/2009  	17.611898   	22.45657    	19.73606    	11.445464671
18/04/2009  	17.536953   	24.34976    	20.02615    	10.936401606
19/04/2009  	18.110113   	23.84454    	20.77277    	11.004138271
20/04/2009  	18.999146   	24.29773    	21.22394    	11.539552967
21/04/2009  	20.023874   	25.63146    	22.30204    	12.011753221
22/04/2009  	20.594883   	27.63957    	24.75846    	12.059527338
23/04/2009  	22.340910   	29.22405    	26.59813    	11.705042144
24/04/2009  	23.261749   	29.04441    	26.64561    	12.072197278
25/04/2009  	24.173403   	27.93334    	25.71517    	12.339195947
26/04/2009  	23.492563   	29.12948    	26.51056    	12.541061838
27/04/2009  	24.304781   	29.27414    	27.02116    	12.537653685
28/04/2009  	24.445379   	28.01515    	26.25098    	12.547645311
29/04/2009  	23.988976   	28.94368    	26.66529    	12.508923749
30/04/2009  	24.184578   	29.07279    	26.87282    	12.726730824
01/05/2009  	24.758078   	29.09818    	26.80381    	13.360887229
02/05/2009  	24.718098   	28.19434    	26.35025    	13.743504961
03/05/2009  	22.712105   	29.15265    	26.31701    	13.655464252
04/05/2009  	23.902674   	29.16136    	27.78998    	12.780487895
05/05/2009  	22.399323   	29.85955    	25.65560    	12.458017627
06/05/2009  	19.745604   	27.32608    	23.15838    	12.710389336
07/05/2009  	20.191648   	24.98348    	22.37655    	12.761387229
08/05/2009  	20.080948   	24.08038    	21.97596    	12.848208368
09/05/2009  	20.431719   	23.34901    	21.73488    	12.733768443
10/05/2009  	20.492579   	26.23615    	22.42070    	13.045835733
11/05/2009  	23.376541   	29.58102    	26.19656    	12.702002386
12/05/2009  	24.043798   	30.09987    	27.82292    	12.325123111
13/05/2009  	24.396643   	29.86887    	27.12328    	12.347136756
14/05/2009  	25.359547   	28.95821    	26.64097    	12.496535798
15/05/2009  	24.037071   	25.84806    	25.07826    	12.725413620
16/05/2009  	24.253536   	25.94349    	25.37762    	13.076216221
17/05/2009  	22.826258   	25.87168    	24.89288    	13.394064407
18/05/2009  	24.464037   	26.50361    	25.84369    	13.352559010
19/05/2009  	23.704659   	26.30141    	25.58079    	13.350192189
20/05/2009  	22.319229   	26.17733    	24.66714    	13.687650065
21/05/2009  	23.397190   	26.10288    	25.02415    	14.264975548
22/05/2009  	24.092419   	26.08639    	25.28116    	14.713801642
23/05/2009  	24.575598   	27.10719    	25.86461    	15.212795118
24/05/2009  	25.681005   	27.69069    	26.78132    	15.774037898
25/05/2009  	26.046778   	28.66056    	27.53527    	16.132760684
26/05/2009  	26.241480   	28.81303    	27.64682    	16.603743056
27/05/2009  	26.092854   	28.28592    	26.88710    	15.861353497
28/05/2009  	24.428114   	28.26613    	26.11297    	15.346618096
29/05/2009  	24.001141   	28.41911    	27.08040    	15.524180392
30/05/2009  	25.578819   	28.92706    	27.56802    	15.597046793
31/05/2009  	24.233444   	29.25706    	26.81176    	16.001468241
01/06/2009  	24.303343   	30.10470    	27.36092    	16.693067193
02/06/2009  	25.277584   	30.45429    	29.14644    	16.441900313
03/06/2009  	25.475817   	31.08169    	29.93089    	15.297104140
04/06/2009  	25.573767   	31.49246    	30.21309    	13.606732090
05/06/2009  	28.435484   	31.67438    	30.79066    	12.503575106
06/06/2009  	29.309750   	31.66809    	31.23427    	13.744666855
07/06/2009  	27.549160   	31.59089    	30.39964    	14.088887910
08/06/2009  	25.878307   	31.46455    	29.58429    	14.951400419
09/06/2009  	28.128027   	31.45925    	29.86575    	15.549323241
10/06/2009  	27.784796   	31.45465    	29.95553    	15.788190246
11/06/2009  	28.637407   	31.41759    	30.68157    	15.850159943
12/06/2009  	28.257847   	31.33153    	30.43474    	15.639244199
13/06/2009  	27.502407   	31.41469    	30.11284    	15.759044409
14/06/2009  	24.405787   	31.37886    	28.37103    	16.495324492
15/06/2009  	24.888882   	31.37826    	28.36203    	17.008603454
16/06/2009  	25.887114   	30.39766    	27.97616    	16.891550144
17/06/2009  	22.961292   	27.62114    	25.78319    	16.946577191
18/06/2009  	26.230385   	28.09168    	27.15561    	17.207784335
19/06/2009  	27.205542   	31.22763    	28.58014    	17.113013585
20/06/2009  	26.368855   	31.29430    	28.73945    	16.357837439
21/06/2009  	27.351183   	31.17163    	29.73007    	16.002477566
22/06/2009  	27.380463   	30.84901    	30.04763    	16.467344522
23/06/2009  	28.219952   	31.50105    	30.32661    	17.065498948
24/06/2009  	27.541861   	32.25119    	30.47921    	17.426156561
25/06/2009  	26.901428   	32.03227    	29.90381    	17.727609436
26/06/2009  	27.345640   	32.11295    	30.21217    	18.398264448
27/06/2009  	28.000790   	32.01389    	30.28376    	19.120276292
28/06/2009  	28.025770   	31.73240    	29.85784    	19.746488055
29/06/2009  	27.658936   	31.68759    	29.92990    	20.726018548
30/06/2009  	27.941368   	31.78884    	30.29870    	21.331418912
01/07/2009  	27.962122   	32.09800    	30.50803    	21.390622417
02/07/2009  	28.206635   	32.19619    	30.34395    	21.500884493
03/07/2009  	27.705387   	32.17749    	29.85056    	21.935989102
04/07/2009  	28.640432   	32.31668    	30.64706    	22.296652476
05/07/2009  	26.983204   	32.11364    	30.31517    	22.527819236
06/07/2009  	28.483713   	32.28560    	30.11521    	22.045428117
07/07/2009  	27.335224   	32.02760    	28.79168    	20.889546235
08/07/2009  	26.986414   	31.53629    	28.80428    	20.075960517
09/07/2009  	27.358383   	32.80441    	29.79522    	17.270762026
10/07/2009  	26.865877   	32.68908    	30.33458    	16.110988200
11/07/2009  	26.299189   	31.56275    	29.81819    	16.137236337
12/07/2009  	23.542078   	31.62350    	28.31875    	16.891835531
13/07/2009  	21.410227   	31.46212    	26.57200    	17.611241102
14/07/2009  	21.523535   	31.59981    	27.17911    	18.703622023
15/07/2009  	22.619074   	31.59680    	26.68058    	19.389678280
16/07/2009  	24.088520   	26.92788    	25.44858    	19.354818821
17/07/2009  	24.234104   	27.01265    	25.11607    	19.479570548
18/07/2009  	23.391348   	25.93652    	24.67306    	19.257838766
19/07/2009  	23.829784   	25.97366    	25.18262    	18.984250585
20/07/2009  	24.512510   	26.40889    	25.97753    	19.005176902
21/07/2009  	21.902739   	26.51591    	24.86081    	18.950772206
22/07/2009  	22.934887   	26.50103    	25.02572    	19.281497836
23/07/2009  	23.362652   	26.49644    	25.10433    	19.065393368
24/07/2009  	23.878857   	26.56532    	25.30084    	18.850101272
25/07/2009  	24.425854   	26.78897    	25.66526    	18.658617179
26/07/2009  	23.356169   	27.80383    	25.97245    	18.652403792
27/07/2009  	22.564371   	27.76037    	25.45906    	19.077979008
28/07/2009  	22.483639   	27.61278    	25.35582    	19.023909529
29/07/2009  	22.139063   	28.48820    	25.69116    	19.320936680
30/07/2009  	22.229250   	28.01509    	23.97271    	19.394745588
31/07/2009  	22.313524   	27.22161    	24.16046    	18.754210075
01/08/2009  	22.148357   	25.83009    	23.74467    	18.429124713
02/08/2009  	21.722609   	27.07766    	23.63270    	18.782900929
03/08/2009  	21.667900   	27.90193    	24.60204    	18.926755508
04/08/2009  	22.126450   	28.45554    	25.50260    	19.299849470
05/08/2009  	23.175934   	28.32779    	26.10531    	19.915456096
06/08/2009  	24.578630   	27.58233    	26.51629    	20.677753965
07/08/2009  	24.805321   	28.22853    	26.53750    	21.011966467
08/08/2009  	25.167973   	28.80709    	27.70675    	20.751599073
09/08/2009  	25.274851   	29.95856    	28.37506    	20.553834041
10/08/2009  	25.281548   	30.63098    	28.47689    	20.793166518
11/08/2009  	26.118292   	30.22714    	29.04159    	20.860898693
12/08/2009  	25.637699   	30.20269    	28.81052    	20.538819551
13/08/2009  	25.836180   	30.73791    	29.34251    	20.076858918
14/08/2009  	26.374233   	30.75053    	29.82409    	20.152127584
15/08/2009  	24.254475   	30.66313    	26.88685    	20.047330300
16/08/2009  	23.996450   	29.04239    	26.11312    	19.998119632
17/08/2009  	24.153280   	30.40229    	26.54192    	20.145243049
18/08/2009  	24.811676   	30.55373    	27.41079    	20.018399517
19/08/2009  	24.638422   	30.55355    	28.11653    	20.002132813
20/08/2009  	24.552231   	30.19677    	27.19900    	20.282282352
21/08/2009  	24.963150   	30.23871    	27.23663    	20.129803181
22/08/2009  	25.059364   	30.22766    	27.77835    	19.553711732
23/08/2009  	25.907494   	29.99377    	28.59553    	19.687211752
24/08/2009  	26.402540   	29.31993    	27.92481    	19.667906841
25/08/2009  	26.553896   	29.55111    	28.26512    	20.012370944
26/08/2009  	26.643000   	29.66751    	28.50099    	19.497065425
27/08/2009  	26.286507   	29.86613    	28.03875    	19.344785134
28/08/2009  	25.713997   	27.52000    	26.13954    	19.203404744
29/08/2009  	25.832998   	28.17700    	26.49189    	18.310832063
30/08/2009  	25.550915   	28.14295    	26.69447    	17.607605219
31/08/2009  	24.986372   	26.06287    	25.26092    	18.058702350
01/09/2009  	24.151831   	25.97212    	25.16267    	18.131827315
02/09/2009  	24.236233   	27.51419    	26.44559    	17.839616696
03/09/2009  	25.052141   	29.78493    	27.78594    	17.767624537
04/09/2009  	28.346352   	29.83140    	29.20386    	17.213198503
05/09/2009  	28.173635   	29.53985    	29.23280    	16.686256369
06/09/2009  	26.573851   	28.85496    	28.06978    	15.449494978
07/09/2009  	25.856291   	28.98718    	27.69118    	15.511710187
08/09/2009  	25.742430   	29.00818    	28.21755    	16.084242562
09/09/2009  	27.038853   	29.00282    	28.56709    	16.701848388
10/09/2009  	28.299635   	29.06092    	28.82382    	16.439459761
11/09/2009  	28.629570   	29.26811    	28.99429    	16.355226735
12/09/2009  	28.820816   	29.67462    	29.27777    	16.580228388
13/09/2009  	29.244036   	30.18201    	29.70534    	16.555313408
14/09/2009  	29.713179   	30.54282    	30.16638    	16.236718714
15/09/2009  	29.095242   	30.52656    	30.14035    	16.057367365
16/09/2009  	29.290804   	30.44851    	29.98793    	16.260787308
17/09/2009  	30.057425   	30.90605    	30.45176    	16.030474067
18/09/2009  	29.266008   	30.94266    	30.56131    	15.957625906
19/09/2009  	29.669518   	31.02239    	30.70131    	16.159857174
20/09/2009  	29.791342   	31.19766    	30.88604    	16.693819086
21/09/2009  	29.676920   	31.70743    	31.05977    	16.491170565
22/09/2009  	30.133896   	31.67305    	31.08866    	16.482962807
23/09/2009  	30.234459   	31.87492    	31.27248    	16.131961683
24/09/2009  	30.247992   	32.25060    	31.63976    	15.897011618
25/09/2009  	30.478472   	32.29722    	31.85378    	15.813887020
26/09/2009  	30.006674   	32.41846    	32.02447    	15.946054856
27/09/2009  	29.856001   	32.41850    	31.99431    	16.331367453
28/09/2009  	30.915165   	32.51336    	32.12716    	16.464423319
29/09/2009  	30.046684   	32.49565    	31.65848    	16.034103254
30/09/2009  	26.861732   	32.51432    	31.02416    	16.010074496
01/10/2009  	28.098753   	32.54789    	31.15209    	15.330357254
02/10/2009  	28.531246   	32.97398    	31.70696    	13.761634350
03/10/2009  	27.406570   	32.79912    	29.72632    	14.231110434
04/10/2009  	26.689791   	29.34998    	28.36674    	13.865656018
05/10/2009  	24.201443   	32.46086    	28.03970    	12.781217396
06/10/2009  	24.596964   	32.43137    	28.08399    	12.899805645
07/10/2009  	24.625645   	28.99893    	26.08546    	13.954477111
08/10/2009  	26.185137   	31.58759    	28.96012    	13.353725056
09/10/2009  	27.142532   	31.95193    	30.89932    	12.596159955
10/10/2009  	24.979784   	29.20535    	27.28018    	11.839596848
11/10/2009  	24.647583   	32.30878    	28.32140    	11.957272649
12/10/2009  	27.583870   	32.33266    	30.84163    	11.534050524
13/10/2009  	31.358665   	32.55708    	32.19519    	11.364306788
14/10/2009  	28.610880   	32.63646    	31.24322    	10.816213032
15/10/2009  	28.713596   	32.75494    	31.94513    	10.503359179
16/10/2009  	26.871199   	33.36814    	32.20603    	11.724907915
17/10/2009  	29.725637   	33.40269    	32.84433    	11.544040998
18/10/2009  	27.075390   	33.35876    	31.18127    	11.057009816
19/10/2009  	27.273539   	33.36925    	30.39833    	10.839223961
20/10/2009  	28.472166   	33.30814    	30.85816    	 9.651348223
21/10/2009  	25.509199   	29.81248    	28.11954    	 8.475682447
22/10/2009  	22.940754   	28.20951    	26.31815    	 8.401026249
23/10/2009  	22.608444   	28.02152    	26.05019    	 8.673076789
24/10/2009  	23.492613   	27.95060    	26.47274    	 9.462357163
25/10/2009  	27.845385   	28.57379    	28.03030    	10.363184452
26/10/2009  	28.275667   	29.02662    	28.63800    	10.898571352
27/10/2009  	28.696665   	29.08687    	28.76999    	11.144100646
