date	smin	smax	smean	tmean
01/01/2009 	 8.7651634 	20.27290   	19.336518  	 1.34731302
02/01/2009 	 6.2951818 	21.36855   	15.555243  	 1.32037585
03/01/2009 	 9.4293747 	21.03591   	15.369368  	 1.25800482
04/01/2009 	10.4797735 	18.72927   	14.592770  	 1.34582732
05/01/2009 	10.4644260 	18.44273   	15.659252  	 1.24088330
06/01/2009 	13.8764524 	22.74030   	17.462676  	 0.18436166
07/01/2009 	15.5096321 	21.49693   	18.078018  	 0.34959868
08/01/2009 	 9.7768383 	19.26079   	16.705054  	 0.15129631
09/01/2009 	 9.2485418 	21.65429   	16.990303  	 0.14667764
10/01/2009 	11.5713348 	21.33319   	18.082314  	 0.05696774
11/01/2009 	16.2621384 	25.48272   	20.646322  	 0.10358242
12/01/2009 	17.4497967 	29.98172   	24.505998  	 1.32095326
13/01/2009 	18.1899376 	30.27462   	23.729936  	 2.22874042
14/01/2009 	14.5622234 	26.42368   	21.998425  	 2.20341260
15/01/2009 	 3.2729592 	24.00444   	18.081864  	 1.78734486
16/01/2009 	 2.6706557 	24.91027   	14.758711  	 1.68010204
17/01/2009 	 4.1602869 	26.21557   	16.753389  	 1.96524735
18/01/2009 	 8.4731464 	29.19089   	20.343465  	 2.71297386
19/01/2009 	18.0515041 	29.58372   	23.418129  	 2.86507755
20/01/2009 	20.6030216 	30.06302   	27.295571  	 2.94887433
21/01/2009 	19.0804768 	29.66604   	25.787421  	 2.62827280
22/01/2009 	 0.2133188 	29.49377   	19.224420  	 2.13829721
23/01/2009 	13.5609217 	29.03833   	25.738564  	 2.55830792
24/01/2009 	23.2774200 	28.74318   	27.033045  	 2.91795633
25/01/2009 	 7.5773463 	28.14018   	22.359435  	 2.66479050
26/01/2009 	10.9608889 	26.68543   	21.086529  	 2.43340383
27/01/2009 	 9.7207527 	24.22571   	20.092215  	 2.01707747
28/01/2009 	 9.4401312 	23.08610   	19.045590  	 1.69272910
29/01/2009 	11.2917490 	23.18360   	18.559178  	 1.55391033
