Scenario	ocean[fileName]	calendar[initialDate]	steps[maxSteps]	stfeeding[stnumber]	starfish[inDensity]	mussel[initialN]	mussel[initialDensity]	St.Nb.2	St.Bm.2	M.Nb.2	M.Bm.2	Final.Size	O.C
1	BR_.txt	22/09/2009	57	33.75781317	282.6357936	5096.328219	3666.498053	3.13	36.62	1255.16	1379.74	11.69968051	gesloten
2	BR_.txt	22/09/2009	57	37.55977867	292.9753877	5768.844127	3589.717753	0.43	3.83	310.78	232.71	8.906976744	open
3	BRw.txt	22/09/2009	57	11.63833938	62.01819589	2453.226553	3946.504439	0.05	1.22	44.21	94.63	24.4	open
4	BRz.txt	23/09/2009	55	45.89422355	466.9589683	11276.7875	6525.546096	82.89	1336.44	175.83	117.31	16.12305465	gesloten
5	BRz.txt	23/09/2009	55	73.00263146	553.4046383	5488.683787	2683.820674	20.68	245.27	0	0	11.86025145	open
6	BSn.txt	21/09/2009	50	67.22075209	875.4275746	4095.537119	9319.833717	36.45	554.94	328.99	1176.22	15.22469136	gesloten
7	BSn.txt	21/09/2009	50	10.66462179	74.00194891	3647.44527	8638.484397	31.68	495.47	769.94	2263.1	15.63983586	open
8	BSp.txt	21/09/2009	59	40.877301	288.9354213	1716.069473	2136.565825	24.78	361.12	158.8	267.13	14.57304278	gesloten
9	BSp.txt	21/09/2009	59	1.131540927	11.8105518	1879.79699	1731.512298	19.79	298.21	558.04	999.3	15.06872158	open
10	DB_.txt	22/08/2009	97	27.60024181	39.23718301	5405.810957	2806.049232	19.46	149.69	1238.82	2139.58	7.692189106	gesloten
11	DB_.txt	22/08/2009	97	7.297854478	13.95912033	3837.92462	1565.944836	24.33	169.72	1160.19	2015.98	6.975750103	open
12	GS_.txt	21/08/2009	100	0.131453548	0.197180321	4334.996273	1478.314254	1.27	30.83	1182.1	2917.78	24.27559055	gesloten
13	IN_.txt	22/09/2009	58	11.71170659	67.24380296	2024.214719	2711.814968	26.01	229.38	473.9	676.33	8.818915802	gesloten
14	IN_.txt	22/09/2009	58	22.83548041	153.2836822	2911.003757	2452.689211	3.61	37.17	170.28	180.78	10.29639889	open
15	LW_.txt	30/09/2009	64	62.10389693	344.9718569	299.6116833	152.1859652	5.4	36.7	525.2	487.06	6.796296296	gesloten
16	LW_.txt	30/09/2009	64	23.33648191	129.2029741	19.57462827	5.872388481	2.27	15.1	0	0	6.651982379	open
17	ST_.txt	29/09/2009	65	0.035521455	0.234441603	74.85839031	91.21105579	0.19	1.41	35.27	65.65	7.421052632	gesloten
18	STp.txt	21/08/2009	99	31.80769355	73.52615239	7074.229797	2651.899159	104.72	979.78	1397.2	2502.76	9.35618793	gesloten
19	STp.txt	23/09/2009	57	0.087516628	0.353567178	0.348700399	3.131216882	5.39	42.19	0.02	0.62	7.827458256	gesloten
20	STp.txt	21/08/2009	99	17.4839192	48.99045455	7979.638968	2831.284683	32.42	198.19	181.72	365.81	6.113201727	open
21	STp.txt	23/09/2009	57	2.772177914	10.55082866	7.208635266	7.041025981	13.97	113.83	0	0	8.14817466	open
22	TS_.txt	21/08/2009	113	30.78796736	103.0601033	6246.126663	2670.720191	17.38	91.52	0	0	5.265822785	gesloten
23	TS_.txt	21/08/2009	113	15.55923306	62.40604438	3958.337316	1478.932076	22.2	134.68	0.48	0.91	6.066666667	open
24	TX2.txt	21/08/2009	113	56.30555289	184.2156758	12024.15821	4343.839487	85.42	1499.84	543.98	1101.81	17.55841723	gesloten
25	TX2.txt	21/08/2009	113	91.77414556	344.303067	4578.258188	2493.461599	44.27	251.18	1.17	22.73	5.673819742	open
26	TX2.txt	27/11/2009	107	0.715568078	50.08976546	37.92510813	434.5322932	1.48	135	94.68	1125.91	91.21621622	open
27	VJG.txt	30/09/2009	63	3.783602983	27.71169563	9459.412698	7183.238263	1.69	27.17	852.35	1137.87	16.07692308	gesloten
28	VJG.txt	23/09/2009	55	41.62096046	31.567213	322.2883451	2549.189241	18.75	24.93	205.4	1734.65	1.3296	gesloten
29	VJG.txt	30/09/2009	63	4.178634236	33.45686662	4745.996302	3990.590985	1.99	34.03	2372.91	3075.54	17.10050251	open
30	VJG.txt	23/09/2009	55	162.1951504	525.6610325	1712.549593	2236.688	197.24	781.72	125.26	976.47	3.96329345	open
31	WK_.txt	22/09/2009	57	18.02386626	134.2265091	1139.20007	409.6864981	21.86	260.93	51.6	32.41	11.93641354	gesloten
32	WK_.txt	22/09/2009	57	13.38169548	137.1110634	2141.392298	1115.77946	21.81	237.6	479.77	409.73	10.89408528	open
33	WM_.txt	21/09/2009	50	9.672198511	78.30072056	3332.502292	4269.333116	82.07	1031.78	0	0	12.57195077	gesloten
34	WM_.txt	21/09/2009	50	68.58635641	655.4960879	2358.553465	2069.592098	92.37	940.62	0	0	10.18317636	open
35	ZW_.txt	30/09/2009	64	0.694112638	2.897162609	2521.396856	964.78414	0.34	3.91	1328.09	907.12	11.5	gesloten
36	ZW_.txt	30/09/2009	64	2.78614818	20.67433555	2648.195254	1178.778345	0.24	2.19	711.5	422.9	9.125	open
37	Zwo.txt	29/09/2009	64	0.587783855	0.693584949	3955.004031	1434.584731	0.59	3.01	2596.5	1475.94	5.101694915	gesloten
38	ZWo.txt	29/09/2009	64	3.78707792	11.10466359	4523.03487	2136.589494	3.28	21.01	3976.21	2445.84	6.405487805	open
39	ZWw.txt	30/09/2009	63	38.24231267	142.5081963	2404.383694	1900.721382	60.5	384.32	672.42	809.86	6.352396694	gesloten
40	ZWw.txt	30/09/2009	63	1.274434252	3.102435346	2040.570068	1613.547515	5.49	37.47	1125.8	1239.22	6.825136612	open
