Scenario	ocean[fileName]	calendar[initialDate]	steps[maxSteps]	stfeeding[stnumber]	starfish[inDensity]	mussel[initialN]	mussel[initialDensity]	St.Nb.2	St.Bm.2	M.Nb.2	M.Bm.2	Final.Size	O.C	m.f.size
1	GS_.txt	21/08/2009	100	0.131453548	0.197180321	4334.996273	1478.314254	1.27	30.83	1182.1	2917.78	24.27559055	gesloten	2.468302174
2	STp.txt	21/08/2009	99	31.80769355	73.52615239	7074.229797	2651.899159	104.72	979.78	1397.2	2502.76	9.35618793	gesloten	1.791268251
3	TX2.txt	21/08/2009	113	56.30555289	184.2156758	12024.15821	4343.839487	85.42	1499.84	543.98	1101.81	17.55841723	gesloten	2.025460495
4	BSn.txt	21/09/2009	50	67.22075209	875.4275746	4095.537119	9319.833717	36.45	554.94	328.99	1176.22	15.22469136	gesloten	3.575245448
5	BSp.txt	21/09/2009	59	40.877301	288.9354213	1716.069473	2136.565825	24.78	361.12	158.8	267.13	14.57304278	gesloten	1.682178841
6	DB_.txt	22/08/2009	97	27.60024181	39.23718301	5405.810957	2806.049232	19.46	149.69	1238.82	2139.58	7.692189106	gesloten	1.727111283
7	BR_.txt	22/09/2009	57	33.75781317	282.6357936	5096.328219	3666.498053	3.13	36.62	1255.16	1379.74	11.69968051	gesloten	1.099254278
8	IN_.txt	22/09/2009	58	11.71170659	67.24380296	2024.214719	2711.814968	26.01	229.38	473.9	676.33	8.818915802	gesloten	1.427157628
9	WK_.txt	22/09/2009	57	18.02386626	134.2265091	1139.20007	409.6864981	21.86	260.93	51.6	32.41	11.93641354	gesloten	0.628100775
10	BRz.txt	23/09/2009	55	45.89422355	466.9589683	11276.7875	6525.546096	82.89	1336.44	175.83	117.31	16.12305465	gesloten	0.667178525
11	VJG.txt	23/09/2009	55	41.62096046	31.567213	322.2883451	2549.189241	18.75	24.93	205.4	1734.65	1.3296	gesloten	8.445228822
12	ST_.txt	29/09/2009	65	0.035521455	0.234441603	74.85839031	91.21105579	0.19	1.41	35.27	65.65	7.421052632	gesloten	1.861355259
13	Zwo.txt	29/09/2009	64	0.587783855	0.693584949	3955.004031	1434.584731	0.59	3.01	2596.5	1475.94	5.101694915	gesloten	0.568434431
14	LW_.txt	30/09/2009	64	62.10389693	344.9718569	299.6116833	152.1859652	5.4	36.7	525.2	487.06	6.796296296	gesloten	0.927380046
15	VJG.txt	30/09/2009	63	3.783602983	27.71169563	9459.412698	7183.238263	1.69	27.17	852.35	1137.87	16.07692308	gesloten	1.334979762
16	ZW_.txt	30/09/2009	64	0.694112638	2.897162609	2521.396856	964.78414	0.34	3.91	1328.09	907.12	11.5	gesloten	0.683026
17	ZWw.txt	30/09/2009	63	38.24231267	142.5081963	2404.383694	1900.721382	60.5	384.32	672.42	809.86	6.352396694	gesloten	1.204396062
