date	smin	smax	smean	tmean
01/01/2009 	28.96716   	31.89263   	30.35545   	 3.27193911
02/01/2009 	27.91140   	31.94826   	30.23467   	 3.17086460
03/01/2009 	29.01232   	31.85481   	30.72754   	 3.14445801
04/01/2009 	28.34949   	32.20572   	30.47163   	 3.13448703
05/01/2009 	27.26675   	32.00716   	30.03053   	 2.90348328
06/01/2009 	29.83586   	31.83656   	31.06036   	 2.65718729
07/01/2009 	29.17037   	32.36562   	31.22120   	 2.62335325
08/01/2009 	29.31901   	32.02585   	30.94782   	 2.35173138
09/01/2009 	28.24940   	32.19672   	30.69990   	 2.06200137
10/01/2009 	27.31965   	32.16714   	30.40798   	 1.72578020
11/01/2009 	23.75787   	32.27943   	28.84223   	 1.19345971
12/01/2009 	21.13647   	30.67081   	25.44518   	 0.68252510
13/01/2009 	20.77019   	29.05276   	24.63972   	 1.26377413
14/01/2009 	19.86317   	28.98416   	24.86812   	 1.72123950
15/01/2009 	19.69626   	29.04419   	24.92037   	 1.78790043
16/01/2009 	20.28593   	27.90176   	25.06491   	 1.78782193
17/01/2009 	18.69365   	28.97241   	23.45077   	 1.89915654
18/01/2009 	17.29641   	27.15658   	21.13294   	 2.27318168
19/01/2009 	20.91342   	28.67122   	23.53785   	 2.93214184
20/01/2009 	21.81207   	24.68925   	23.18338   	 3.07474965
21/01/2009 	22.80472   	24.77453   	23.69397   	 3.04096726
22/01/2009 	19.38008   	23.81248   	22.43051   	 2.57386724
23/01/2009 	19.29630   	28.08560   	25.18998   	 2.60450043
24/01/2009 	21.51902   	27.22699   	24.41878   	 2.86899984
25/01/2009 	21.65677   	26.43053   	24.40400   	 2.97295285
26/01/2009 	21.77535   	28.45567   	25.61528   	 2.82777908
27/01/2009 	22.23986   	28.50192   	25.95669   	 2.54839726
28/01/2009 	23.55517   	29.49800   	26.59483   	 2.38509773
29/01/2009 	23.21585   	29.03069   	26.54257   	 2.09213223
30/01/2009 	23.76946   	28.95537   	26.45514   	 1.79913293
31/01/2009 	24.75230   	29.05998   	26.86856   	 1.50376993
01/02/2009 	26.09264   	29.19874   	27.63662   	 1.31901904
02/02/2009 	27.08178   	29.68689   	28.35762   	 1.12493059
03/02/2009 	27.69967   	29.93439   	28.78915   	 1.12549500
