date	smin	smax	smean	tmean
01/01/2009 	29.24413   	32.00462   	30.52061   	 3.30796155
02/01/2009 	28.52602   	32.05548   	30.47393   	 3.23205962
03/01/2009 	29.68281   	31.95234   	30.87965   	 3.19297753
04/01/2009 	28.35984   	32.29771   	30.34580   	 3.10381543
05/01/2009 	27.25430   	32.04167   	30.18110   	 2.92144207
06/01/2009 	30.35671   	31.85893   	31.18602   	 2.70020343
07/01/2009 	29.54937   	32.38670   	31.18670   	 2.55601692
08/01/2009 	29.53303   	32.05737   	31.02895   	 2.38562770
09/01/2009 	28.10587   	32.23031   	30.75800   	 2.12781095
10/01/2009 	28.42457   	32.23048   	30.79414   	 1.93309131
11/01/2009 	25.56281   	32.29955   	29.34097   	 1.32292788
12/01/2009 	20.07500   	30.92800   	25.50359   	 0.66604760
13/01/2009 	21.04055   	29.25916   	24.96134   	 1.43584047
14/01/2009 	20.79995   	29.23567   	25.37784   	 1.77353136
15/01/2009 	21.79121   	29.22556   	25.42189   	 1.85275583
16/01/2009 	21.35540   	28.04955   	25.52980   	 1.83929557
17/01/2009 	18.12111   	29.20177   	23.71046   	 1.91526036
18/01/2009 	16.51341   	27.47952   	21.55478   	 2.30804547
19/01/2009 	21.72039   	28.81947   	24.01748   	 2.99439383
20/01/2009 	21.93618   	24.81640   	23.62565   	 3.11162318
21/01/2009 	23.01054   	24.88202   	23.83239   	 3.06262166
22/01/2009 	19.68496   	24.90341   	22.84988   	 2.58068316
23/01/2009 	20.39715   	28.10454   	25.46890   	 2.60583666
24/01/2009 	22.71914   	27.29330   	24.72474   	 2.92721259
25/01/2009 	22.12925   	26.58253   	24.61321   	 3.01729527
26/01/2009 	23.89555   	28.58713   	26.01261   	 2.84144002
27/01/2009 	24.19367   	28.66855   	26.32919   	 2.59725459
28/01/2009 	25.20214   	29.67699   	27.01657   	 2.42338636
29/01/2009 	23.73196   	29.27207   	26.95530   	 2.14395653
30/01/2009 	25.12535   	29.14945   	26.81558   	 1.84040383
31/01/2009 	25.79399   	29.20794   	27.09785   	 1.53537437
01/02/2009 	26.33405   	29.26559   	27.76432   	 1.35254338
02/02/2009 	27.10415   	29.70985   	28.43384   	 1.14644078
03/02/2009 	28.09281   	30.01393   	28.91946   	 1.13152449
04/02/2009 	28.39053   	30.20588   	29.15474   	 1.23426818
05/02/2009 	28.59199   	30.16312   	29.31345   	 1.27582915
06/02/2009 	27.25043   	30.08565   	28.79005   	 1.40870791
07/02/2009 	26.92662   	30.52415   	28.93641   	 1.56923547
08/02/2009 	26.59832   	30.91465   	29.14749   	 1.64726573
09/02/2009 	24.88967   	31.02088   	28.61447   	 1.70693071
10/02/2009 	25.24201   	31.12347   	29.08228   	 1.84538145
11/02/2009 	24.35701   	31.11808   	28.82452   	 1.95525706
12/02/2009 	25.25416   	31.35627   	29.20034   	 2.11861944
13/02/2009 	25.60552   	31.29553   	29.32648   	 2.29647126
14/02/2009 	26.46972   	31.40664   	29.58728   	 2.30150389
15/02/2009 	26.06379   	31.33999   	29.47953   	 2.34007646
16/02/2009 	25.78536   	31.21358   	29.31719   	 2.53649036
17/02/2009 	26.90070   	31.10213   	29.29259   	 2.80774980
18/02/2009 	26.03530   	30.37355   	28.36606   	 2.90114581
19/02/2009 	23.94256   	29.36061   	27.21934   	 2.78848173
20/02/2009 	24.43463   	28.99622   	27.05454   	 2.88388197
21/02/2009 	24.21395   	29.73238   	27.10763   	 3.00906536
22/02/2009 	22.53931   	30.40513   	27.06690   	 3.24303627
23/02/2009 	19.72425   	30.40867   	26.96668   	 3.50023494
24/02/2009 	22.79167   	30.51823   	27.72886   	 3.64576385
25/02/2009 	20.27139   	30.88626   	27.17438   	 3.80897682
26/02/2009 	21.13013   	31.10843   	27.38693   	 4.07766928
27/02/2009 	19.13013   	30.82165   	26.55020   	 4.46706415
28/02/2009 	20.33489   	31.07506   	27.09305   	 4.68260804
01/03/2009 	24.05376   	31.05428   	28.01270   	 4.71199886
02/03/2009 	23.26818   	31.08144   	28.25725   	 4.84072028
03/03/2009 	20.46421   	30.45116   	26.44808   	 4.99794352
04/03/2009 	18.30868   	28.41622   	23.00953   	 4.97519773
05/03/2009 	22.01914   	27.86795   	25.33724   	 4.90828369
06/03/2009 	21.58716   	27.47795   	25.27718   	 4.94341684
07/03/2009 	20.88401   	28.35710   	26.16524   	 4.82277807
08/03/2009 	19.45407   	28.45276   	24.43245   	 4.93770549
09/03/2009 	18.87320   	28.11790   	24.03100   	 4.97333073
10/03/2009 	16.91348   	28.53490   	23.31534   	 4.91838091
11/03/2009 	19.22072   	28.81579   	24.91800   	 4.89052300
12/03/2009 	19.07076   	30.58220   	25.14297   	 5.02404166
13/03/2009 	21.03863   	29.78250   	26.56277   	 5.18448248
14/03/2009 	20.48123   	30.69816   	26.25265   	 5.36138615
15/03/2009 	20.18560   	30.60505   	27.06279   	 5.52047682
16/03/2009 	22.39108   	30.06747   	26.95136   	 5.80397555
17/03/2009 	24.74616   	30.05481   	27.76829   	 5.95111693
18/03/2009 	24.17877   	29.50277   	27.21432   	 6.15258064
19/03/2009 	25.34084   	29.49688   	27.68865   	 6.19911602
20/03/2009 	24.18222   	29.05268   	27.07852   	 6.34783497
21/03/2009 	23.22495   	28.89666   	26.98907   	 6.35946066
22/03/2009 	23.55544   	29.40981   	26.67040   	 6.32864813
23/03/2009 	22.69248   	29.83417   	26.65619   	 6.41335965
24/03/2009 	22.25410   	30.28430   	27.19399   	 6.16747980
25/03/2009 	18.06239   	30.54861   	25.67665   	 6.19628545
26/03/2009 	16.34320   	29.49561   	24.97559   	 6.21605171
27/03/2009 	17.26522   	29.36539   	25.02811   	 6.20191130
28/03/2009 	18.67907   	29.29108   	24.94283   	 6.14841791
29/03/2009 	17.75360   	28.73631   	25.16414   	 6.23136634
30/03/2009 	21.07022   	29.51246   	25.95003   	 6.20614252
31/03/2009 	20.41495   	29.51032   	25.86541   	 6.39037186
01/04/2009 	22.04659   	28.85707   	26.38241   	 6.70714211
02/04/2009 	24.18060   	28.94926   	27.00892   	 7.09458921
03/04/2009 	24.62915   	29.18551   	27.30240   	 7.41542229
04/04/2009 	21.62751   	28.81684   	26.54183   	 7.77527089
05/04/2009 	21.56590   	29.00700   	26.25844   	 7.94862745
06/04/2009 	21.46483   	29.45077   	26.56997   	 8.03504292
07/04/2009 	21.79488   	29.78997   	26.80647   	 8.20466246
08/04/2009 	20.33166   	28.85622   	24.99528   	 8.48069096
09/04/2009 	17.63168   	28.62372   	24.27616   	 8.58183704
