date	smin	smax	smean	tmean
01/01/2009   	17.519154    	19.71075     	18.95097     	 1.8607818658
02/01/2009   	17.420944    	19.62391     	18.68066     	 1.8187724302
03/01/2009   	14.833508    	19.49603     	18.30843     	 1.5825193127
04/01/2009   	15.007016    	19.26686     	17.05277     	 1.6287409514
05/01/2009   	16.049826    	18.34906     	17.24290     	 1.4528808817
06/01/2009   	17.215992    	20.23360     	18.38184     	 0.9996649089
07/01/2009   	17.756311    	21.14144     	19.39112     	 0.9123467915
08/01/2009   	17.953922    	20.07602     	19.37960     	 0.8503378257
09/01/2009   	18.300573    	20.67084     	19.67028     	 0.6454752100
10/01/2009   	18.572287    	20.90499     	19.87894     	 0.4414921142
11/01/2009   	19.088736    	21.82006     	20.62106     	 0.2536289565
12/01/2009   	20.446064    	21.90029     	21.35253     	 0.4546086869
13/01/2009   	20.752394    	23.79434     	22.42974     	 1.1403325765
14/01/2009   	20.862253    	23.61659     	22.71356     	 1.4695084319
15/01/2009   	18.309864    	23.55673     	22.35071     	 1.4778308272
16/01/2009   	18.672516    	23.91079     	22.20904     	 1.5023911620
17/01/2009   	21.546043    	24.15363     	23.43934     	 1.9316093822
18/01/2009   	20.951195    	23.50781     	22.80265     	 2.4968698670
19/01/2009   	20.787710    	23.49360     	22.64577     	 2.7375077754
20/01/2009   	23.016262    	25.17840     	24.38878     	 2.9867766201
21/01/2009   	24.701506    	25.83596     	25.21716     	 2.9277753482
22/01/2009   	25.144657    	26.81354     	26.06881     	 2.7151735624
23/01/2009   	25.203751    	28.28175     	26.94754     	 2.6703576545
24/01/2009   	26.192980    	27.67187     	26.80027     	 2.8266092837
25/01/2009   	26.011192    	27.00825     	26.42510     	 2.8092244069
26/01/2009   	25.372980    	26.84413     	26.33844     	 2.6482907583
27/01/2009   	21.958340    	27.04815     	25.91024     	 2.3752582967
28/01/2009   	21.612509    	26.53363     	25.18101     	 2.0996941974
29/01/2009   	20.068251    	26.49412     	24.39212     	 1.8644771576
30/01/2009   	20.694284    	25.40307     	23.45913     	 1.5671527510
31/01/2009   	21.624779    	25.11745     	23.56414     	 1.1811618085
01/02/2009   	21.386200    	24.69063     	23.32051     	 0.7813258587
02/02/2009   	21.961374    	24.39160     	23.21230     	 0.4139138836
03/02/2009   	23.004307    	23.63096     	23.41951     	 0.5110728089
04/02/2009   	23.121162    	23.82051     	23.58932     	 0.6419557941
05/02/2009   	23.227421    	23.92736     	23.64750     	 0.7358702843
06/02/2009   	23.480314    	24.15575     	23.85288     	 1.0023032551
07/02/2009   	22.058178    	23.94535     	23.39545     	 1.1398742137
08/02/2009   	20.827875    	23.72031     	22.33506     	 1.1788972194
09/02/2009   	20.773476    	22.41881     	21.59956     	 1.2788364664
10/02/2009   	19.977079    	22.61263     	21.83464     	 1.3876162718
11/02/2009   	17.766647    	22.28308     	20.16024     	 1.5103067632
12/02/2009   	17.573610    	20.46711     	19.07107     	 1.6586772129
