date	smin	smax	smean	tmean
01/01/2009  	24.455322   	28.00355    	25.799565   	 0.869351556
02/01/2009  	23.490400   	25.61750    	24.731241   	 0.644222965
03/01/2009  	23.328400   	25.39055    	24.436892   	 0.426975002
04/01/2009  	22.358358   	24.66468    	23.922202   	 1.108084333
05/01/2009  	22.225058   	25.02132    	23.428366   	 1.116282331
06/01/2009  	22.376165   	26.72923    	25.200242   	 0.487680346
07/01/2009  	23.287832   	25.99910    	24.843700   	 0.130837139
08/01/2009  	22.997648   	26.52018    	24.713477   	 0.087743176
09/01/2009  	21.987810   	25.13739    	23.435661   	 0.005830882
10/01/2009  	21.405109   	24.61829    	23.017612   	-0.447373896
11/01/2009  	16.594536   	23.74821    	20.233723   	-0.516971878
12/01/2009  	15.155093   	19.67556    	17.319089   	 0.215333995
13/01/2009  	14.428668   	20.46897    	18.005256   	 1.192780637
14/01/2009  	15.488561   	20.36940    	17.557298   	 1.557970971
15/01/2009  	16.225218   	18.68600    	17.129477   	 1.472945549
16/01/2009  	14.699656   	18.39538    	16.989781   	 1.259017477
17/01/2009  	11.807461   	20.26322    	15.506759   	 1.277230908
18/01/2009  	 9.516650   	19.82273    	13.622964   	 2.326675909
19/01/2009  	12.846013   	22.12001    	18.541623   	 2.487840335
20/01/2009  	19.290104   	23.24345    	22.096736   	 2.735685910
21/01/2009  	19.909294   	23.12890    	21.656174   	 2.520085161
22/01/2009  	12.874421   	21.66332    	18.480749   	 2.024861045
23/01/2009  	12.884685   	23.07491    	18.230049   	 2.608937475
24/01/2009  	14.518731   	24.41166    	20.620923   	 2.972378115
25/01/2009  	15.879646   	23.71344    	19.764028   	 2.802678352
26/01/2009  	17.144535   	21.86893    	19.398285   	 2.204243533
27/01/2009  	18.530485   	21.37974    	19.616684   	 1.711039222
28/01/2009  	17.683409   	22.00794    	19.605372   	 1.078672663
29/01/2009  	19.030758   	23.06241    	20.532759   	 0.818906338
30/01/2009  	19.819666   	21.66944    	20.682029   	 0.351293404
31/01/2009  	20.201931   	23.10782    	21.951473   	 0.009665070
01/02/2009  	21.565357   	24.39764    	23.175371   	-0.220059340
02/02/2009  	22.909403   	25.14772    	24.322165   	-0.273673271
03/02/2009  	23.042112   	25.24552    	24.545449   	 0.011949652
04/02/2009  	22.820511   	25.37526    	24.291844   	 0.200990511
05/02/2009  	23.013412   	26.10800    	24.421965   	 0.451734703
06/02/2009  	21.271818   	25.14832    	23.453940   	 0.914786033
07/02/2009  	20.900114   	24.12516    	22.737090   	 1.162929812
08/02/2009  	19.242910   	23.38148    	21.280618   	 1.152157644
09/02/2009  	16.973558   	23.51271    	19.779961   	 1.200126840
10/02/2009  	19.854979   	23.55862    	20.973788   	 1.263765275
11/02/2009  	20.200764   	23.54149    	21.633686   	 1.413149810
12/02/2009  	19.971268   	23.19638    	21.479764   	 1.543659436
13/02/2009  	20.035427   	23.00644    	21.313828   	 1.657249932
14/02/2009  	20.035789   	23.13821    	22.054397   	 1.476352332
15/02/2009  	17.966221   	23.55467    	20.769891   	 1.440101852
16/02/2009  	15.900405   	19.21624    	18.029628   	 2.103420561
17/02/2009  	13.419519   	19.44725    	16.989322   	 2.826507881
18/02/2009  	15.731243   	20.49596    	18.201364   	 2.628236478
19/02/2009  	15.470235   	19.19527    	17.093580   	 2.532748883
20/02/2009  	10.360029   	15.41024    	12.914279   	 2.903288677
21/02/2009  	 9.994817   	14.13011    	12.298958   	 3.176354378
22/02/2009  	 8.262609   	12.02647    	10.348913   	 3.658291290
23/02/2009  	 9.454349   	15.87244    	11.507601   	 3.932445516
24/02/2009  	10.626364   	16.72236    	13.812875   	 4.021127502
25/02/2009  	 9.545703   	17.75410    	13.401011   	 4.182985693
26/02/2009  	 6.665020   	14.36891    	 9.410683   	 4.502593001
27/02/2009  	 5.262292   	14.07422    	 8.614828   	 4.855764359
28/02/2009  	 8.488617   	15.64498    	11.424891   	 5.159439256
01/03/2009  	 9.760418   	21.20812    	15.695269   	 5.021542499
02/03/2009  	11.627050   	19.28172    	15.119986   	 5.094364315
03/03/2009  	 9.099613   	18.07557    	13.476600   	 5.004143407
04/03/2009  	 6.294925   	12.64733    	 9.678434   	 4.615160922
05/03/2009  	 8.302527   	14.93340    	11.346288   	 4.790141006
06/03/2009  	 8.672655   	14.38694    	11.417534   	 4.804127713
07/03/2009  	10.269701   	14.58007    	13.109884   	 4.596195032
08/03/2009  	 7.964530   	12.90349    	10.713477   	 5.152283957
09/03/2009  	 6.805923   	15.67529    	12.252216   	 5.103141636
10/03/2009  	 7.225224   	16.84928    	13.567197   	 5.036033183
11/03/2009  	 9.109077   	14.47927    	11.524867   	 4.956097613
12/03/2009  	10.064410   	14.79498    	12.613068   	 5.213514199
13/03/2009  	10.975280   	17.52349    	13.683160   	 5.470201671
14/03/2009  	11.284233   	18.48329    	13.816985   	 5.670848449
15/03/2009  	 9.403091   	11.95625    	10.918042   	 5.934084465
16/03/2009  	 9.594618   	16.50263    	12.516828   	 6.116152217
17/03/2009  	 9.461472   	18.39482    	13.887594   	 6.391363919
18/03/2009  	11.674329   	16.28189    	13.942359   	 6.335215261
19/03/2009  	10.202611   	18.63910    	14.829268   	 6.333366831
20/03/2009  	12.956635   	18.97675    	15.757252   	 6.253422151
21/03/2009  	12.949709   	17.87768    	15.197427   	 6.469660431
22/03/2009  	10.221934   	14.93122    	12.806913   	 6.670758545
23/03/2009  	 6.520307   	23.29603    	12.346103   	 6.861787458
24/03/2009  	 7.065530   	16.31154    	11.568014   	 6.572470486
