date	smin	smax	smean	tmean
01/01/2009 	15.095635  	18.233231  	16.635048  	 0.10853527
02/01/2009 	12.306865  	19.878378  	16.798419  	 0.60440869
03/01/2009 	15.778925  	21.883261  	18.517131  	 0.60044367
04/01/2009 	20.690779  	28.978262  	24.111475  	 1.83190930
05/01/2009 	11.686901  	26.107782  	19.111326  	 1.00051526
06/01/2009 	14.018715  	20.444973  	17.084997  	-0.76649457
07/01/2009 	15.894071  	22.352905  	19.697191  	 0.03079406
08/01/2009 	16.559092  	22.116190  	20.236560  	 0.08672984
09/01/2009 	18.816650  	20.170122  	19.316633  	-0.24393294
10/01/2009 	15.487663  	19.981066  	18.334959  	-0.80894121
11/01/2009 	17.917370  	22.452267  	20.294894  	-0.15682226
12/01/2009 	21.790890  	23.817389  	23.153753  	 1.08051423
13/01/2009 	22.444735  	24.430202  	23.481286  	 1.71423864
14/01/2009 	20.241295  	24.285271  	23.017444  	 2.10529013
15/01/2009 	15.546040  	24.620785  	20.648943  	 1.63351193
16/01/2009 	10.251605  	20.810652  	15.099170  	 1.20004830
17/01/2009 	13.395165  	24.226894  	20.126186  	 1.76311962
18/01/2009 	22.721560  	24.841536  	23.657419  	 2.92199326
19/01/2009 	22.034883  	23.354879  	22.916001  	 2.78589230
20/01/2009 	23.589588  	26.617081  	25.045011  	 2.99533342
21/01/2009 	24.227575  	26.149826  	25.125446  	 2.71917809
22/01/2009 	25.178942  	26.981300  	26.018233  	 2.61086143
23/01/2009 	24.851080  	28.564068  	26.487440  	 2.82437698
24/01/2009 	25.442249  	27.906151  	27.005153  	 3.05922001
25/01/2009 	24.267792  	27.607595  	26.431089  	 2.86717161
26/01/2009 	17.466019  	26.473486  	22.694073  	 2.18067300
27/01/2009 	19.415075  	22.912222  	20.775073  	 1.27696914
28/01/2009 	17.393997  	20.725727  	18.977141  	 0.94417987
29/01/2009 	16.173653  	19.794748  	17.191664  	 0.73072458
30/01/2009 	15.472089  	18.714636  	16.532322  	 0.30954852
31/01/2009 	17.241220  	21.277826  	18.951411  	 0.04563780
01/02/2009 	17.682798  	21.357676  	19.336662  	-0.54401270
02/02/2009 	19.065998  	22.249714  	21.197562  	-0.03295779
03/02/2009 	21.088520  	23.055628  	22.285656  	 0.45309438
04/02/2009 	21.347771  	23.076139  	21.988688  	 0.69826797
05/02/2009 	21.184406  	22.984303  	22.092847  	 0.90145871
06/02/2009 	19.890163  	23.183447  	22.596037  	 1.58394978
07/02/2009 	19.039835  	22.738213  	21.523780  	 1.75027088
08/02/2009 	19.716789  	23.607454  	22.051410  	 1.43329715
09/02/2009 	20.458630  	22.944244  	21.795937  	 1.50898571
10/02/2009 	14.490190  	22.529528  	18.603595  	 1.43204983
11/02/2009 	14.923230  	23.296982  	18.525735  	 1.78046841
12/02/2009 	15.428184  	24.885387  	20.395617  	 1.99062456
13/02/2009 	15.023695  	25.177231  	21.417965  	 2.16944479
14/02/2009 	13.381893  	24.178383  	17.300640  	 1.44122519
15/02/2009 	15.018219  	21.677614  	18.737579  	 1.68305837
16/02/2009 	15.595045  	23.572027  	21.420147  	 2.76138575
17/02/2009 	12.817997  	23.253500  	19.274502  	 3.17580055
18/02/2009 	12.743389  	18.135115  	14.820426  	 2.30330886
19/02/2009 	13.155140  	18.786608  	16.169171  	 2.30622230
20/02/2009 	14.446157  	20.822327  	19.269871  	 3.21372854
21/02/2009 	13.676256  	20.890036  	18.172259  	 3.44522552
22/02/2009 	16.310007  	21.271481  	19.610090  	 3.87445538
23/02/2009 	12.452765  	23.787508  	19.909539  	 4.39506586
24/02/2009 	10.156409  	20.187422  	16.046682  	 4.08808387
25/02/2009 	10.135268  	18.251493  	15.274334  	 4.30528715
26/02/2009 	16.776695  	22.280510  	18.908899  	 4.71323455
27/02/2009 	18.156315  	24.344584  	20.960966  	 5.10771176
28/02/2009 	14.388755  	23.309689  	19.549268  	 5.53242065
01/03/2009 	11.678661  	21.104128  	17.237227  	 5.18046117
02/03/2009 	12.282064  	20.981642  	17.093628  	 5.27265841
03/03/2009 	14.191689  	20.179617  	16.589396  	 5.15573969
04/03/2009 	16.491707  	19.482136  	17.751177  	 4.87077559
05/03/2009 	14.724967  	19.696964  	17.674875  	 4.95816755
06/03/2009 	12.127425  	17.471174  	14.986888  	 4.84811369
