date	smin	smax	smean	tmean
01/01/2009 	20.91601   	25.98026   	23.89022   	 2.80127458
02/01/2009 	21.36127   	25.93606   	23.62382   	 2.38661898
03/01/2009 	21.28712   	25.82926   	23.87271   	 2.19149175
04/01/2009 	21.81495   	26.17975   	23.88945   	 2.17346119
05/01/2009 	22.23583   	28.04909   	24.96345   	 1.98831836
06/01/2009 	22.21285   	25.32597   	23.67756   	 1.45658484
07/01/2009 	22.33438   	25.25592   	23.79118   	 1.68528154
08/01/2009 	22.16619   	24.66609   	23.61693   	 1.43126961
09/01/2009 	21.73037   	24.99689   	23.66408   	 1.43005391
10/01/2009 	21.44964   	25.14557   	23.61215   	 1.12852598
11/01/2009 	22.06959   	26.69770   	24.46016   	 1.37119806
12/01/2009 	23.39942   	31.16819   	26.50548   	 2.09931774
13/01/2009 	24.71428   	31.04136   	28.74668   	 2.89659506
14/01/2009 	24.76078   	30.73881   	28.09033   	 2.91763012
15/01/2009 	24.46764   	29.87695   	26.87165   	 2.66198971
16/01/2009 	23.65879   	27.90589   	25.87648   	 2.48530265
17/01/2009 	23.50445   	27.97035   	25.55722   	 2.51736168
18/01/2009 	23.53956   	29.96683   	26.90658   	 2.85840454
19/01/2009 	25.52632   	30.50632   	28.94562   	 2.86630200
20/01/2009 	27.70968   	30.31105   	29.66003   	 2.87189601
21/01/2009 	27.45084   	30.24505   	29.56976   	 2.79770922
22/01/2009 	27.99248   	30.18555   	29.70641   	 2.62955008
23/01/2009 	28.11726   	29.86485   	29.10380   	 2.66035104
24/01/2009 	27.96062   	29.29762   	28.82035   	 2.74268629
25/01/2009 	27.37453   	28.91630   	28.28275   	 2.74611962
26/01/2009 	26.77299   	28.53709   	27.82048   	 2.63491955
27/01/2009 	26.52058   	27.73514   	27.22565   	 2.40706188
28/01/2009 	25.49775   	27.14571   	26.51066   	 2.09239164
29/01/2009 	24.47877   	26.48041   	25.63703   	 1.82737486
30/01/2009 	23.62803   	25.70035   	24.93154   	 1.62957316
31/01/2009 	23.40666   	25.14892   	24.57615   	 1.30801751
01/02/2009 	23.31371   	24.96337   	24.18047   	 0.94556854
02/02/2009 	23.12832   	25.42974   	24.27276   	 0.70348994
03/02/2009 	23.52760   	26.38685   	25.10929   	 0.95974722
04/02/2009 	24.21292   	27.26790   	25.61398   	 1.13884015
05/02/2009 	24.25239   	27.34119   	26.02925   	 1.30788722
06/02/2009 	24.21362   	27.55999   	26.31440   	 1.54282156
07/02/2009 	24.42411   	27.52864   	26.16011   	 1.63216354
08/02/2009 	24.16352   	27.43890   	25.89076   	 1.64071682
09/02/2009 	22.79646   	27.28976   	25.41755   	 1.63333291
10/02/2009 	23.05245   	27.59338   	25.26095   	 1.73641169
11/02/2009 	23.53704   	26.54199   	24.66213   	 1.81086907
12/02/2009 	24.53577   	27.90842   	25.34727   	 1.96948978
13/02/2009 	24.59532   	28.19984   	25.59935   	 2.14755049
14/02/2009 	24.32544   	27.05851   	25.50996   	 2.11495936
15/02/2009 	22.39035   	25.33356   	24.35402   	 2.10178379
16/02/2009 	22.35842   	25.34193   	23.95466   	 2.31562214
17/02/2009 	22.60164   	25.85225   	24.18718   	 2.64065095
18/02/2009 	21.71023   	24.50717   	23.13726   	 2.65169472
19/02/2009 	21.68944   	24.27109   	22.80239   	 2.63056475
20/02/2009 	21.16677   	24.76580   	22.97819   	 2.78176160
21/02/2009 	20.63360   	24.76360   	22.81555   	 2.91083038
22/02/2009 	20.17422   	25.39450   	23.03378   	 3.10445615
23/02/2009 	20.18610   	27.01759   	22.66998   	 3.61352701
24/02/2009 	21.08845   	25.47656   	22.53866   	 3.85790142
25/02/2009 	19.54062   	23.97108   	21.59958   	 3.88874625
26/02/2009 	18.17206   	24.98631   	21.73678   	 4.00992939
27/02/2009 	18.17537   	24.06902   	21.11363   	 4.41038186
28/02/2009 	18.98855   	24.95837   	21.58157   	 4.72463706
01/03/2009 	19.67701   	23.87496   	21.94766   	 4.81717647
02/03/2009 	20.28659   	23.92319   	22.19585   	 4.91831725
03/03/2009 	19.56238   	23.68124   	22.05095   	 4.93296991
04/03/2009 	20.57699   	24.68600   	22.24331   	 4.76325254
05/03/2009 	21.67385   	27.53542   	24.48520   	 4.65233806
06/03/2009 	20.51727   	26.07475   	23.23591   	 4.72598871
07/03/2009 	19.80331   	24.88115   	22.81647   	 4.71752615
08/03/2009 	19.80683   	26.51890   	23.76195   	 4.78229835
09/03/2009 	21.52546   	27.77453   	25.07733   	 4.73354883
10/03/2009 	20.14626   	27.39780   	24.03113   	 4.77423213
11/03/2009 	20.78049   	25.75249   	23.44487   	 4.81596222
12/03/2009 	20.36975   	26.10607   	23.06999   	 4.98115577
13/03/2009 	20.36815   	25.08605   	23.00378   	 5.19449856
14/03/2009 	20.39911   	24.27397   	22.41963   	 5.45827893
15/03/2009 	20.62038   	24.49819   	22.80272   	 5.69692018
16/03/2009 	20.74839   	23.70824   	22.29094   	 6.05847080
17/03/2009 	19.72264   	23.16707   	21.67676   	 6.24884220
18/03/2009 	18.92459   	23.11305   	20.86020   	 6.43835834
19/03/2009 	19.23428   	23.26070   	20.82030   	 6.40239232
20/03/2009 	17.98717   	24.43783   	21.57145   	 6.36081400
21/03/2009 	20.31177   	26.39314   	23.64267   	 6.11316237
22/03/2009 	17.93990   	26.14993   	23.07872   	 6.14964399
23/03/2009 	16.90675   	25.05913   	21.64201   	 6.36787470
24/03/2009 	16.76598   	25.05351   	21.79668   	 6.33624418
25/03/2009 	19.41110   	24.81756   	21.78575   	 6.34125386
26/03/2009 	17.87090   	24.12868   	21.16400   	 6.33635536
27/03/2009 	18.20881   	25.69681   	22.26897   	 6.28481832
28/03/2009 	17.59341   	26.60852   	22.39677   	 6.26293818
29/03/2009 	18.13973   	25.45004   	22.49602   	 6.26190139
30/03/2009 	17.84262   	24.17170   	21.37120   	 6.25372816
31/03/2009 	18.28924   	23.94455   	21.43973   	 6.44014365
01/04/2009 	19.47985   	23.37119   	21.55278   	 6.72627026
02/04/2009 	19.92427   	23.12286   	21.55307   	 7.09077024
03/04/2009 	20.25047   	24.05477   	21.92435   	 7.40795092
04/04/2009 	19.82096   	25.26865   	22.47414   	 7.53533804
05/04/2009 	20.06529   	26.02923   	22.96704   	 7.65226531
06/04/2009 	20.52308   	25.61687   	23.15421   	 7.81871680
07/04/2009 	20.25590   	25.42913   	23.11924   	 8.08644821
08/04/2009 	20.00378   	25.62214   	23.30679   	 8.24696883
09/04/2009 	20.56569   	26.15997   	23.50823   	 8.32548646
10/04/2009 	20.64747   	25.99253   	23.29199   	 8.61717461
11/04/2009 	21.19615   	25.72840   	23.79416   	 8.87201879
12/04/2009 	20.66238   	25.56802   	23.51483   	 9.24024320
13/04/2009 	20.74030   	25.09481   	23.18369   	 9.56379998
14/04/2009 	21.18043   	24.76231   	23.24009   	 9.84895949
15/04/2009 	21.62670   	24.59159   	23.31149   	10.19005634
16/04/2009 	22.19032   	24.73589   	23.59692   	10.48348365
17/04/2009 	22.67145   	25.75470   	24.09196   	10.54592991
18/04/2009 	23.47100   	26.22664   	24.62350   	10.50300852
19/04/2009 	22.80396   	25.83536   	24.30151   	10.78431608
20/04/2009 	22.47731   	27.23873   	24.43437   	10.84553482
21/04/2009 	22.18015   	27.12538   	24.62589   	10.95220826
22/04/2009 	22.19676   	26.92549   	24.85117   	11.02294546
23/04/2009 	21.59642   	26.00759   	24.28734   	11.37453139
24/04/2009 	22.46846   	25.66168   	24.36730   	11.61217304
25/04/2009 	23.15984   	26.38766   	24.61626   	11.73497546
26/04/2009 	23.16720   	25.87378   	24.73305   	11.92655140
27/04/2009 	23.47208   	26.03119   	25.04261   	12.07976401
28/04/2009 	23.86176   	26.38766   	25.21528   	12.12865859
29/04/2009 	23.73920   	26.40427   	25.25873   	12.29104328
30/04/2009 	23.75401   	26.00228   	25.25351   	12.54558992
01/05/2009 	24.10847   	26.02804   	25.26236   	12.96249402
02/05/2009 	24.60054   	26.72282   	25.39459   	13.21627724
03/05/2009 	23.89765   	26.08813   	25.15470   	13.29576083
04/05/2009 	23.87023   	26.07180   	25.04796   	13.05659781
05/05/2009 	23.35029   	26.88116   	25.03231   	12.79699590
06/05/2009 	22.55569   	27.37398   	24.99194   	12.64207683
07/05/2009 	21.64301   	27.83589   	24.93074   	12.60529890
08/05/2009 	21.93483   	27.75268   	25.75653   	12.52755990
09/05/2009 	22.59521   	28.13226   	26.00382   	12.46514901
10/05/2009 	22.55229   	27.88891   	25.77288   	12.64597748
11/05/2009 	22.19844   	26.70864   	24.84369   	12.82345021
12/05/2009 	22.78104   	26.67989   	24.75892   	12.59975896
13/05/2009 	24.01628   	25.91871   	25.15208   	12.69082999
14/05/2009 	24.48597   	26.69498   	25.62043   	12.75261408
15/05/2009 	24.99515   	27.42004   	26.13660   	12.77253352
16/05/2009 	25.51788   	27.62150   	26.59296   	12.77439340
17/05/2009 	24.94407   	28.68274   	26.84784   	12.87507729
18/05/2009 	25.94318   	28.94884   	27.30880   	12.93192442
19/05/2009 	25.08631   	29.17422   	27.23038   	13.05523831
20/05/2009 	25.26544   	29.16990   	27.35829   	13.19349817
21/05/2009 	25.48765   	28.93791   	27.42072   	13.44427015
22/05/2009 	25.13806   	28.68440   	27.17221   	13.69294196
23/05/2009 	24.76944   	28.10860   	26.70871   	14.11430866
24/05/2009 	24.96535   	27.61666   	26.56242   	14.68756751
25/05/2009 	25.38964   	27.19633   	26.43895   	15.37622617
26/05/2009 	25.76037   	27.41044   	26.56589   	15.65673027
27/05/2009 	26.16847   	27.48129   	26.59682   	15.48457223
28/05/2009 	25.43650   	28.34120   	26.44674   	15.48223597
29/05/2009 	24.95209   	27.45714   	26.01459   	15.83391792
30/05/2009 	25.12318   	26.94202   	26.00880   	15.97897508
31/05/2009 	24.87712   	26.44623   	25.91050   	16.23709969
01/06/2009 	24.34324   	26.46511   	25.86141   	16.56598218
02/06/2009 	24.16568   	28.70656   	26.07526   	16.71282268
03/06/2009 	25.74956   	30.06363   	27.11728   	16.15283491
04/06/2009 	26.59383   	30.77848   	27.94728   	14.80692349
05/06/2009 	27.02398   	31.07633   	28.17048   	13.95287617
06/06/2009 	26.77669   	31.05794   	27.88309   	14.15421206
07/06/2009 	26.90178   	31.22675   	28.17917   	14.00342667
08/06/2009 	26.77951   	29.66890   	27.60211   	14.47587750
09/06/2009 	26.86123   	30.40020   	27.62426   	14.93174615
10/06/2009 	26.95735   	28.19791   	27.44390   	15.17624040
11/06/2009 	27.10407   	29.88631   	27.93531   	15.46085248
12/06/2009 	27.46124   	30.43298   	28.23528   	15.64387655
13/06/2009 	27.64181   	30.25608   	28.27492   	15.83193437
14/06/2009 	26.98763   	28.23990   	27.81475   	16.23622326
15/06/2009 	26.40979   	27.95800   	27.44580   	16.62231215
16/06/2009 	26.75059   	27.97764   	27.47637   	16.78543890
17/06/2009 	25.97679   	27.83313   	27.29865   	16.98265771
18/06/2009 	26.92198   	27.80980   	27.37228   	17.04555623
19/06/2009 	26.73545   	28.13009   	27.27699   	17.03075588
20/06/2009 	26.24250   	27.94127   	27.21103   	16.95084774
21/06/2009 	26.42345   	30.14069   	27.58863   	16.69570394
22/06/2009 	27.42193   	29.90532   	28.11594   	16.46508396
23/06/2009 	27.21245   	28.52919   	27.86777   	16.77652760
24/06/2009 	26.51035   	28.67285   	27.97168   	17.12859861
25/06/2009 	26.65391   	28.96635   	28.09485   	17.52034760
26/06/2009 	26.72444   	28.89663   	28.18303   	17.92433170
27/06/2009 	26.92056   	28.89965   	28.29677   	18.43318466
28/06/2009 	27.16742   	28.92347   	28.41850   	18.90779436
29/06/2009 	27.25286   	28.98377   	28.50063   	19.54823041
30/06/2009 	27.31467   	29.18652   	28.53847   	20.23720789
01/07/2009 	27.21271   	29.14779   	28.58750   	20.74228895
02/07/2009 	27.46259   	29.02522   	28.63133   	21.02093879
03/07/2009 	27.88811   	29.18664   	28.81164   	21.26809573
04/07/2009 	28.42814   	28.87021   	28.67327   	21.41831593
05/07/2009 	28.21651   	29.17950   	28.64533   	21.69903358
06/07/2009 	28.08051   	28.90774   	28.60239   	21.61296089
07/07/2009 	27.96129   	29.41806   	28.64239   	20.95165459
08/07/2009 	27.20701   	29.79389   	28.56890   	20.61909080
09/07/2009 	27.69810   	29.45173   	28.50724   	19.85170078
10/07/2009 	27.36176   	31.31926   	28.66940   	18.33635434
11/07/2009 	27.37200   	31.41533   	28.55301   	17.33051103
12/07/2009 	27.18537   	30.64388   	27.96820   	17.71110340
13/07/2009 	25.64214   	28.45028   	27.25756   	18.35762465
14/07/2009 	24.47786   	27.92185   	26.57417   	18.86236640
15/07/2009 	25.07533   	27.76310   	26.58159   	19.41113969
16/07/2009 	24.58783   	28.12326   	26.33780   	19.58508329
17/07/2009 	24.59745   	28.05165   	26.55692   	19.77684911
