date	smin	smax	smean	tmean
01/01/2009 	22.80425   	28.92899   	25.94009   	 3.04021303
02/01/2009 	23.06710   	28.66246   	25.39054   	 2.69592995
03/01/2009 	22.78199   	28.20813   	25.23909   	 2.74662470
04/01/2009 	22.64972   	28.29130   	25.25510   	 2.87922800
05/01/2009 	22.19549   	27.55549   	24.74595   	 2.28403453
06/01/2009 	22.80486   	26.01413   	24.28352   	 1.78772154
07/01/2009 	23.23762   	27.72824   	25.01883   	 2.13537335
08/01/2009 	23.15925   	26.64993   	24.57467   	 1.88801154
09/01/2009 	23.18254   	27.49669   	24.88961   	 1.86651951
10/01/2009 	22.17092   	27.70645   	24.86467   	 1.51030324
11/01/2009 	22.70068   	29.01086   	25.91456   	 1.81726418
12/01/2009 	24.06693   	31.22103   	27.97576   	 2.55069258
13/01/2009 	27.71934   	31.19191   	29.94153   	 3.20195402
14/01/2009 	26.64916   	30.98570   	29.22725   	 3.20134252
15/01/2009 	24.08213   	30.48398   	27.45165   	 2.82627530
16/01/2009 	23.18210   	29.69084   	26.38645   	 2.60260575
17/01/2009 	23.55696   	29.74147   	26.58726   	 2.64710786
18/01/2009 	26.08686   	30.55849   	28.53851   	 2.88438822
19/01/2009 	28.86695   	30.55793   	29.86153   	 2.81512446
20/01/2009 	29.73998   	30.32020   	30.11933   	 2.79598342
21/01/2009 	29.33003   	30.27740   	29.85261   	 2.70864980
22/01/2009 	29.24244   	30.19416   	29.73257   	 2.58525528
23/01/2009 	28.56531   	29.80744   	29.18061   	 2.74313907
24/01/2009 	28.64677   	29.20119   	28.93880   	 2.85455388
25/01/2009 	27.93008   	29.01020   	28.62232   	 2.73491547
26/01/2009 	26.62962   	29.36755   	28.05652   	 2.64323560
27/01/2009 	25.58097   	28.44020   	27.16587   	 2.34024405
28/01/2009 	25.22219   	28.51461   	26.78400   	 2.08176126
29/01/2009 	24.06419   	27.57890   	25.85161   	 1.69460053
30/01/2009 	24.62336   	27.14742   	25.34421   	 1.32275815
