date	smin	smax	smean	tmean
01/01/2009  	18.596428   	24.43477    	20.91851    	 1.667867713
02/01/2009  	12.053334   	23.55962    	18.57545    	 1.628081713
03/01/2009  	10.269064   	24.90410    	17.02527    	 1.342959212
04/01/2009  	12.447989   	24.91362    	17.44801    	 1.744528301
05/01/2009  	11.424518   	22.45033    	17.32223    	 1.312015440
06/01/2009  	11.770300   	21.78128    	16.84642    	 0.222811489
07/01/2009  	15.347569   	24.38856    	19.93520    	 1.014999789
08/01/2009  	14.766515   	22.44241    	19.06483    	 0.534774987
09/01/2009  	12.675953   	24.51648    	19.49887    	 0.516571593
10/01/2009  	12.523832   	24.32631    	19.70912    	 0.229865425
11/01/2009  	16.317562   	27.44154    	23.36140    	 0.914577961
12/01/2009  	23.221678   	31.08922    	27.72479    	 2.272259308
13/01/2009  	21.177608   	31.15788    	28.47424    	 3.001644574
14/01/2009  	19.742687   	29.73925    	25.02406    	 2.686965413
15/01/2009  	10.192786   	27.60136    	20.79889    	 2.061921395
16/01/2009  	 5.910082   	27.84732    	18.37047    	 1.962881985
17/01/2009  	12.003882   	28.04498    	22.34163    	 2.324115550
18/01/2009  	16.875565   	30.37924    	26.14217    	 3.013946672
19/01/2009  	20.578808   	30.50177    	28.00335    	 2.924179122
20/01/2009  	29.086472   	30.15874    	29.75120    	 2.842786719
21/01/2009  	21.227217   	29.94176    	27.96918    	 2.555431480
22/01/2009  	17.021681   	29.64581    	27.05045    	 2.303245495
23/01/2009  	16.751251   	29.14385    	26.87284    	 2.623656005
24/01/2009  	27.237011   	28.74860    	28.48906    	 2.928248147
25/01/2009  	11.604465   	28.67992    	25.69569    	 2.690237145
26/01/2009  	 9.481448   	28.23420    	20.38345    	 2.372081717
27/01/2009  	14.465724   	26.66302    	21.28274    	 2.004659332
28/01/2009  	11.267886   	26.63535    	20.41422    	 1.702969499
29/01/2009  	11.288260   	25.08311    	19.05308    	 1.506680233
30/01/2009  	 9.601357   	23.04118    	17.07130    	 1.070786272
31/01/2009  	 7.106930   	24.10505    	17.23905    	 0.495981878
01/02/2009  	14.815420   	25.75638    	22.38097    	-0.007659580
02/02/2009  	18.926598   	24.58571    	23.64513    	-0.034268094
03/02/2009  	21.292068   	25.71506    	23.60146    	 0.605265682
04/02/2009  	21.951632   	26.20748    	23.84791    	 0.871144397
05/02/2009  	15.347939   	25.80138    	22.70485    	 1.038095788
06/02/2009  	16.083248   	26.62292    	22.71356    	 1.460094072
07/02/2009  	15.889715   	26.05854    	21.96977    	 1.597655532
08/02/2009  	13.945449   	26.77539    	21.46135    	 1.522366193
09/02/2009  	13.139304   	26.78276    	21.09103    	 1.538535441
10/02/2009  	14.245241   	26.19295    	20.18111    	 1.656630730
11/02/2009  	16.371161   	24.60184    	22.11629    	 1.890293178
12/02/2009  	13.167733   	24.16535    	21.15199    	 2.017265777
13/02/2009  	10.893129   	23.46593    	19.11074    	 2.109736989
14/02/2009  	 9.051768   	23.86270    	15.87560    	 1.754140283
15/02/2009  	 9.099392   	23.78259    	16.92494    	 1.896184127
16/02/2009  	 9.093234   	23.50731    	16.19175    	 2.542770689
17/02/2009  	 7.014191   	23.11461    	14.72620    	 3.097041890
18/02/2009  	 7.684568   	21.73529    	13.95537    	 2.568170413
19/02/2009  	 8.094058   	22.02683    	15.46480    	 2.472295063
20/02/2009  	 8.321510   	22.10695    	16.21799    	 3.088714778
21/02/2009  	 8.113568   	22.03276    	15.27270    	 3.199069286
22/02/2009  	 8.531591   	23.89676    	16.66616    	 3.501121928
23/02/2009  	10.031398   	20.82940    	16.71954    	 4.060236871
24/02/2009  	 6.409898   	22.06717    	14.50573    	 3.933707342
25/02/2009  	 6.829695   	22.98460    	15.02973    	 3.994146720
26/02/2009  	 9.895412   	24.08791    	17.74037    	 4.235091229
27/02/2009  	 7.897631   	22.87421    	16.33008    	 4.848308692
28/02/2009  	 7.614899   	22.70507    	14.77581    	 5.133857509
01/03/2009  	 9.337339   	22.70855    	15.00624    	 4.800121288
02/03/2009  	10.919893   	21.28986    	16.25732    	 4.930012385
03/03/2009  	 9.037210   	22.34431    	16.21753    	 4.941640655
04/03/2009  	 2.373345   	25.16131    	15.90405    	 4.678182950
05/03/2009  	10.841795   	25.39553    	19.42488    	 4.700384984
06/03/2009  	14.909795   	23.07213    	20.87019    	 4.636104216
07/03/2009  	12.858919   	22.80616    	18.64514    	 4.454044148
08/03/2009  	11.392673   	26.00013    	22.31984    	 4.916820675
09/03/2009  	17.218809   	27.34073    	24.50553    	 4.751046330
10/03/2009  	16.788315   	26.93075    	23.36082    	 4.824974835
