Date 	Tmin 	Tmax
01/01/1994	22.83	22.83
02/01/1994	24.39	24.39
03/01/1994	24.72	24.72
04/01/1994	20.50	20.50
05/01/1994	22.56	22.56
06/01/1994	20.44	20.44
07/01/1994	21.83	21.83
08/01/1994	21.78	21.78
09/01/1994	22.11	22.11
10/01/1994	21.17	21.17
11/01/1994	20.28	20.28
12/01/1994	23.50	23.50
13/01/1994	22.83	22.83
14/01/1994	21.44	21.44
16/01/1994	22.11	22.11
17/01/1994	20.44	20.44
18/01/1994	21.28	21.28
19/01/1994	21.67	21.67
20/01/1994	20.72	20.72
21/01/1994	22.06	22.06
22/01/1994	21.94	21.94
23/01/1994	21.83	21.83
24/01/1994	22.06	22.06
25/01/1994	19.67	19.67
26/01/1994	21.67	21.67
27/01/1994	22.33	22.33
28/01/1994	23.94	23.94
29/01/1994	23.28	23.28
30/01/1994	24.39	24.39
31/01/1994	25.44	25.44
01/02/1994	23.17	23.17
02/02/1994	24.22	24.22
03/02/1994	22.56	22.56
04/02/1994	21.67	21.67
05/02/1994	22.44	22.44
06/02/1994	22.83	22.83
07/02/1994	24.06	24.06
08/02/1994	22.72	22.72
09/02/1994	22.94	22.94
10/02/1994	24.17	24.17
11/02/1994	23.17	23.17
13/02/1994	23.56	23.56
14/02/1994	23.06	23.06
15/02/1994	23.83	23.83
16/02/1994	23.39	23.39
17/02/1994	24.28	24.28
18/02/1994	24.39	24.39
19/02/1994	24.61	24.61
20/02/1994	22.83	22.83
21/02/1994	21.72	21.72
22/02/1994	22.83	22.83
23/02/1994	20.72	20.72
25/02/1994	21.44	21.44
26/02/1994	22.72	22.72
27/02/1994	22.50	22.50
28/02/1994	23.00	23.00
01/03/1994	22.17	22.17
02/03/1994	23.00	23.00
03/03/1994	23.39	23.39
04/03/1994	22.00	22.00
05/03/1994	22.94	22.94
06/03/1994	24.83	24.83
07/03/1994	22.67	22.67
08/03/1994	23.67	23.67
09/03/1994	22.94	22.94
10/03/1994	22.50	22.50
11/03/1994	23.00	23.00
12/03/1994	23.39	23.39
13/03/1994	23.11	23.11
14/03/1994	24.17	24.17
15/03/1994	20.50	20.50
16/03/1994	23.33	23.33
17/03/1994	21.61	21.61
18/03/1994	21.61	21.61
19/03/1994	21.33	21.33
20/03/1994	21.00	21.00
21/03/1994	23.33	23.33
22/03/1994	23.28	23.28
23/03/1994	24.33	24.33
24/03/1994	24.28	24.28
25/03/1994	24.11	24.11
26/03/1994	21.56	21.56
27/03/1994	21.50	21.50
28/03/1994	20.89	20.89
29/03/1994	24.06	24.06
30/03/1994	22.89	22.89
01/04/1994	21.83	21.83
02/04/1994	23.83	23.83
03/04/1994	22.83	22.83
04/04/1994	23.22	23.22
05/04/1994	22.67	22.67
06/04/1994	19.83	19.83
07/04/1994	21.06	21.06
08/04/1994	22.56	22.56
09/04/1994	24.17	24.17
10/04/1994	21.89	21.89
11/04/1994	21.28	21.28
12/04/1994	22.56	22.56
13/04/1994	21.89	21.89
14/04/1994	22.61	22.61
15/04/1994	23.50	23.50
16/04/1994	23.94	23.94
17/04/1994	23.44	23.44
18/04/1994	21.33	21.33
19/04/1994	20.61	20.61
20/04/1994	21.67	21.67
21/04/1994	20.17	20.17
22/04/1994	21.28	21.28
23/04/1994	21.72	21.72
24/04/1994	20.89	20.89
25/04/1994	21.78	21.78
26/04/1994	21.06	21.06
27/04/1994	21.89	21.89
28/04/1994	21.28	21.28
29/04/1994	21.39	21.39
30/04/1994	21.44	21.44
01/05/1994	20.39	20.39
02/05/1994	20.94	20.94
03/05/1994	21.06	21.06
04/05/1994	21.44	21.44
05/05/1994	20.89	20.89
06/05/1994	21.67	21.67
07/05/1994	22.28	22.28
08/05/1994	20.39	20.39
09/05/1994	20.94	20.94
10/05/1994	21.89	21.89
11/05/1994	21.89	21.89
12/05/1994	20.72	20.72
14/05/1994	20.94	20.94
15/05/1994	21.00	21.00
16/05/1994	20.94	20.94
17/05/1994	21.44	21.44
18/05/1994	22.17	22.17
19/05/1994	20.56	20.56
20/05/1994	20.17	20.17
21/05/1994	20.28	20.28
22/05/1994	19.22	19.22
23/05/1994	23.06	23.06
24/05/1994	21.17	21.17
25/05/1994	22.11	22.11
26/05/1994	22.17	22.17
27/05/1994	21.39	21.39
28/05/1994	21.39	21.39
29/05/1994	20.83	20.83
30/05/1994	21.11	21.11
31/05/1994	19.33	19.33
01/06/1994	20.28	20.28
02/06/1994	18.83	18.83
03/06/1994	21.22	21.22
04/06/1994	21.72	21.72
05/06/1994	21.61	21.61
06/06/1994	21.50	21.50
07/06/1994	20.61	20.61
08/06/1994	20.39	20.39
09/06/1994	21.06	21.06
10/06/1994	19.28	19.28
11/06/1994	20.22	20.22
12/06/1994	19.11	19.11
13/06/1994	20.22	20.22
14/06/1994	19.83	19.83
15/06/1994	20.94	20.94
16/06/1994	20.39	20.39
17/06/1994	19.61	19.61
18/06/1994	20.39	20.39
19/06/1994	20.44	20.44
20/06/1994	21.89	21.89
21/06/1994	18.56	18.56
22/06/1994	21.00	21.00
23/06/1994	19.72	19.72
24/06/1994	20.44	20.44
25/06/1994	17.50	17.50
26/06/1994	20.17	20.17
27/06/1994	20.17	20.17
28/06/1994	19.89	19.89
29/06/1994	21.50	21.50
30/06/1994	17.56	17.56
01/07/1994	18.61	18.61
02/07/1994	19.89	19.89
03/07/1994	18.56	18.56
04/07/1994	18.72	18.72
05/07/1994	20.39	20.39
06/07/1994	17.61	17.61
07/07/1994	18.61	18.61
08/07/1994	19.00	19.00
09/07/1994	19.61	19.61
10/07/1994	19.50	19.50
11/07/1994	20.67	20.67
12/07/1994	21.72	21.72
13/07/1994	19.28	19.28
14/07/1994	18.11	18.11
15/07/1994	18.83	18.83
16/07/1994	19.78	19.78
17/07/1994	19.67	19.67
18/07/1994	18.33	18.33
19/07/1994	20.28	20.28
20/07/1994	19.28	19.28
21/07/1994	19.50	19.50
22/07/1994	19.50	19.50
23/07/1994	19.11	19.11
24/07/1994	20.17	20.17
25/07/1994	19.17	19.17
26/07/1994	19.83	19.83
27/07/1994	21.11	21.11
28/07/1994	17.61	17.61
29/07/1994	17.56	17.56
30/07/1994	19.83	19.83
31/07/1994	18.94	18.94
01/08/1994	17.00	17.00
02/08/1994	16.56	16.56
03/08/1994	17.56	17.56
04/08/1994	19.72	19.72
05/08/1994	18.78	18.78
06/08/1994	15.33	15.33
07/08/1994	19.06	19.06
08/08/1994	20.00	20.00
09/08/1994	19.50	19.50
10/08/1994	21.22	21.22
11/08/1994	18.78	18.78
12/08/1994	19.22	19.22
13/08/1994	19.06	19.06
14/08/1994	20.39	20.39
15/08/1994	21.17	21.17
16/08/1994	20.56	20.56
17/08/1994	18.17	18.17
18/08/1994	17.22	17.22
19/08/1994	22.22	22.22
20/08/1994	20.83	20.83
21/08/1994	21.00	21.00
22/08/1994	17.00	17.00
23/08/1994	19.78	19.78
24/08/1994	20.11	20.11
25/08/1994	16.28	16.28
26/08/1994	19.50	19.50
27/08/1994	19.22	19.22
28/08/1994	18.67	18.67
29/08/1994	19.94	19.94
30/08/1994	18.94	18.94
31/08/1994	17.00	17.00
01/09/1994	18.11	18.11
02/09/1994	16.83	16.83
03/09/1994	17.83	17.83
04/09/1994	17.72	17.72
05/09/1994	14.61	14.61
06/09/1994	18.89	18.89
08/09/1994	18.56	18.56
09/09/1994	17.44	17.44
10/09/1994	18.72	18.72
11/09/1994	21.61	21.61
12/09/1994	18.78	18.78
13/09/1994	19.61	19.61
14/09/1994	21.94	21.94
15/09/1994	21.72	21.72
16/09/1994	19.56	19.56
17/09/1994	22.44	22.44
18/09/1994	19.78	19.78
19/09/1994	20.22	20.22
20/09/1994	16.83	16.83
21/09/1994	20.78	20.78
22/09/1994	20.44	20.44
23/09/1994	20.22	20.22
24/09/1994	18.50	18.50
25/09/1994	20.72	20.72
26/09/1994	21.83	21.83
27/09/1994	21.72	21.72
28/09/1994	22.00	22.00
29/09/1994	20.00	20.00
30/09/1994	20.72	20.72
01/10/1994	20.78	20.78
02/10/1994	20.33	20.33
03/10/1994	19.56	19.56
04/10/1994	21.44	21.44
05/10/1994	21.28	21.28
06/10/1994	21.17	21.17
07/10/1994	18.83	18.83
08/10/1994	22.72	22.72
09/10/1994	22.83	22.83
10/10/1994	20.28	20.28
11/10/1994	19.67	19.67
12/10/1994	20.11	20.11
13/10/1994	20.78	20.78
14/10/1994	17.67	17.67
15/10/1994	17.39	17.39
16/10/1994	21.06	21.06
17/10/1994	22.00	22.00
18/10/1994	21.11	21.11
19/10/1994	19.22	19.22
20/10/1994	18.89	18.89
21/10/1994	18.56	18.56
22/10/1994	20.22	20.22
23/10/1994	21.11	21.11
24/10/1994	21.06	21.06
25/10/1994	20.67	20.67
26/10/1994	20.44	20.44
27/10/1994	19.78	19.78
28/10/1994	19.11	19.11
29/10/1994	20.94	20.94
30/10/1994	21.11	21.11
31/10/1994	20.00	20.00
01/11/1994	19.39	19.39
02/11/1994	18.67	18.67
03/11/1994	19.89	19.89
04/11/1994	18.78	18.78
05/11/1994	20.00	20.00
06/11/1994	18.44	18.44
07/11/1994	20.17	20.17
08/11/1994	19.33	19.33
09/11/1994	18.94	18.94
10/11/1994	18.83	18.83
11/11/1994	20.72	20.72
12/11/1994	22.22	22.22
13/11/1994	18.83	18.83
14/11/1994	19.56	19.56
15/11/1994	20.28	20.28
16/11/1994	20.56	20.56
17/11/1994	19.78	19.78
19/11/1994	22.28	22.28
20/11/1994	20.00	20.00
21/11/1994	18.61	18.61
22/11/1994	19.17	19.17
23/11/1994	18.83	18.83
24/11/1994	19.44	19.44
29/11/1994	19.94	19.94
30/11/1994	20.44	20.44
01/12/1994	19.33	19.33
02/12/1994	20.06	20.06
03/12/1994	19.72	19.72
04/12/1994	20.39	20.39
05/12/1994	18.17	18.17
06/12/1994	17.72	17.72
07/12/1994	19.72	19.72
08/12/1994	18.33	18.33
09/12/1994	18.67	18.67
10/12/1994	18.94	18.94
11/12/1994	19.56	19.56
12/12/1994	19.83	19.83
13/12/1994	20.11	20.11
14/12/1994	19.22	19.22
15/12/1994	19.72	19.72
16/12/1994	18.83	18.83
17/12/1994	20.67	20.67
18/12/1994	20.11	20.11
19/12/1994	20.06	20.06
20/12/1994	20.17	20.17
21/12/1994	19.33	19.33
22/12/1994	21.83	21.83
23/12/1994	21.28	21.28
24/12/1994	19.33	19.33
25/12/1994	20.94	20.94
26/12/1994	19.67	19.67
27/12/1994	19.67	19.67
28/12/1994	20.61	20.61
29/12/1994	20.11	20.11
30/12/1994	20.11	20.11
31/12/1994	21.72	21.72
01/01/1995	20.67	20.67
02/01/1995	22.94	22.94
03/01/1995	22.11	22.11
04/01/1995	22.78	22.78
05/01/1995	21.17	21.17
06/01/1995	20.67	20.67
07/01/1995	19.39	19.39
08/01/1995	21.22	21.22
09/01/1995	20.89	20.89
10/01/1995	21.83	21.83
11/01/1995	19.67	19.67
12/01/1995	20.83	20.83
13/01/1995	21.00	21.00
14/01/1995	21.39	21.39
16/01/1995	22.33	22.33
17/01/1995	21.44	21.44
18/01/1995	20.61	20.61
19/01/1995	21.83	21.83
20/01/1995	22.72	22.72
21/01/1995	22.56	22.56
22/01/1995	20.72	20.72
23/01/1995	19.17	19.17
24/01/1995	19.50	19.50
25/01/1995	20.78	20.78
26/01/1995	20.89	20.89
27/01/1995	21.44	21.44
28/01/1995	20.94	20.94
29/01/1995	23.39	23.39
30/01/1995	22.44	22.44
31/01/1995	19.83	19.83
01/02/1995	21.00	21.00
02/02/1995	21.17	21.17
03/02/1995	21.78	21.78
04/02/1995	21.06	21.06
05/02/1995	21.78	21.78
06/02/1995	22.39	22.39
07/02/1995	23.22	23.22
08/02/1995	22.67	22.67
09/02/1995	22.50	22.50
10/02/1995	19.78	19.78
11/02/1995	23.11	23.11
12/02/1995	20.33	20.33
13/02/1995	20.44	20.44
14/02/1995	21.94	21.94
15/02/1995	21.17	21.17
16/02/1995	21.50	21.50
17/02/1995	23.39	23.39
18/02/1995	21.78	21.78
19/02/1995	22.00	22.00
20/02/1995	21.78	21.78
21/02/1995	21.67	21.67
22/02/1995	20.89	20.89
23/02/1995	19.44	19.44
24/02/1995	21.28	21.28
25/02/1995	22.06	22.06
26/02/1995	23.39	23.39
27/02/1995	22.39	22.39
28/02/1995	22.83	22.83
01/03/1995	23.17	23.17
02/03/1995	22.89	22.89
03/03/1995	20.11	20.11
04/03/1995	22.00	22.00
05/03/1995	22.83	22.83
06/03/1995	24.39	24.39
07/03/1995	20.33	20.33
08/03/1995	20.44	20.44
09/03/1995	20.28	20.28
10/03/1995	21.44	21.44
11/03/1995	20.78	20.78
12/03/1995	20.83	20.83
13/03/1995	21.67	21.67
14/03/1995	20.56	20.56
15/03/1995	20.50	20.50
16/03/1995	20.83	20.83
17/03/1995	19.50	19.50
18/03/1995	20.44	20.44
19/03/1995	21.50	21.50
20/03/1995	21.28	21.28
21/03/1995	22.56	22.56
22/03/1995	18.94	18.94
23/03/1995	19.33	19.33
24/03/1995	18.44	18.44
26/03/1995	21.28	21.28
27/03/1995	23.00	23.00
28/03/1995	20.50	20.50
29/03/1995	21.94	21.94
30/03/1995	22.28	22.28
31/03/1995	21.39	21.39
01/04/1995	20.94	20.94
02/04/1995	20.67	20.67
03/04/1995	22.67	22.67
04/04/1995	22.89	22.89
05/04/1995	23.17	23.17
06/04/1995	22.39	22.39
07/04/1995	23.39	23.39
08/04/1995	21.39	21.39
09/04/1995	22.33	22.33
10/04/1995	20.00	20.00
11/04/1995	19.39	19.39
12/04/1995	19.17	19.17
13/04/1995	19.22	19.22
14/04/1995	23.28	23.28
15/04/1995	20.94	20.94
16/04/1995	19.56	19.56
17/04/1995	21.11	21.11
18/04/1995	20.89	20.89
19/04/1995	21.44	21.44
20/04/1995	19.89	19.89
21/04/1995	19.72	19.72
22/04/1995	20.72	20.72
23/04/1995	21.56	21.56
24/04/1995	21.72	21.72
25/04/1995	21.56	21.56
26/04/1995	21.72	21.72
27/04/1995	20.17	20.17
28/04/1995	21.89	21.89
29/04/1995	22.06	22.06
30/04/1995	19.44	19.44
01/05/1995	21.11	21.11
02/05/1995	20.33	20.33
03/05/1995	20.61	20.61
04/05/1995	19.56	19.56
05/05/1995	20.17	20.17
06/05/1995	20.72	20.72
07/05/1995	20.56	20.56
08/05/1995	20.67	20.67
09/05/1995	20.50	20.50
10/05/1995	21.06	21.06
11/05/1995	20.33	20.33
12/05/1995	19.56	19.56
13/05/1995	22.06	22.06
14/05/1995	21.00	21.00
15/05/1995	21.22	21.22
16/05/1995	19.06	19.06
17/05/1995	18.72	18.72
18/05/1995	18.33	18.33
19/05/1995	20.33	20.33
20/05/1995	20.44	20.44
21/05/1995	19.94	19.94
22/05/1995	19.94	19.94
23/05/1995	19.50	19.50
24/05/1995	20.83	20.83
25/05/1995	20.22	20.22
26/05/1995	19.22	19.22
27/05/1995	20.78	20.78
28/05/1995	20.17	20.17
29/05/1995	20.33	20.33
30/05/1995	18.83	18.83
31/05/1995	20.17	20.17
01/06/1995	17.72	17.72
02/06/1995	20.28	20.28
03/06/1995	19.39	19.39
04/06/1995	19.33	19.33
05/06/1995	18.50	18.50
06/06/1995	19.50	19.50
07/06/1995	20.17	20.17
08/06/1995	20.89	20.89
09/06/1995	19.39	19.39
10/06/1995	17.67	17.67
11/06/1995	21.56	21.56
12/06/1995	18.28	18.28
13/06/1995	17.67	17.67
14/06/1995	19.39	19.39
15/06/1995	19.33	19.33
16/06/1995	18.61	18.61
17/06/1995	19.06	19.06
18/06/1995	20.28	20.28
19/06/1995	19.56	19.56
20/06/1995	19.78	19.78
21/06/1995	19.78	19.78
22/06/1995	18.39	18.39
23/06/1995	19.89	19.89
24/06/1995	19.61	19.61
25/06/1995	18.94	18.94
26/06/1995	19.78	19.78
27/06/1995	17.33	17.33
28/06/1995	19.00	19.00
29/06/1995	20.67	20.67
30/06/1995	18.33	18.33
01/07/1995	19.83	19.83
02/07/1995	20.67	20.67
03/07/1995	20.67	20.67
04/07/1995	20.94	20.94
06/07/1995	20.17	20.17
07/07/1995	17.28	17.28
08/07/1995	20.17	20.17
09/07/1995	17.78	17.78
10/07/1995	20.56	20.56
11/07/1995	19.50	19.50
12/07/1995	18.67	18.67
13/07/1995	19.39	19.39
14/07/1995	19.44	19.44
15/07/1995	19.78	19.78
16/07/1995	19.00	19.00
17/07/1995	17.83	17.83
18/07/1995	19.22	19.22
19/07/1995	18.67	18.67
20/07/1995	21.22	21.22
21/07/1995	19.28	19.28
22/07/1995	18.72	18.72
23/07/1995	20.78	20.78
24/07/1995	18.56	18.56
25/07/1995	18.72	18.72
26/07/1995	19.06	19.06
27/07/1995	17.17	17.17
28/07/1995	18.67	18.67
29/07/1995	19.11	19.11
30/07/1995	17.67	17.67
31/07/1995	18.67	18.67
01/08/1995	16.11	16.11
02/08/1995	20.61	20.61
03/08/1995	19.83	19.83
04/08/1995	15.67	15.67
05/08/1995	18.44	18.44
07/08/1995	19.39	19.39
08/08/1995	18.89	18.89
09/08/1995	16.56	16.56
10/08/1995	17.94	17.94
11/08/1995	18.22	18.22
12/08/1995	17.39	17.39
13/08/1995	19.89	19.89
14/08/1995	17.06	17.06
15/08/1995	17.22	17.22
16/08/1995	19.17	19.17
17/08/1995	18.72	18.72
18/08/1995	15.56	15.56
19/08/1995	20.28	20.28
20/08/1995	18.06	18.06
21/08/1995	16.28	16.28
22/08/1995	20.72	20.72
23/08/1995	15.61	15.61
24/08/1995	20.67	20.67
25/08/1995	18.56	18.56
26/08/1995	18.94	18.94
27/08/1995	18.28	18.28
28/08/1995	19.17	19.17
29/08/1995	19.28	19.28
30/08/1995	19.11	19.11
31/08/1995	18.06	18.06
01/09/1995	18.89	18.89
02/09/1995	19.89	19.89
03/09/1995	20.22	20.22
04/09/1995	19.78	19.78
05/09/1995	18.22	18.22
06/09/1995	19.17	19.17
07/09/1995	19.11	19.11
08/09/1995	18.33	18.33
09/09/1995	19.22	19.22
10/09/1995	18.33	18.33
11/09/1995	20.39	20.39
12/09/1995	20.00	20.00
13/09/1995	17.33	17.33
14/09/1995	17.28	17.28
15/09/1995	18.11	18.11
16/09/1995	20.39	20.39
18/09/1995	22.39	22.39
19/09/1995	24.72	24.72
20/09/1995	19.83	19.83
21/09/1995	20.17	20.17
22/09/1995	20.50	20.50
23/09/1995	20.00	20.00
24/09/1995	18.28	18.28
25/09/1995	20.22	20.22
26/09/1995	21.11	21.11
27/09/1995	20.83	20.83
28/09/1995	20.72	20.72
29/09/1995	19.28	19.28
30/09/1995	19.72	19.72
01/10/1995	18.94	18.94
02/10/1995	18.56	18.56
03/10/1995	20.94	20.94
04/10/1995	22.28	22.28
05/10/1995	21.33	21.33
06/10/1995	19.33	19.33
07/10/1995	19.83	19.83
08/10/1995	19.61	19.61
09/10/1995	19.78	19.78
10/10/1995	19.06	19.06
11/10/1995	20.06	20.06
12/10/1995	20.61	20.61
13/10/1995	19.50	19.50
14/10/1995	19.28	19.28
17/10/1995	21.39	21.39
18/10/1995	21.89	21.89
19/10/1995	21.94	21.94
20/10/1995	19.89	19.89
21/10/1995	21.94	21.94
22/10/1995	17.94	17.94
23/10/1995	18.00	18.00
24/10/1995	15.28	15.28
25/10/1995	17.39	17.39
26/10/1995	20.22	20.22
27/10/1995	24.83	24.83
28/10/1995	15.11	15.11
30/10/1995	22.00	22.00
31/10/1995	20.11	20.11
01/11/1995	19.61	19.61
02/11/1995	19.56	19.56
03/11/1995	16.83	16.83
04/11/1995	20.11	20.11
05/11/1995	22.89	22.89
06/11/1995	17.67	17.67
07/11/1995	22.00	22.00
08/11/1995	22.78	22.78
09/11/1995	21.00	21.00
10/11/1995	21.44	21.44
11/11/1995	19.94	19.94
12/11/1995	18.72	18.72
13/11/1995	18.56	18.56
14/11/1995	19.44	19.44
15/11/1995	19.22	19.22
16/11/1995	19.56	19.56
17/11/1995	20.61	20.61
18/11/1995	20.44	20.44
19/11/1995	19.72	19.72
21/11/1995	18.83	18.83
22/11/1995	18.94	18.94
23/11/1995	19.89	19.89
24/11/1995	20.17	20.17
25/11/1995	20.39	20.39
26/11/1995	21.06	21.06
27/11/1995	20.67	20.67
28/11/1995	20.00	20.00
29/11/1995	18.89	18.89
30/11/1995	19.50	19.50
01/12/1995	19.67	19.67
02/12/1995	19.28	19.28
03/12/1995	19.22	19.22
04/12/1995	18.89	18.89
05/12/1995	19.00	19.00
06/12/1995	19.67	19.67
07/12/1995	19.06	19.06
08/12/1995	18.72	18.72
09/12/1995	18.00	18.00
10/12/1995	18.67	18.67
11/12/1995	18.11	18.11
12/12/1995	18.06	18.06
13/12/1995	18.72	18.72
14/12/1995	19.28	19.28
15/12/1995	20.00	20.00
16/12/1995	19.50	19.50
17/12/1995	19.72	19.72
18/12/1995	18.33	18.33
19/12/1995	19.72	19.72
20/12/1995	20.72	20.72
21/12/1995	21.28	21.28
22/12/1995	22.00	22.00
23/12/1995	20.17	20.17
24/12/1995	20.50	20.50
25/12/1995	21.11	21.11
26/12/1995	19.94	19.94
27/12/1995	19.67	19.67
28/12/1995	20.39	20.39
29/12/1995	19.72	19.72
30/12/1995	21.72	21.72
31/12/1995	22.50	22.50
01/01/1996	20.50	20.50
02/01/1996	21.44	21.44
03/01/1996	22.28	22.28
04/01/1996	23.72	23.72
05/01/1996	21.39	21.39
06/01/1996	20.11	20.11
07/01/1996	19.94	19.94
08/01/1996	22.17	22.17
09/01/1996	19.17	19.17
10/01/1996	22.72	22.72
11/01/1996	21.56	21.56
12/01/1996	21.61	21.61
13/01/1996	22.00	22.00
14/01/1996	20.11	20.11
15/01/1996	21.39	21.39
16/01/1996	19.67	19.67
17/01/1996	20.50	20.50
18/01/1996	18.44	18.44
19/01/1996	19.44	19.44
20/01/1996	20.28	20.28
21/01/1996	19.94	19.94
22/01/1996	19.06	19.06
23/01/1996	19.28	19.28
24/01/1996	20.67	20.67
25/01/1996	19.78	19.78
26/01/1996	22.56	22.56
27/01/1996	20.11	20.11
28/01/1996	20.94	20.94
29/01/1996	19.67	19.67
30/01/1996	24.00	24.00
31/01/1996	20.28	20.28
01/02/1996	22.33	22.33
02/02/1996	21.06	21.06
03/02/1996	23.50	23.50
04/02/1996	22.89	22.89
05/02/1996	21.89	21.89
06/02/1996	21.67	21.67
07/02/1996	19.33	19.33
09/02/1996	22.00	22.00
12/02/1996	19.17	19.17
13/02/1996	21.83	21.83
14/02/1996	22.67	22.67
15/02/1996	21.11	21.11
16/02/1996	21.89	21.89
17/02/1996	21.00	21.00
18/02/1996	19.83	19.83
19/02/1996	23.11	23.11
20/02/1996	22.67	22.67
21/02/1996	21.67	21.67
22/02/1996	19.83	19.83
23/02/1996	22.89	22.89
24/02/1996	22.44	22.44
25/02/1996	19.83	19.83
26/02/1996	21.28	21.28
27/02/1996	18.67	18.67
28/02/1996	19.00	19.00
29/02/1996	21.44	21.44
02/03/1996	21.56	21.56
03/03/1996	20.61	20.61
07/03/1996	23.22	23.22
08/03/1996	20.06	20.06
13/03/1996	18.89	18.89
14/03/1996	18.72	18.72
18/03/1996	19.28	19.28
19/03/1996	20.72	20.72
20/03/1996	19.67	19.67
21/03/1996	20.39	20.39
22/03/1996	20.56	20.56
23/03/1996	18.78	18.78
25/03/1996	25.11	25.11
26/03/1996	18.72	18.72
27/03/1996	18.06	18.06
28/03/1996	22.78	22.78
29/03/1996	19.67	19.67
03/04/1996	19.33	19.33
09/04/1996	20.94	20.94
11/04/1996	21.56	21.56
12/04/1996	20.61	20.61
13/04/1996	27.72	27.72
14/04/1996	24.22	24.22
15/04/1996	21.22	21.22
16/04/1996	18.56	18.56
17/04/1996	19.22	19.22
18/04/1996	19.11	19.11
20/04/1996	20.39	20.39
21/04/1996	20.83	20.83
22/04/1996	19.44	19.44
24/04/1996	21.44	21.44
26/04/1996	22.33	22.33
28/04/1996	23.17	23.17
29/04/1996	24.22	24.22
01/05/1996	24.56	24.56
02/05/1996	21.33	21.33
03/05/1996	21.50	21.50
04/05/1996	24.56	24.56
05/05/1996	19.22	19.22
07/05/1996	22.83	22.83
08/05/1996	18.72	18.72
10/05/1996	23.06	23.06
12/05/1996	20.11	20.11
14/05/1996	24.61	24.61
15/05/1996	21.00	21.00
16/05/1996	18.67	18.67
17/05/1996	18.78	18.78
19/05/1996	21.83	21.83
20/05/1996	17.94	17.94
22/05/1996	23.00	23.00
23/05/1996	18.78	18.78
24/05/1996	21.39	21.39
27/05/1996	20.83	20.83
29/05/1996	17.67	17.67
30/05/1996	16.78	16.78
31/05/1996	20.56	20.56
03/06/1996	19.33	19.33
04/06/1996	18.06	18.06
05/06/1996	18.89	18.89
06/06/1996	17.78	17.78
07/06/1996	18.83	18.83
10/06/1996	18.72	18.72
11/06/1996	18.67	18.67
12/06/1996	19.94	19.94
13/06/1996	21.28	21.28
14/06/1996	19.61	19.61
15/06/1996	18.33	18.33
16/06/1996	16.44	16.44
17/06/1996	18.56	18.56
18/06/1996	17.44	17.44
19/06/1996	18.78	18.78
20/06/1996	17.50	17.50
21/06/1996	21.56	21.56
22/06/1996	19.56	19.56
23/06/1996	18.56	18.56
24/06/1996	18.39	18.39
25/06/1996	19.44	19.44
26/06/1996	16.56	16.56
28/06/1996	18.94	18.94
29/06/1996	20.22	20.22
30/06/1996	15.56	15.56
02/07/1996	16.22	16.22
03/07/1996	16.72	16.72
04/07/1996	16.39	16.39
05/07/1996	16.83	16.83
06/07/1996	16.61	16.61
07/07/1996	16.61	16.61
08/07/1996	16.44	16.44
09/07/1996	16.39	16.39
10/07/1996	16.94	16.94
11/07/1996	16.39	16.39
12/07/1996	15.89	15.89
13/07/1996	15.33	15.33
14/07/1996	15.50	15.50
