Date	Rainfall
04/01/1994	0.28
13/01/1994	0
14/03/1994	0.01
19/03/1994	1.06
27/03/1994	0.83
31/03/1994	0
14/04/1994	0
17/04/1994	0
19/04/1994	0.02
22/04/1994	0.02
25/04/1994	0.2
26/04/1994	1.02
05/05/1994	0
10/05/1994	0
17/05/1994	0.02
23/05/1994	0
24/05/1994	0
31/05/1994	0
01/06/1994	0
03/06/1994	0
07/06/1994	0
16/06/1994	0
22/06/1994	0.12
26/06/1994	0
29/06/1994	0
30/06/1994	0
02/07/1994	0.39
09/07/1994	0
14/07/1994	0
15/07/1994	0
17/07/1994	0
04/08/1994	0
06/08/1994	0
07/08/1994	0
08/08/1994	0
12/08/1994	0
18/08/1994	0
19/08/1994	0.08
20/08/1994	0
22/08/1994	0
23/08/1994	0
24/08/1994	0
25/08/1994	0
02/09/1994	0
26/09/1994	0
02/10/1994	0
14/10/1994	1.02
20/10/1994	0
26/10/1994	0
28/10/1994	0
01/11/1994	0.02
05/11/1994	0.16
11/11/1994	0.08
18/11/1994	0.24
29/11/1994	0.12
08/12/1994	0
10/12/1994	0.51
13/12/1994	0.12
27/12/1994	0
06/01/1995	0
11/01/1995	0
15/01/1995	0
21/01/1995	0
23/01/1995	0
24/01/1995	0
28/01/1995	0
30/01/1995	0
06/02/1995	0
07/02/1995	0
11/02/1995	0
19/02/1995	0.08
20/02/1995	0
24/02/1995	0
11/03/1995	0.98
26/03/1995	0
29/03/1995	0
03/04/1995	0.24
05/04/1995	0
06/04/1995	0.51
11/04/1995	0
12/04/1995	1.18
17/04/1995	0
18/04/1995	0
20/04/1995	0
21/04/1995	0.67
25/04/1995	0.31
27/04/1995	0.04
28/04/1995	0.12
30/04/1995	1.61
01/05/1995	0.12
02/05/1995	0.67
03/05/1995	0.16
04/05/1995	0.12
06/05/1995	0
09/05/1995	0
12/05/1995	0
13/05/1995	0
14/05/1995	0
15/05/1995	0
16/05/1995	1.38
18/05/1995	0.31
19/05/1995	0.02
24/05/1995	0
30/05/1995	0.08
03/06/1995	0
04/06/1995	0
05/06/1995	0
07/06/1995	0
08/06/1995	0
11/06/1995	0
12/06/1995	0
14/06/1995	0
15/06/1995	0
16/06/1995	0
18/06/1995	0
19/06/1995	0
21/06/1995	0
23/06/1995	0
24/06/1995	0
25/06/1995	0
28/06/1995	0.51
29/06/1995	1.1
30/06/1995	0.47
03/07/1995	0
04/07/1995	0
05/07/1995	0
06/07/1995	0
09/07/1995	0
10/07/1995	0
12/07/1995	0
13/07/1995	0
15/07/1995	0
16/07/1995	0
18/07/1995	0
21/07/1995	0
23/07/1995	0
24/07/1995	0
26/07/1995	0
27/07/1995	0
29/07/1995	0
30/07/1995	0
01/08/1995	0
03/08/1995	0
04/08/1995	0
05/08/1995	0
06/08/1995	0
07/08/1995	0
08/08/1995	0
09/08/1995	0
11/08/1995	0
12/08/1995	0
15/08/1995	0
16/08/1995	0
17/08/1995	0
18/08/1995	0.04
21/08/1995	0.04
22/08/1995	0
23/08/1995	0
27/08/1995	0
28/08/1995	0
30/08/1995	0
31/08/1995	0
01/09/1995	0
05/09/1995	0.79
07/09/1995	0
10/09/1995	0.08
13/09/1995	0
21/09/1995	0
22/09/1995	0
23/09/1995	0
25/09/1995	0
28/09/1995	0
12/10/1995	0
25/10/1995	0.12
28/10/1995	0
05/11/1995	0
07/11/1995	0.28
08/11/1995	0.79
09/11/1995	0
14/11/1995	0.04
15/11/1995	0.16
17/11/1995	0
18/11/1995	0
19/11/1995	0
22/11/1995	0.16
26/11/1995	0
29/11/1995	0.16
30/11/1995	0.02
02/12/1995	0.43
03/12/1995	0
04/12/1995	0
05/12/1995	0
06/12/1995	0
08/12/1995	0
10/12/1995	0
14/12/1995	0
16/12/1995	0
27/12/1995	0.12
29/12/1995	0.02
02/01/1996	0
05/01/1996	0
06/01/1996	0.2
08/01/1996	0.04
15/01/1996	0.55
02/02/1996	0
05/02/1996	0.02
07/02/1996	0
10/02/1996	0
11/02/1996	0
16/02/1996	0
19/02/1996	0.02
20/02/1996	0
22/02/1996	0.59
02/03/1996	0
04/03/1996	0
08/03/1996	0
09/03/1996	0
14/03/1996	0
15/03/1996	0.08
20/03/1996	1.13
21/03/1996	0.51
23/03/1996	0.08
27/03/1996	0.24
28/03/1996	0
31/03/1996	0
01/04/1996	0.08
11/04/1996	0
14/04/1996	0.08
16/04/1996	0.35
17/04/1996	0
18/04/1996	0
19/04/1996	0.04
23/04/1996	0
25/04/1996	0
27/04/1996	0
02/05/1996	1.1
04/05/1996	0
05/05/1996	0.16
07/05/1996	0
14/05/1996	0.04
15/05/1996	0.24
17/05/1996	0
19/05/1996	0
20/05/1996	0.08
21/05/1996	0.12
24/05/1996	0
02/06/1996	0
15/06/1996	0
17/06/1996	0
22/06/1996	0
24/06/1996	0
27/06/1996	0
28/06/1996	0.16
29/06/1996	0.04
03/07/1996	0
04/07/1996	0
06/07/1996	0
08/07/1996	0
11/07/1996	0
12/07/1996	0.59
13/07/1996	0
14/07/1996	0
16/07/1996	0
17/07/1996	0
18/07/1996	0
19/07/1996	0
20/07/1996	0
22/07/1996	0
23/07/1996	0
24/07/1996	0
26/07/1996	0
27/07/1996	0
29/07/1996	0
30/07/1996	0
01/08/1996	0
05/08/1996	0
06/08/1996	0
11/08/1996	0
12/08/1996	0
14/08/1996	0
16/08/1996	0
18/08/1996	0
19/08/1996	0
20/08/1996	0
23/08/1996	0
24/08/1996	0
25/08/1996	0
26/08/1996	0
27/08/1996	0
28/08/1996	0
30/08/1996	0
02/09/1996	1.18
06/09/1996	0
10/09/1996	0
11/09/1996	0
12/09/1996	0.04
14/09/1996	0
18/09/1996	0.04
20/09/1996	0
24/09/1996	0
25/09/1996	0
27/09/1996	0
28/09/1996	0
07/10/1996	0.16
08/10/1996	0
12/10/1996	0
13/10/1996	0.02
23/10/1996	0
25/10/1996	0
04/11/1996	0
08/11/1996	0.16
10/11/1996	0
12/11/1996	0
15/11/1996	0
17/11/1996	0
18/11/1996	0
19/11/1996	0
25/11/1996	0.75
05/12/1996	0.08
08/12/1996	0
11/12/1996	0
14/12/1996	0
26/12/1996	0
27/12/1996	0
29/12/1996	0
31/12/1996	0
02/01/1997	0.08
03/01/1997	0
08/01/1997	0
09/01/1997	0
10/01/1997	0
12/01/1997	0
14/01/1997	0
15/01/1997	0
16/01/1997	0
17/01/1997	0.63
18/01/1997	0.04
19/01/1997	0
20/01/1997	0
21/01/1997	0
22/01/1997	0.2
23/01/1997	0
24/01/1997	0
25/01/1997	0
26/01/1997	0
27/01/1997	0.02
28/01/1997	0
29/01/1997	0
30/01/1997	0
31/01/1997	0
01/02/1997	0
03/02/1997	0
04/02/1997	0
05/02/1997	0
06/02/1997	0
07/02/1997	0
08/02/1997	0
09/02/1997	0
12/02/1997	0.71
15/02/1997	0.2
20/02/1997	0
21/02/1997	0.04
23/02/1997	0
24/02/1997	0
25/02/1997	0.08
27/02/1997	0
03/03/1997	0
