Date	Rainfall
1/1/1995	4.064
2/1/1995	0.508
3/1/1995	17.018
4/1/1995	0
5/1/1995	0
6/1/1995	1.016
7/1/1995	0
8/1/1995	0
9/1/1995	0
10/1/1995	0
11/1/1995	0
12/1/1995	0
13/01/1995	0
14/01/1995	0
15/01/1995	1.016
16/01/1995	0
17/01/1995	0
18/01/1995	0
20/01/1995	0
21/01/1995	0
22/01/1995	0
23/01/1995	0
25/01/1995	9.906
26/01/1995	2.032
27/01/1995	5.08
28/01/1995	0
29/01/1995	4.064
30/01/1995	5.08
31/01/1995	0
1/2/1995	0
2/2/1995	0
3/2/1995	0
4/2/1995	0
5/2/1995	0
6/2/1995	0
7/2/1995	0
8/2/1995	0.508
9/2/1995	7.874
10/2/1995	2.032
11/2/1995	11.938
12/2/1995	0.508
13/02/1995	13.97
15/02/1995	2.032
16/02/1995	4.064
17/02/1995	2.032
18/02/1995	0
19/02/1995	10.922
20/02/1995	0
21/02/1995	0
22/02/1995	0
23/02/1995	0
24/02/1995	0
25/02/1995	0
26/02/1995	0
27/02/1995	0
28/02/1995	0
1/3/1995	0
2/3/1995	5.08
3/3/1995	7.112
4/3/1995	36.068
5/3/1995	5.08
6/3/1995	0
8/3/1995	12.954
9/3/1995	2.032
10/3/1995	22.098
11/3/1995	2.032
13/03/1995	3.048
14/03/1995	38.1
15/03/1995	2.032
16/03/1995	0
17/03/1995	0
18/03/1995	0
19/03/1995	0
20/03/1995	0
22/03/1995	3.048
23/03/1995	0
24/03/1995	0
25/03/1995	0
26/03/1995	0
27/03/1995	0
30/03/1995	1.016
31/03/1995	3.048
1/4/1995	0
2/4/1995	0
3/4/1995	0
4/4/1995	11.938
5/4/1995	4.064
6/4/1995	1.016
7/4/1995	0
9/4/1995	2.032
10/4/1995	0
11/4/1995	4.064
12/4/1995	3.048
13/04/1995	0.508
14/04/1995	0
15/04/1995	0
16/04/1995	0
17/04/1995	0
18/04/1995	0
19/04/1995	0
20/04/1995	0
21/04/1995	0
22/04/1995	0
23/04/1995	0
24/04/1995	0
26/04/1995	0
27/04/1995	0
28/04/1995	1.016
29/04/1995	5.08
30/04/1995	10.922
1/5/1995	19.05
2/5/1995	18.034
3/5/1995	0
4/5/1995	0
5/5/1995	0.508
6/5/1995	23.876
7/5/1995	5.08
8/5/1995	0
9/5/1995	1.016
10/5/1995	57.658
11/5/1995	81.026
12/5/1995	4.064
13/05/1995	0
14/05/1995	0
15/05/1995	0
16/05/1995	3.048
17/05/1995	1.016
18/05/1995	0.254
19/05/1995	2.032
20/05/1995	9.906
21/05/1995	0
22/05/1995	0
23/05/1995	0
24/05/1995	0
25/05/1995	0
26/05/1995	0
27/05/1995	0
28/05/1995	0
29/05/1995	0
30/05/1995	0.508
31/05/1995	0
1/6/1995	0.508
2/6/1995	0
3/6/1995	6.096
4/6/1995	0
5/6/1995	0
6/6/1995	0
7/6/1995	0
8/6/1995	0
9/6/1995	0
10/6/1995	0
11/6/1995	0
12/6/1995	0
13/06/1995	0
14/06/1995	0
15/06/1995	0
16/06/1995	0
17/06/1995	14.986
18/06/1995	0
19/06/1995	0
20/06/1995	0
21/06/1995	2.032
22/06/1995	0
23/06/1995	0
24/06/1995	0
25/06/1995	0
27/06/1995	0
28/06/1995	6.096
29/06/1995	4.064
30/06/1995	0.508
2/7/1995	4.064
4/7/1995	0
5/7/1995	0
6/7/1995	0
8/7/1995	0
9/7/1995	0
11/7/1995	2.032
12/7/1995	0
13/07/1995	0
14/07/1995	0
15/07/1995	0
16/07/1995	0
17/07/1995	0
18/07/1995	0
19/07/1995	0
20/07/1995	0
21/07/1995	0
22/07/1995	0
23/07/1995	0
24/07/1995	0
25/07/1995	0
26/07/1995	0
27/07/1995	0
28/07/1995	0
29/07/1995	0
30/07/1995	0
31/07/1995	0
1/8/1995	0
2/8/1995	0
3/8/1995	0
4/8/1995	0
6/8/1995	0
7/8/1995	0
8/8/1995	0
9/8/1995	0
10/8/1995	0
11/8/1995	4.064
12/8/1995	18.034
13/08/1995	0
14/08/1995	0
15/08/1995	0
16/08/1995	0
17/08/1995	0
18/08/1995	0
19/08/1995	0
20/08/1995	0
21/08/1995	3.048
22/08/1995	0
23/08/1995	0
24/08/1995	0
25/08/1995	0
26/08/1995	0
27/08/1995	0
28/08/1995	0
29/08/1995	0
30/08/1995	0
31/08/1995	0
1/9/1995	0
2/9/1995	0
4/9/1995	0
5/9/1995	0
6/9/1995	32.004
7/9/1995	0
8/9/1995	0
9/9/1995	0
10/9/1995	0
11/9/1995	0
12/9/1995	0
13/09/1995	2.032
14/09/1995	0
15/09/1995	0
16/09/1995	0
17/09/1995	0
18/09/1995	0
20/09/1995	2.032
21/09/1995	0
22/09/1995	0
23/09/1995	0
24/09/1995	0
25/09/1995	9.906
26/09/1995	1.016
27/09/1995	0
28/09/1995	0
29/09/1995	0
30/09/1995	12.954
1/10/1995	0
2/10/1995	4.064
4/10/1995	0.508
5/10/1995	0
6/10/1995	2.032
7/10/1995	0
8/10/1995	0
9/10/1995	0
10/10/1995	0
11/10/1995	0
12/10/1995	0
13/10/1995	0
14/10/1995	0
15/10/1995	0
18/10/1995	0
19/10/1995	0
20/10/1995	1.016
21/10/1995	0
22/10/1995	0
23/10/1995	0
24/10/1995	0
25/10/1995	3.048
26/10/1995	1.016
27/10/1995	8.89
28/10/1995	0
29/10/1995	0
30/10/1995	0.508
31/10/1995	2.032
1/11/1995	1.016
2/11/1995	0
3/11/1995	0
4/11/1995	0
5/11/1995	0
6/11/1995	0
7/11/1995	0
8/11/1995	0
9/11/1995	0
10/11/1995	0
11/11/1995	0
12/11/1995	2.032
13/11/1995	0
14/11/1995	4.064
15/11/1995	0
16/11/1995	0
17/11/1995	4.064
18/11/1995	0
19/11/1995	0
20/11/1995	0
21/11/1995	7.112
22/11/1995	0
23/11/1995	21.082
24/11/1995	0
25/11/1995	0
26/11/1995	0
28/11/1995	0
30/11/1995	0
1/12/1995	0
2/12/1995	0
3/12/1995	0
4/12/1995	0
5/12/1995	0
6/12/1995	0
7/12/1995	0
8/12/1995	4.064
9/12/1995	0
10/12/1995	0
11/12/1995	0
12/12/1995	0.254
13/12/1995	0
14/12/1995	0
15/12/1995	0
16/12/1995	0
17/12/1995	0
18/12/1995	0.508
19/12/1995	0
20/12/1995	0
21/12/1995	0
22/12/1995	0
23/12/1995	7.112
24/12/1995	2.032
25/12/1995	0
26/12/1995	1.016
27/12/1995	11.938
29/12/1995	4.064
30/12/1995	0
31/12/1995	0
1/1/1996	4.064
3/1/1996	0.508
4/1/1996	17.018
7/1/1996	0
8/1/1996	0
9/1/1996	1.016
11/1/1996	0
12/1/1996	0
14/01/1996	0
15/01/1996	0
17/01/1996	0
18/01/1996	0
19/01/1996	0
20/01/1996	0
22/01/1996	1.016
23/01/1996	0
24/01/1996	0
25/01/1996	0
26/01/1996	0
28/01/1996	0
29/01/1996	0
30/01/1996	0
1/2/1996	9.906
2/2/1996	2.032
3/2/1996	5.08
4/2/1996	0
5/2/1996	4.064
6/2/1996	5.08
7/2/1996	0
8/2/1996	0
9/2/1996	0
10/2/1996	0
11/2/1996	0
13/02/1996	0
14/02/1996	0
15/02/1996	0
16/02/1996	0.508
17/02/1996	7.874
18/02/1996	2.032
19/02/1996	11.938
20/02/1996	0.508
21/02/1996	13.97
22/02/1996	2.032
23/02/1996	4.064
24/02/1996	2.032
25/02/1996	0
26/02/1996	10.922
27/02/1996	0
28/02/1996	0
29/02/1996	0
1/3/1996	0
3/3/1996	0
4/3/1996	0
5/3/1996	0
6/3/1996	0
7/3/1996	0
8/3/1996	0
9/3/1996	5.08
13/03/1996	7.112
15/03/1996	36.068
16/03/1996	5.08
17/03/1996	0
18/03/1996	12.954
19/03/1996	2.032
20/03/1996	22.098
21/03/1996	2.032
22/03/1996	3.048
23/03/1996	38.1
24/03/1996	2.032
26/03/1996	0
27/03/1996	0
28/03/1996	0
29/03/1996	0
30/03/1996	0
31/03/1996	3.048
1/4/1996	0
2/4/1996	0
3/4/1996	0
4/4/1996	0
5/4/1996	0
6/4/1996	1.016
7/4/1996	3.048
8/4/1996	0
9/4/1996	0
10/4/1996	0
12/4/1996	11.938
13/04/1996	4.064
14/04/1996	1.016
15/04/1996	0
16/04/1996	2.032
17/04/1996	0
18/04/1996	4.064
19/04/1996	3.048
20/04/1996	0.508
21/04/1996	0
22/04/1996	0
23/04/1996	0
24/04/1996	0
25/04/1996	0
26/04/1996	0
27/04/1996	0
28/04/1996	0
29/04/1996	0
1/5/1996	0
2/5/1996	0
4/5/1996	0
5/5/1996	0
6/5/1996	1.016
7/5/1996	5.08
8/5/1996	10.922
10/5/1996	19.05
11/5/1996	18.034
13/05/1996	0
15/05/1996	0
16/05/1996	0.508
17/05/1996	23.876
18/05/1996	5.08
19/05/1996	0
20/05/1996	1.016
21/05/1996	57.658
22/05/1996	81.026
23/05/1996	4.064
24/05/1996	0
25/05/1996	0
26/05/1996	0
27/05/1996	3.048
28/05/1996	1.016
29/05/1996	0.254
30/05/1996	2.032
31/05/1996	9.906
1/6/1996	0
3/6/1996	0
4/6/1996	0
5/6/1996	0
6/6/1996	0
7/6/1996	0
8/6/1996	0
10/6/1996	0
11/6/1996	0
12/6/1996	0.508
15/06/1996	0
16/06/1996	0.508
17/06/1996	0
18/06/1996	6.096
19/06/1996	0
20/06/1996	0
21/06/1996	0
22/06/1996	0
24/06/1996	0
25/06/1996	0
26/06/1996	0
27/06/1996	0
30/06/1996	0
1/7/1996	0
2/7/1996	0
3/7/1996	0
4/7/1996	0
5/7/1996	14.986
6/7/1996	0
8/7/1996	0
9/7/1996	0
10/7/1996	2.032
13/07/1996	0
14/07/1996	0
15/07/1996	0
16/07/1996	0
17/07/1996	0
18/07/1996	6.096
19/07/1996	4.064
20/07/1996	0.508
21/07/1996	4.064
22/07/1996	0
23/07/1996	0
24/07/1996	0
25/07/1996	0
26/07/1996	0
27/07/1996	2.032
28/07/1996	0
29/07/1996	0
30/07/1996	0
31/07/1996	0
2/8/1996	0
3/8/1996	0
4/8/1996	0
5/8/1996	0
6/8/1996	0
7/8/1996	0
8/8/1996	0
9/8/1996	0
10/8/1996	0
12/8/1996	0
14/08/1996	0
15/08/1996	0
17/08/1996	0
18/08/1996	0
20/08/1996	0
21/08/1996	0
22/08/1996	0
24/08/1996	0
26/08/1996	0
27/08/1996	0
28/08/1996	0
29/08/1996	0
30/08/1996	0
31/08/1996	0
1/9/1996	0
3/9/1996	4.064
4/9/1996	18.034
5/9/1996	0
6/9/1996	0
7/9/1996	0
8/9/1996	0
9/9/1996	0
10/9/1996	0
11/9/1996	0
12/9/1996	0
13/09/1996	3.048
15/09/1996	0
16/09/1996	0
17/09/1996	0
18/09/1996	0
19/09/1996	0
20/09/1996	0
21/09/1996	0
22/09/1996	0
23/09/1996	0
24/09/1996	0
25/09/1996	0
26/09/1996	0
27/09/1996	0
28/09/1996	0
29/09/1996	32.004
1/10/1996	0
2/10/1996	0
3/10/1996	0
5/10/1996	0
6/10/1996	0
7/10/1996	0
8/10/1996	2.032
9/10/1996	0
10/10/1996	0
11/10/1996	0
12/10/1996	0
13/10/1996	0
14/10/1996	2.032
15/10/1996	0
16/10/1996	0
17/10/1996	0
19/10/1996	0
20/10/1996	9.906
22/10/1996	1.016
23/10/1996	0
24/10/1996	0
25/10/1996	0
26/10/1996	12.954
27/10/1996	0
28/10/1996	4.064
30/10/1996	0.508
31/10/1996	0
1/11/1996	2.032
2/11/1996	0
3/11/1996	0
4/11/1996	0
6/11/1996	0
7/11/1996	0
8/11/1996	0
9/11/1996	0
10/11/1996	0
11/11/1996	0
12/11/1996	0
13/11/1996	0
14/11/1996	1.016
16/11/1996	0
17/11/1996	0
18/11/1996	0
19/11/1996	0
20/11/1996	3.048
21/11/1996	1.016
22/11/1996	8.89
23/11/1996	0
24/11/1996	0
25/11/1996	0.508
26/11/1996	2.032
28/11/1996	1.016
29/11/1996	0
30/11/1996	0
1/12/1996	0
2/12/1996	0
3/12/1996	0
4/12/1996	0
5/12/1996	0
7/12/1996	0
8/12/1996	0
9/12/1996	0
11/12/1996	2.032
12/12/1996	0
17/12/1996	4.064
18/12/1996	0
19/12/1996	0
20/12/1996	4.064
21/12/1996	0
22/12/1996	0
23/12/1996	0
24/12/1996	7.112
25/12/1996	0
26/12/1996	21.082
28/12/1996	0
29/12/1996	0
30/12/1996	0
31/12/1996	0
1/1/1997	0
2/1/1997	0
3/1/1997	0
4/1/1997	0
5/1/1997	0
6/1/1997	0
7/1/1997	0
8/1/1997	0
9/1/1997	4.064
10/1/1997	0
11/1/1997	0
12/1/1997	0
13/01/1997	0.254
14/01/1997	0
15/01/1997	0
16/01/1997	0
18/01/1997	0
19/01/1997	0
20/01/1997	0.508
21/01/1997	0
22/01/1997	0
23/01/1997	0
24/01/1997	0
26/01/1997	7.112
27/01/1997	2.032
29/01/1997	0
30/01/1997	1.016
31/01/1997	11.938
1/2/1997	4.064
2/2/1997	0
3/2/1997	0
4/2/1997	0
5/2/1997	0
6/2/1997	0
7/2/1997	18.034
8/2/1997	7.112
10/2/1997	0
11/2/1997	3.048
13/02/1997	2.032
14/02/1997	1.016
15/02/1997	0
16/02/1997	0.254
17/02/1997	0
18/02/1997	0
19/02/1997	0
20/02/1997	5.08
21/02/1997	0
22/02/1997	0
23/02/1997	0.508
24/02/1997	84.074
25/02/1997	0.254
27/02/1997	0
28/02/1997	6.096
1/3/1997	4.064
3/3/1997	3.048
4/3/1997	0
5/3/1997	0.254
7/3/1997	9.906
8/3/1997	25.908
9/3/1997	3.048
10/3/1997	0
11/3/1997	3.048
12/3/1997	0
13/03/1997	1.016
14/03/1997	1.016
15/03/1997	12.954
16/03/1997	4.064
17/03/1997	0
18/03/1997	1.016
19/03/1997	9.906
20/03/1997	5.08
21/03/1997	0.508
22/03/1997	4.064
23/03/1997	10.922
25/03/1997	0
26/03/1997	1.016
27/03/1997	10.922
28/03/1997	0
30/03/1997	0
31/03/1997	5.08
1/4/1997	0
3/4/1997	0
4/4/1997	0.254
5/4/1997	0
6/4/1997	0
7/4/1997	0
8/4/1997	0
9/4/1997	0
10/4/1997	0
11/4/1997	0
13/04/1997	0
14/04/1997	3.048
15/04/1997	0
17/04/1997	0
18/04/1997	0
19/04/1997	0
21/04/1997	18.034
22/04/1997	41.91
23/04/1997	0
24/04/1997	0
25/04/1997	0
26/04/1997	20.066
27/04/1997	5.08
28/04/1997	43.942
29/04/1997	1.016
30/04/1997	2.032
1/5/1997	2.032
2/5/1997	3.048
3/5/1997	0
4/5/1997	6.096
5/5/1997	4.064
6/5/1997	12.954
7/5/1997	0
8/5/1997	11.938
9/5/1997	16.002
10/5/1997	0
11/5/1997	9.906
12/5/1997	2.032
13/05/1997	0
14/05/1997	0
15/05/1997	0
16/05/1997	0
17/05/1997	0
18/05/1997	0
19/05/1997	0
20/05/1997	0
21/05/1997	0
22/05/1997	0
24/05/1997	0
25/05/1997	0
26/05/1997	0
27/05/1997	0
28/05/1997	0
29/05/1997	0.254
30/05/1997	2.032
31/05/1997	0
1/6/1997	1.016
2/6/1997	0
3/6/1997	0
4/6/1997	0
5/6/1997	0
6/6/1997	0
7/6/1997	0
9/6/1997	2.032
10/6/1997	0
11/6/1997	2.032
12/6/1997	0
13/06/1997	0.508
14/06/1997	0
15/06/1997	1.016
16/06/1997	2.032
17/06/1997	0
19/06/1997	1.016
20/06/1997	0
21/06/1997	0
22/06/1997	0
23/06/1997	1.016
24/06/1997	0.254
25/06/1997	0
26/06/1997	0
27/06/1997	0
29/06/1997	0
30/06/1997	5.08
2/7/1997	25.908
3/7/1997	1.016
4/7/1997	0
5/7/1997	0
6/7/1997	0
7/7/1997	5.08
8/7/1997	6.096
9/7/1997	0
10/7/1997	9.906
11/7/1997	0
12/7/1997	0
13/07/1997	0
14/07/1997	0
15/07/1997	0
16/07/1997	0
17/07/1997	0
18/07/1997	0
19/07/1997	0
20/07/1997	0
21/07/1997	0
22/07/1997	0
24/07/1997	0
26/07/1997	0
27/07/1997	0
28/07/1997	0
29/07/1997	0
30/07/1997	0
6/8/1997	50.038
8/8/1997	0
9/8/1997	0
10/8/1997	2.032
12/8/1997	17.018
13/08/1997	1.016
14/08/1997	5.08
15/08/1997	3.048
16/08/1997	2.032
17/08/1997	0
18/08/1997	0
19/08/1997	0
20/08/1997	0
21/08/1997	0
22/08/1997	0
23/08/1997	0
24/08/1997	0
25/08/1997	0
