Date	Tavg
01/01/1994	17.44
02/01/1994	17.72
03/01/1994	19.11
04/01/1994	18.72
05/01/1994	19.22
06/01/1994	17.78
07/01/1994	19.50
08/01/1994	16.67
09/01/1994	17.00
10/01/1994	16.72
11/01/1994	18.00
12/01/1994	20.78
13/01/1994	23.28
14/01/1994	24.17
15/01/1994	13.83
16/01/1994	17.61
17/01/1994	15.72
18/01/1994	15.11
19/01/1994	14.06
20/01/1994	17.83
21/01/1994	14.72
22/01/1994	18.17
23/01/1994	16.61
24/01/1994	17.61
25/01/1994	18.89
26/01/1994	20.44
27/01/1994	17.94
28/01/1994	18.83
29/01/1994	18.44
30/01/1994	17.56
31/01/1994	21.56
01/02/1994	20.61
02/02/1994	21.61
03/02/1994	18.78
04/02/1994	18.56
05/02/1994	20.22
07/02/1994	22.78
08/02/1994	19.78
09/02/1994	21.56
10/02/1994	18.78
11/02/1994	16.06
12/02/1994	17.67
13/02/1994	17.67
14/02/1994	16.11
15/02/1994	14.67
16/02/1994	16.50
17/02/1994	18.11
19/02/1994	19.44
20/02/1994	18.72
21/02/1994	15.94
22/02/1994	20.22
23/02/1994	20.33
24/02/1994	16.94
25/02/1994	15.50
26/02/1994	17.00
27/02/1994	18.67
28/02/1994	17.28
01/03/1994	21.83
02/03/1994	18.50
03/03/1994	18.17
04/03/1994	16.67
05/03/1994	15.44
06/03/1994	18.28
07/03/1994	17.89
08/03/1994	18.11
09/03/1994	14.72
10/03/1994	18.17
11/03/1994	17.67
12/03/1994	17.56
13/03/1994	16.72
14/03/1994	18.67
15/03/1994	14.67
16/03/1994	17.44
17/03/1994	17.11
18/03/1994	16.94
19/03/1994	15.06
20/03/1994	15.94
21/03/1994	14.61
22/03/1994	17.61
23/03/1994	19.11
24/03/1994	18.17
25/03/1994	17.94
26/03/1994	18.17
27/03/1994	19.33
28/03/1994	19.50
29/03/1994	20.78
30/03/1994	19.44
31/03/1994	17.61
01/04/1994	18.44
02/04/1994	20.06
03/04/1994	17.83
04/04/1994	17.61
05/04/1994	17.39
06/04/1994	16.17
07/04/1994	16.56
08/04/1994	16.39
09/04/1994	18.89
10/04/1994	18.28
11/04/1994	20.67
12/04/1994	19.06
13/04/1994	19.44
14/04/1994	17.67
