Date	Tavg
04/01/1994	25.06
13/01/1994	26.50
18/02/1994	23.72
14/03/1994	26.00
19/03/1994	23.17
27/03/1994	25.89
31/03/1994	26.22
14/04/1994	25.94
17/04/1994	26.11
19/04/1994	23.39
22/04/1994	25.11
25/04/1994	23.00
26/04/1994	22.78
30/04/1994	25.61
05/05/1994	25.11
10/05/1994	26.56
11/05/1994	27.56
17/05/1994	24.11
18/05/1994	24.17
22/05/1994	25.72
23/05/1994	23.83
24/05/1994	24.83
31/05/1994	23.89
01/06/1994	24.22
03/06/1994	24.78
07/06/1994	24.00
08/06/1994	24.56
16/06/1994	25.50
21/06/1994	23.78
22/06/1994	24.50
24/06/1994	27.06
25/06/1994	23.78
26/06/1994	26.67
27/06/1994	27.50
29/06/1994	26.17
30/06/1994	23.00
01/07/1994	19.44
02/07/1994	25.44
09/07/1994	24.94
10/07/1994	24.39
11/07/1994	29.00
12/07/1994	22.61
14/07/1994	23.50
15/07/1994	24.72
16/07/1994	25.72
17/07/1994	24.39
19/07/1994	24.78
20/07/1994	26.83
21/07/1994	23.61
25/07/1994	24.33
26/07/1994	25.72
28/07/1994	23.11
29/07/1994	24.72
31/07/1994	22.78
02/08/1994	23.89
03/08/1994	26.89
04/08/1994	22.44
05/08/1994	20.22
06/08/1994	26.06
07/08/1994	26.72
08/08/1994	25.00
09/08/1994	24.28
11/08/1994	17.00
12/08/1994	24.56
13/08/1994	25.33
14/08/1994	23.67
15/08/1994	22.83
16/08/1994	25.22
17/08/1994	23.72
18/08/1994	22.06
19/08/1994	23.28
20/08/1994	25.17
22/08/1994	25.72
23/08/1994	24.17
24/08/1994	25.39
25/08/1994	24.11
26/08/1994	23.22
28/08/1994	24.22
29/08/1994	24.28
31/08/1994	24.28
01/09/1994	24.50
02/09/1994	24.39
03/09/1994	23.50
04/09/1994	25.61
05/09/1994	21.61
06/09/1994	25.56
08/09/1994	27.33
09/09/1994	26.28
10/09/1994	26.33
11/09/1994	22.89
13/09/1994	24.78
15/09/1994	28.61
18/09/1994	25.06
21/09/1994	26.22
22/09/1994	28.11
24/09/1994	26.28
25/09/1994	27.94
26/09/1994	27.83
30/09/1994	26.00
01/10/1994	25.50
02/10/1994	28.06
03/10/1994	24.72
06/10/1994	23.22
14/10/1994	26.06
20/10/1994	27.39
25/10/1994	27.33
26/10/1994	26.06
27/10/1994	26.39
28/10/1994	25.00
31/10/1994	24.83
01/11/1994	23.56
04/11/1994	23.83
05/11/1994	23.56
06/11/1994	22.33
07/11/1994	23.39
08/11/1994	22.06
10/11/1994	22.56
11/11/1994	23.00
14/11/1994	23.06
16/11/1994	23.72
17/11/1994	24.22
18/11/1994	23.83
19/11/1994	25.39
20/11/1994	26.50
22/11/1994	24.83
23/11/1994	26.00
24/11/1994	24.94
29/11/1994	21.33
30/11/1994	23.89
01/12/1994	26.11
02/12/1994	24.61
03/12/1994	23.22
06/12/1994	24.22
07/12/1994	27.00
08/12/1994	27.11
09/12/1994	25.28
10/12/1994	25.67
11/12/1994	25.50
12/12/1994	23.78
13/12/1994	23.94
14/12/1994	24.06
15/12/1994	23.78
16/12/1994	24.72
17/12/1994	25.61
18/12/1994	24.06
19/12/1994	23.61
21/12/1994	26.33
25/12/1994	26.33
27/12/1994	27.33
29/12/1994	27.00
30/12/1994	28.50
06/01/1995	24.78
09/01/1995	27.89
11/01/1995	26.39
14/01/1995	23.67
15/01/1995	27.39
21/01/1995	26.94
23/01/1995	25.89
24/01/1995	26.39
25/01/1995	26.78
28/01/1995	23.06
29/01/1995	23.44
30/01/1995	26.28
31/01/1995	26.56
01/02/1995	24.56
02/02/1995	26.28
03/02/1995	22.56
05/02/1995	27.56
06/02/1995	25.28
07/02/1995	23.61
08/02/1995	21.28
11/02/1995	24.33
12/02/1995	24.22
14/02/1995	23.44
15/02/1995	25.00
16/02/1995	23.28
17/02/1995	23.78
18/02/1995	23.78
19/02/1995	23.33
20/02/1995	24.83
23/02/1995	28.22
24/02/1995	24.94
26/02/1995	27.11
27/02/1995	26.44
01/03/1995	29.28
08/03/1995	23.06
10/03/1995	24.11
11/03/1995	24.89
12/03/1995	21.78
13/03/1995	25.39
14/03/1995	19.11
17/03/1995	19.89
20/03/1995	28.72
23/03/1995	22.72
25/03/1995	25.50
26/03/1995	25.11
28/03/1995	25.00
29/03/1995	23.56
03/04/1995	26.44
04/04/1995	21.39
05/04/1995	25.22
06/04/1995	24.39
07/04/1995	23.06
09/04/1995	25.33
11/04/1995	23.22
12/04/1995	26.11
13/04/1995	23.11
17/04/1995	25.67
18/04/1995	26.94
19/04/1995	27.72
20/04/1995	24.39
21/04/1995	24.50
22/04/1995	22.78
23/04/1995	24.44
24/04/1995	23.56
25/04/1995	25.22
26/04/1995	24.61
27/04/1995	24.67
28/04/1995	24.44
29/04/1995	23.39
30/04/1995	24.56
01/05/1995	24.28
02/05/1995	25.56
03/05/1995	25.06
04/05/1995	25.44
05/05/1995	24.11
06/05/1995	27.11
09/05/1995	26.56
10/05/1995	20.17
11/05/1995	21.94
12/05/1995	26.94
13/05/1995	27.06
14/05/1995	26.78
15/05/1995	26.50
16/05/1995	25.94
17/05/1995	28.44
18/05/1995	25.56
19/05/1995	22.28
21/05/1995	27.11
22/05/1995	25.33
23/05/1995	24.83
24/05/1995	24.22
25/05/1995	26.83
26/05/1995	22.61
27/05/1995	24.00
28/05/1995	25.56
29/05/1995	25.11
30/05/1995	23.50
31/05/1995	24.78
01/06/1995	24.28
02/06/1995	21.11
03/06/1995	23.94
04/06/1995	24.83
05/06/1995	26.22
07/06/1995	25.11
08/06/1995	25.67
09/06/1995	25.61
10/06/1995	25.22
11/06/1995	24.44
12/06/1995	25.78
13/06/1995	24.94
14/06/1995	27.11
15/06/1995	26.28
16/06/1995	23.11
17/06/1995	25.39
18/06/1995	23.56
19/06/1995	23.83
20/06/1995	24.33
21/06/1995	25.33
22/06/1995	25.22
23/06/1995	26.61
24/06/1995	24.39
25/06/1995	23.00
26/06/1995	23.17
27/06/1995	25.22
28/06/1995	23.50
29/06/1995	20.94
30/06/1995	26.00
02/07/1995	25.78
03/07/1995	24.11
04/07/1995	25.44
05/07/1995	21.72
06/07/1995	23.39
07/07/1995	22.17
09/07/1995	25.11
10/07/1995	22.61
11/07/1995	22.44
12/07/1995	22.94
13/07/1995	21.83
14/07/1995	23.39
15/07/1995	23.50
16/07/1995	22.78
17/07/1995	25.17
18/07/1995	23.17
19/07/1995	24.56
20/07/1995	25.00
21/07/1995	22.89
22/07/1995	21.89
23/07/1995	24.44
24/07/1995	25.17
25/07/1995	22.83
26/07/1995	25.67
27/07/1995	20.67
28/07/1995	25.33
29/07/1995	23.00
30/07/1995	26.11
31/07/1995	25.06
01/08/1995	25.22
02/08/1995	25.33
03/08/1995	24.61
04/08/1995	24.61
05/08/1995	26.11
06/08/1995	25.44
07/08/1995	22.78
08/08/1995	27.22
09/08/1995	24.94
10/08/1995	26.72
11/08/1995	25.67
12/08/1995	24.89
14/08/1995	24.06
15/08/1995	25.00
16/08/1995	25.50
17/08/1995	23.17
18/08/1995	23.50
19/08/1995	24.44
20/08/1995	24.56
21/08/1995	23.28
22/08/1995	26.33
23/08/1995	22.44
24/08/1995	24.11
25/08/1995	24.39
26/08/1995	24.17
27/08/1995	24.06
28/08/1995	24.89
29/08/1995	23.89
30/08/1995	25.44
31/08/1995	25.06
01/09/1995	26.56
02/09/1995	21.61
03/09/1995	23.61
04/09/1995	21.00
05/09/1995	23.44
06/09/1995	25.06
07/09/1995	24.61
09/09/1995	28.06
10/09/1995	25.22
11/09/1995	22.78
12/09/1995	22.06
13/09/1995	25.22
14/09/1995	26.67
15/09/1995	26.72
16/09/1995	26.78
17/09/1995	25.00
18/09/1995	27.83
19/09/1995	24.11
20/09/1995	26.67
21/09/1995	25.00
22/09/1995	25.50
23/09/1995	24.78
24/09/1995	26.94
25/09/1995	25.00
26/09/1995	27.00
27/09/1995	22.28
28/09/1995	23.28
29/09/1995	26.94
01/10/1995	24.94
02/10/1995	23.61
04/10/1995	23.83
05/10/1995	24.83
