*crop_optimiser::Farm	SBarley	Oats	OSCrops	WBarley	WWheat	WRye	Triticale	SRape	WRape	OOilseed	Peas	OLSeed	GrassSeed	Potato	PotatoFood	SugarBeet	GrassClover	OLSeedCut	SCerealSil	PeasSil	MaizeSil	WCerealSil	SCerealG	PerGrassLow	PerGrassNorm	GrassEnv1	GrassEnv2	GrassRot	Setaside	Uncult	OUncult	FodderBeet	CloverGrz	Veg	Fruit	FruitTree	OSpecCrops	ChrisTree	EnergyFor	Other									
1	19.18	0.00	0.00	2.50	22.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.50	0.00	0.00	0.00	0.00	0.00	2.71	0.00	9.00	0.00	0.00	0.00	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
2	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.00	2.20	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
3	6.60	0.00	0.00	14.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	2.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
4	14.88	0.00	0.00	0.00	10.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	5.00	0.00	0.00	0.00	2.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
5	12.60	0.00	0.00	0.00	16.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.35	0.00	0.00	0.00	24.80	0.00	0.00	0.00	37.80	0.00	0.00	0.00	13.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
6	14.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	51.51	0.00	0.00	0.00	20.39	0.00	0.00	0.00	1.00	0.00	0.00	2.41	8.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
7	24.90	2.40	0.00	0.00	14.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	6.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
8	7.55	17.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.90	0.00	9.00	0.00	0.00	0.00	15.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.85	0.00	0.00	0.00	6.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
9	4.30	0.00	0.00	2.20	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00									
10	19.57	0.00	57.42	0.00	17.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	53.34	0.00	10.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00									
