Station	Date	Tmin	Tmax	Tavg	I
6135	01/01/2009	0.5	-0.9	2.6	3.2
6135	02/01/2009	-5.4	0.6	-2.8	3.2
6135	03/01/2009	-5.2	3.5	1.2	0.8
6135	04/01/2009	-1.4	0.3	-1.9	0.9
6135	05/01/2009	-7.2	-2.3	-5.9	3.5
6135	06/01/2009	-8.5	1.2	-1	1.9
6135	07/01/2009	-1	1.9	-0.6	2.7
6135	08/01/2009	-7.2	2.1	-0.9	1.6
6135	09/01/2009	-0.7	5.1	3.7	3.1
6135	10/01/2009	1.7	3.6	2.1	0.8
6135	11/01/2009	-1.5	3.6	0.8	2.1
6135	12/01/2009	-1.5	4.5	3.5	2.1
6135	13/01/2009	2.9	4.3	3.7	0.4
6135	14/01/2009	2.8	3.6	3.1	0.7
6135	15/01/2009	1.6	2.8	1.7	0.7
6135	16/01/2009	-1.9	1.1	-0.3	1.7
6135	17/01/2009	-1.1	0.1	-0.6	0.6
6135	18/01/2009	-1.4	3.2	2.1	1.4
6135	19/01/2009	1.8	3.4	2.2	1
6135	20/01/2009	1.1	4.6	3.5	2.9
6135	21/01/2009	1	4.5	1.8	4.1
6135	22/01/2009	-0.8	2.2	0.6	1.6
6135	23/01/2009	-0.2	2.3	1.2	1.1
6135	24/01/2009	0	3.5	2	0.8
6135	25/01/2009	1.2	3.4	2.4	1.3
6135	26/01/2009	-0.4	2	1	1.9
6135	27/01/2009	-0.5	3.3	1.1	2.8
6135	28/01/2009	-0.3	1.1	-0.2	1.3
6135	29/01/2009	-2.8	-1.8	-2.4	1.1
6135	30/01/2009	-3.2	0.7	-0.6	0.8
6135	31/01/2009	-1.5	1.8	0.6	2.3
6135	01/02/2009	-2.9	0.1	-1.2	1.9
6135	02/02/2009	-1.8	1.3	0.3	1.4
6135	03/02/2009	0	1.3	0.9	1.9
6135	04/02/2009	-0.1	1.2	0.5	0.7
6135	05/02/2009	0	2.4	0.9	1.4
6135	06/02/2009	0.3	4.4	2.9	0.9
6135	07/02/2009	1	2.9	2	1.2
6135	08/02/2009	0.5	3.1	1.3	4.6
6135	09/02/2009	0.2	1.1	0.5	1.8
6135	10/02/2009	-0.1	2	0.5	1.6
6135	11/02/2009	-0.8	1.6	0	4.5
6135	12/02/2009	-1.3	-0.1	-1.2	3.4
6135	13/02/2009	-8.3	1	-2.9	8
6135	14/02/2009	-4.9	1.3	-1.7	8.1
6135	15/02/2009	-3.2	0.8	-0.2	3.4
6135	16/02/2009	-0.7	0.1	-0.7	3.6
6135	17/02/2009	-7.4	-1	-4.6	8.9
6135	18/02/2009	-9.2	0.2	-3.3	5.9
6135	19/02/2009	-4	0.4	0.1	3.7
6135	20/02/2009	-0.5	1.1	0.2	4.8
6135	21/02/2009	-0.7	0.9	0	3.9
6135	22/02/2009	-0.2	6.4	3.8	6.4
6135	23/02/2009	0.8	3.5	1	2.2
6135	24/02/2009	-2	3.5	1	9.6
6135	25/02/2009	-0.6	4.9	4.1	2.3
6135	26/02/2009	3.4	6.9	4.5	3.7
6135	27/02/2009	1.3	6.2	3.6	3.2
6135	28/02/2009	-0.3	3.6	1.9	4.8
6135	01/03/2009	0.5	4	2.8	1.6
6135	02/03/2009	2.5	5.6	3.7	2.6
6135	03/03/2009	2.9	6.5	4.6	7.5
6135	04/03/2009	2.8	6.6	4.1	6.6
6135	05/03/2009	3.3	6.4	4.5	4.4
6135	06/03/2009	2.3	4.2	2.7	0.8
6135	07/03/2009	1.1	3.8	2.5	3.8
6135	08/03/2009	1.2	6.7	3.5	3.2
6135	09/03/2009	0.8	5.2	2.8	6.6
6135	10/03/2009	1.7	7.9	4.1	6.9
6135	11/03/2009	1.4	6.7	3.4	8.6
6135	12/03/2009	-1.9	5.4	1.8	2.6
6135	13/03/2009	1.3	8.2	5.8	5.1
6135	14/03/2009	0.7	8.2	4.5	7.3
