Scenario	steps[timeStep]	steps[timeUnit]	roof1/cover[U4]	roof2/cover[U4]	roof1/screens/screen[lightTransmission]	roof2/screens/screen[lightTransmission]	roof1/screens/screen[airTransmission]	roof2/screens/screen[airTransmission]	roof1/screens/screen[energyLossReduction]	roof2/screens/screen[energyLossReduction]	infiltration[leakage]	ventilation/setpoints/setpoint[signalInside]	heating/setpoints/setpoint[signalInside]	screens/maxDrawn[signalBelow]	screens/maxDrawn[signalAbove]
1	2	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	1	0.9
2	2	m	2	2	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	1	0.9
3	2	m	7.5	7.5	0.7	0.7	0.37	0.37	0.6	0.6	1	20	18	1	0.9
4	2	m	7.5	7.5	0.34	0.34	0.8	0.8	0.6	0.6	1	20	18	1	0.9
5	2	m	7.5	7.5	0.34	0.34	0.37	0.37	0.2	0.2	1	20	18	1	0.9
6	2	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	0.5	20	18	1	0.9
7	2	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	22	18	1	0.9
8	2	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	16	1	0.9
9	2	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	0	0
10	1	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	1	0.9
11	1	m	2	2	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	1	0.9
12	1	m	7.5	7.5	0.7	0.7	0.37	0.37	0.6	0.6	1	20	18	1	0.9
13	1	m	7.5	7.5	0.34	0.34	0.8	0.8	0.6	0.6	1	20	18	1	0.9
14	1	m	7.5	7.5	0.34	0.34	0.37	0.37	0.2	0.2	1	20	18	1	0.9
15	1	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	0.5	20	18	1	0.9
16	1	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	22	18	1	0.9
17	1	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	16	1	0.9
18	1	m	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	0	0
19	30	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	1	0.9
20	30	s	2	2	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	1	0.9
21	30	s	7.5	7.5	0.7	0.7	0.37	0.37	0.6	0.6	1	20	18	1	0.9
22	30	s	7.5	7.5	0.34	0.34	0.8	0.8	0.6	0.6	1	20	18	1	0.9
23	30	s	7.5	7.5	0.34	0.34	0.37	0.37	0.2	0.2	1	20	18	1	0.9
24	30	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	0.5	20	18	1	0.9
25	30	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	22	18	1	0.9
26	30	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	16	1	0.9
27	30	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	0	0
28	10	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	1	0.9
29	10	s	2	2	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	1	0.9
30	10	s	7.5	7.5	0.7	0.7	0.37	0.37	0.6	0.6	1	20	18	1	0.9
31	10	s	7.5	7.5	0.34	0.34	0.8	0.8	0.6	0.6	1	20	18	1	0.9
32	10	s	7.5	7.5	0.34	0.34	0.37	0.37	0.2	0.2	1	20	18	1	0.9
33	10	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	0.5	20	18	1	0.9
34	10	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	22	18	1	0.9
35	10	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	16	1	0.9
36	10	s	7.5	7.5	0.34	0.34	0.37	0.37	0.6	0.6	1	20	18	0	0
