HeatEnergyi	EnergyUseLight	ElUseDehumidifieri	Tghi	Tgh_naturali	RHghi	CO2airi	Tcovi	Tscreeni	VentVindui	Leakage_heati	Leakage_humi	alphawindi	alphaleei	DWyield	FWyield	NumberPlantsi	Tcropi	VPDcrop_airi	LEi	Rni	Bni	Pnci	radiIni	spTheat	spTvent	spRHghi	H2O_dehumi	Dewi	CO2supplyi
0.09661024548	99	99	14.80415832	99	40.25482033	99	7.861111111	16.71557971	2.48127968	99	99	4.859658362	9.836733507	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
0.2501228541	99	99	13.91244456	99	39.71395657	99	4.295079402	8.388084973	3.121016848	99	99	3.600123461	5.966280464	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
0.39454529	99	99	16.54786541	99	34.03056878	99	6.152610641	12.79417281	2.366608793	99	99	2.667037057	3.618732026	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
0.5292650988	99	99	17.95210782	99	31.80669313	99	6.517303037	13.69533467	1.799270397	99	99	1.975789647	2.194871923	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
0.645336167	99	99	18.58266069	99	31.22751407	99	6.941838214	14.73699697	1.391302867	99	99	1.463700971	1.331257115	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
0.7513108351	99	99	18.31603744	99	32.33101118	99	6.884727254	14.6478379	1.10532428	99	99	1.084336349	0.8074482564	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
0.8491858723	99	99	18.27044452	99	33.02345832	99	6.837202165	14.56995291	0.9049309589	99	99	0.8032961244	0.4897421236	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
0.9418914346	99	99	18.16822238	99	33.823614	99	6.801535884	14.48621468	0.7601629467	99	99	0.5950964056	0.2970436133	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
1.030698359	99	99	18.12905737	99	34.4955364	99	6.783751025	14.44445893	0.6579975542	99	99	0.4408582603	0.1801660588	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
1.116886855	99	99	18.08502982	99	35.17148158	99	6.767670775	14.4067053	0.5843841536	99	99	0.326595832	0.1092762385	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
1.201046	99	99	18.0668457	99	35.78720349	99	6.758453833	14.38506552	0.529863132	99	99	0.2419481431	0.06627938902	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
1.283680392	99	99	18.04931561	99	36.3941427	99	6.752412042	14.37088045	0.4881310411	99	99	0.1792395929	0.04020048154	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
1.365084287	99	99	18.04073279	99	36.9740568	99	6.7536759	14.36261588	0.4566991176	99	99	0.1327839563	0.02438282459	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
1.445606622	99	99	18.02792573	99	37.55556724	99	6.772677635	14.36230111	0.4360312579	99	99	0.09836877422	0.01478893069	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
