Date	Tavg
01.04.2009	9
02.04.2009	11		
03.04.2009	13.3		
04.04.2009	14.3		
05.04.2009	12.1		
06.04.2009	12.8		
07.04.2009	16.1		
08.04.2009	14.4		
09.04.2009	13.7		
10.04.2009	16.2		
11.04.2009	16.9		
12.04.2009	15.3		
13.04.2009	14
14.04.2009	14.6
15.04.2009	15.6
16.04.2009	16.2
17.04.2009	12.4
18.04.2009	8.7
19.04.2009	10.3
20.04.2009	12.7
21.04.2009	13
22.04.2009	8.3
23.04.2009	11.2
24.04.2009	13.2
25.04.2009	16.3
26.04.2009	16.9
27.04.2009	17.1
28.04.2009	14.6
29.04.2009	11.9
30.04.2009	14.4
01.05.2009	15.4
02.05.2009	15.1
03.05.2009	13.7
04.05.2009	10.2
05.05.2009	10.6
06.05.2009	12.1
07.05.2009	15.1
08.05.2009	14.8
09.05.2009	13.6
10.05.2009	16.1
11.05.2009	13.2
12.05.2009	12.6
13.05.2009	13.2
14.05.2009	13.7
15.05.2009	12.9
16.05.2009	14.8
17.05.2009	16.4
18.05.2009	17.9
19.05.2009	17.1
20.05.2009	18.8
21.05.2009	18.3
22.05.2009	14.8
23.05.2009	15.8
24.05.2009	20
25.05.2009	19
26.05.2009	21.3
27.05.2009	15
28.05.2009	14.3
29.05.2009	14.7
30.05.2009	15.2
31.05.2009	17.5
01.06.2009	20.2
02.06.2009	17.9
03.06.2009	13.2
04.06.2009	10.5
05.06.2009	10.9
06.06.2009	10.6
07.06.2009	12.4
08.06.2009	14.6
09.06.2009	12.9
10.06.2009	18.3
11.06.2009	14
12.06.2009	12.4
13.06.2009	14.3
14.06.2009	16.7
15.06.2009	16.1
16.06.2009	15.2
17.06.2009	16.3
18.06.2009	19
19.06.2009	16.1
20.06.2009	15.1
21.06.2009	14.1
22.06.2009	16.7
23.06.2009	19
24.06.2009	20.2
25.06.2009	16.9
26.06.2009	19.9
27.06.2009	19
28.06.2009	19
29.06.2009	22.2
30.06.2009	23.7
01.07.2009	24.5
02.07.2009	25.6
03.07.2009	25.6
04.07.2009	23.4
05.07.2009	22.5
06.07.2009	20.1
07.07.2009	19.1
08.07.2009	16.4
09.07.2009	15.1
10.07.2009	14
11.07.2009	13.8
12.07.2009	17.2
13.07.2009	20.2
14.07.2009	22.8
15.07.2009	24.2
16.07.2009	23.4
17.07.2009	22.5
18.07.2009	18
19.07.2009	17
20.07.2009	17.6
21.07.2009	21.2
22.07.2009	22.2
23.07.2009	22.4
24.07.2009	18.7
25.07.2009	16.6
26.07.2009	18.7
27.07.2009	23.7
28.07.2009	20.1
29.07.2009	21.5
30.07.2009	20.7
31.07.2009	18.3
01.08.2009	20.6
02.08.2009	22.1
03.08.2009	19.3
04.08.2009	19.8
05.08.2009	20.8
06.08.2009	22.6
07.08.2009	24.1
08.08.2009	23.6
09.08.2009	22.6
10.08.2009	22.5
11.08.2009	19.5
12.08.2009	19.6
13.08.2009	19.3
14.08.2009	18
15.08.2009	21.9
16.08.2009	24.4
17.08.2009	22
18.08.2009	19.8
19.08.2009	22.9
20.08.2009	28.4
21.08.2009	19.1
22.08.2009	18.5
23.08.2009	19.2
24.08.2009	21.5
25.08.2009	20.6
26.08.2009	20.9
27.08.2009	22.8
28.08.2009	21.7
29.08.2009	15.8
30.08.2009	15.3
31.08.2009	18.7
01.09.2009	22.7
02.09.2009	19.1
03.09.2009	17.8
04.09.2009	16.3
05.09.2009	14.1
06.09.2009	14.5
07.09.2009	17.2
08.09.2009	20.2
09.09.2009	20.6
10.09.2009	17.8
11.09.2009	16
12.09.2009	15.9
13.09.2009	13.6
14.09.2009	14.6
15.09.2009	16.1
16.09.2009	17.6
17.09.2009	14.7
18.09.2009	14.8
19.09.2009	17.1
20.09.2009	19
21.09.2009	16.6
22.09.2009	16.6
23.09.2009	16.8
24.09.2009	16.7
25.09.2009	13.9
26.09.2009	14.7
27.09.2009	14.3
28.09.2009	14.2
29.09.2009	14.8
30.09.2009	13.7
01.10.2009	13.3
02.10.2009	9.5
03.10.2009	12.4
04.10.2009	13.1
05.10.2009	7.8
