   station      Date     Tmin     Tmax    IrradiationMJ   Soilt10   Soilt30
        37  01/01/2005      -0.0       5.7       1.1       3.3       4.0
        37  02/01/2005       1.6       6.2       0.8       3.8       4.2
        37  03/01/2005       0.5       6.8       1.3       3.4       4.1
        37  04/01/2005       2.8       8.1       0.3       4.6       4.5
        37  05/01/2005       4.2       6.4       1.0       4.7       4.9
        37  06/01/2005       4.2       7.7       2.1       4.6       4.9
        37  07/01/2005       3.8      10.2       0.3       5.5       5.3
        37  08/01/2005       7.9       9.2       0.5       6.3       6.0
        37  09/01/2005       1.9       7.2       1.9       5.5       5.9
        37  10/01/2005       3.4      10.8       0.7       6.1       5.9
        37  11/01/2005       4.7       7.9       2.0       6.1       6.2
        37  12/01/2005       5.2       8.8       1.8       6.0       6.2
        37  13/01/2005       3.7       6.1       2.6       5.4       5.9
        37  14/01/2005       2.4       5.6       2.9       4.8       5.5
        37  15/01/2005      -1.7       3.2       1.9       3.7       4.8
        37  16/01/2005      -0.1       3.8       1.8       3.5       4.3
        37  17/01/2005       1.5       6.4       0.5       4.2       4.5
        37  18/01/2005       4.6       6.0       1.5       4.8       5.0
        37  19/01/2005      -0.3       3.0       1.1       4.1       4.7
        37  20/01/2005       0.2       6.2       1.6       3.7       4.4
        37  21/01/2005       1.9       4.2       2.6       3.6       4.3
        37  22/01/2005      -1.6       3.2       3.9       3.0       3.9
        37  23/01/2005      -2.3       2.1       3.4       2.4       3.4
        37  24/01/2005      -3.8       1.7       3.9       2.1       3.1
        37  25/01/2005      -4.3      -0.8       3.5       1.8       2.8
        37  26/01/2005      -4.6      -1.2       1.1       1.6       2.6
        37  27/01/2005      -5.2       1.4       4.9       1.5       2.4
        37  28/01/2005      -5.2       1.4       3.1       1.5       2.3
        37  29/01/2005      -2.2       2.4       1.8       1.5       2.3
        37  30/01/2005      -0.8       6.6       2.5       1.8       2.3
        37  31/01/2005       2.6       6.8       4.2       2.9       3.0
        37  01/02/2005       0.7       4.5       5.3       2.5       3.1
        37  02/02/2005      -1.0       6.5       5.2       2.2       2.8
        37  03/02/2005      -1.7       4.2       3.0       2.0       2.7
        37  04/02/2005      -1.1       6.5       1.4       2.6       2.8
        37  05/02/2005       4.4       5.2       1.9       3.4       3.5
        37  06/02/2005      -1.5       1.0       5.1       2.8       3.5
        37  07/02/2005      -3.8       1.1       6.6       2.1       3.0
        37  08/02/2005      -5.8      -0.3       6.0       1.7       2.6
        37  09/02/2005      -6.6       2.3       3.4       1.2       2.2
        37  10/02/2005      -3.3       6.6       4.6       1.4       2.1
        37  11/02/2005       0.7       5.1       6.4       1.9       2.4
        37  12/02/2005      -0.2       1.6       0.8       2.0       2.5
        37  13/02/2005      -1.2       0.4       3.4       2.0       2.5
        37  14/02/2005      -2.9      -0.1       6.2       2.0       2.6
        37  15/02/2005      -2.7      -0.9       3.8       2.0       2.6
        37  16/02/2005      -3.1      -1.7       2.7       2.1       2.6
        37  17/02/2005      -4.8       0.3       3.1       2.0       2.5
        37  18/02/2005      -4.4       3.2       2.8       1.9       2.5
        37  19/02/2005      -0.7       4.3       7.7       1.9       2.5
        37  20/02/2005      -0.3       2.6       6.6       2.1       2.5
        37  21/02/2005      -2.0       1.8       3.6       2.1       2.6
        37  22/02/2005      -3.2       0.2       4.4       2.0       2.6
        37  23/02/2005      -5.1      -2.5       3.5       1.8       2.4
        37  24/02/2005      -4.7       0.5       2.3       1.5       2.2
        37  25/02/2005      -2.2       0.8       7.7       1.5       2.1
        37  26/02/2005      -4.2      -0.4       4.5       1.5       2.1
        37  27/02/2005      -8.7      -3.0      10.7       1.3       2.0
        37  28/02/2005      -8.8       1.8       5.6       0.9       1.7
        37  01/03/2005      -2.1       0.1       4.6       0.9       1.6
        37  02/03/2005      -4.9      -3.7       7.5       0.9       1.6
        37  03/03/2005     -12.9      -3.8      13.1       1.0       1.6
        37  04/03/2005     -11.2      -2.0       9.8       0.9       1.6
        37  05/03/2005      -7.4      -1.7       9.8       0.8       1.5
        37  06/03/2005     -11.2       0.8       9.5       0.7       1.4
        37  07/03/2005      -6.6       5.8      12.6       0.6       1.3
        37  08/03/2005      -5.5       5.9      13.3       0.6       1.3
        37  09/03/2005      -2.8       2.9      13.0       0.6       1.2
        37  10/03/2005      -5.1       2.9       5.8       0.6       1.2
        37  11/03/2005      -1.2       4.4       8.6       0.6       1.2
        37  12/03/2005      -0.6       1.5       4.9       0.6       1.2
        37  13/03/2005      -5.7       1.3       6.2       0.7       1.2
        37  14/03/2005      -3.4       4.2       9.7       0.7       1.3
        37  15/03/2005      -1.5       3.7       4.4       0.8       1.3
        37  16/03/2005      -0.0       9.3       1.5       1.7       1.6
        37  17/03/2005       6.8       8.7       2.4       3.6       2.9
        37  18/03/2005       3.1       5.9       5.2       4.1       3.7
        37  19/03/2005      -1.7       1.2      15.2       3.5       3.6
        37  20/03/2005      -5.7       0.8       9.0       2.6       3.2
        37  21/03/2005      -2.4       5.0      15.0       2.8       3.0
        37  22/03/2005      -1.5       9.0      14.0       3.0       3.2
        37  23/03/2005       2.9      14.5       8.6       3.8       3.5
        37  24/03/2005       3.3      14.0      11.7       5.4       4.5
        37  25/03/2005       1.9      10.9       8.4       5.8       5.2
        37  26/03/2005       4.5      10.7      10.4       6.1       5.6
        37  27/03/2005       2.0       8.7      12.3       6.0       5.7
        37  28/03/2005      -0.6       7.6      17.5       5.4       5.5
        37  29/03/2005      -0.8       7.5      17.8       5.0       5.2
        37  30/03/2005      -0.9       7.2      17.7       4.6       4.9
        37  31/03/2005      -1.9       9.6      18.0       4.5       4.7
        37  01/04/2005      -2.4      12.5      18.5       4.5       4.7
        37  02/04/2005       0.7      14.3      18.2       4.8       4.8
        37  03/04/2005       0.2      17.1      18.2       5.1       5.0
        37  04/04/2005       5.8      20.1      15.6       5.9       5.4
        37  05/04/2005       3.7       9.5      10.3       6.3       5.9
        37  06/04/2005       2.6      10.2       9.2       6.1       5.9
        37  07/04/2005       2.8       8.8       9.6       6.4       6.1
        37  08/04/2005       2.7       8.8       9.3       6.4       6.2
        37  09/04/2005       0.9       6.3      14.5       6.1       6.1
        37  10/04/2005       0.0       9.0       8.7       5.9       6.0
        37  11/04/2005       5.0      14.0      14.3       6.8       6.3
        37  12/04/2005       4.2      11.5       7.7       7.1       6.8
        37  13/04/2005       3.9       9.6       8.7       7.3       6.9
        37  14/04/2005       4.3      10.1       4.0       7.5       7.1
        37  15/04/2005       7.3      15.5      16.6       8.4       7.5
        37  16/04/2005       7.1      14.4      18.9       9.1       8.2
        37  17/04/2005       5.3      13.7      21.3       9.1       8.5
        37  18/04/2005       4.5      11.7      20.2       8.7       8.4
        37  19/04/2005       2.6       9.3      18.4       8.4       8.2
        37  20/04/2005      -1.0      11.2      20.0       7.7       7.8
        37  21/04/2005      -1.6      10.6      20.5       7.2       7.4
        37  22/04/2005       3.1      11.2      16.7       8.1       7.6
        37  23/04/2005       2.6      10.5      10.6       8.1       7.9
        37  24/04/2005      -0.4      11.7      22.9       7.6       7.6
        37  25/04/2005       1.2      13.1      23.0       7.6       7.5
        37  26/04/2005      -0.2      11.8      23.9       7.6       7.5
        37  27/04/2005       1.7      12.0      15.4       7.5       7.5
        37  28/04/2005       6.0      10.1       7.3       7.9       7.6
        37  29/04/2005       6.1      13.5       7.4       8.1       7.8
        37  30/04/2005       7.8      14.8      11.4       8.8       8.1
        37  01/05/2005       8.4      14.8      17.0       9.5       8.7
        37  02/05/2005      10.4      18.4      10.0      10.3       9.3
        37  03/05/2005       9.1      18.1      17.4      11.2      10.0
        37  04/05/2005       5.6      13.5      12.3      11.4      10.5
        37  05/05/2005       5.3      10.5      15.6      10.6      10.2
        37  06/05/2005       5.1      10.8      18.8      10.4      10.0
        37  07/05/2005       3.6      10.5      19.3      10.0       9.8
        37  08/05/2005       2.8       9.1      17.3       9.6       9.6
        37  09/05/2005       3.5       9.4      15.2       9.6       9.4
        37  10/05/2005       3.1      11.7      17.1       9.8       9.5
        37  11/05/2005       3.4      13.8      19.9       9.8       9.5
