Station	Date	Tmin	Tmax	Tavg	IrradiationMJ
6	1/1/1996	5	9.3	7.15	0.58
6	2/1/1996	7.3	9.3	8.3	0.6
6	3/1/1996	4	8.5	6.25	1.71
6	4/1/1996	3.9	9.5	6.7	2.48
6	5/1/1996	3.2	11.1	7.15	0.27
6	6/1/1996	5.1	11.4	8.25	2.38
6	7/1/1996	2.6	5.4	4	0.73
6	8/1/1996	2.8	10.8	6.8	1.48
6	9/1/1996	4.7	10.4	7.55	0.3
6	10/1/1996	-0.4	4.9	2.25	3.71
6	11/1/1996	-2.8	-0.3	-1.55	1.28
6	12/1/1996	-1.8	6	2.1	0.92
6	13/1/1996	3.5	6.8	5.15	1.86
6	14/1/1996	6.1	8	7.05	1.16
6	15/1/1996	6.3	7.9	7.1	0.56
6	16/1/1996	4.6	7.2	5.9	0.51
6	17/1/1996	5.1	7.4	6.25	1.57
6	18/1/1996	4.4	8.2	6.3	2.35
6	19/1/1996	4.3	8.5	6.4	1.05
6	20/1/1996	-3.4	5.7	1.15	2.3
6	21/1/1996	-5.2	0.4	-2.4	5.17
6	22/1/1996	-6.1	-1	-3.55	4.4
6	23/1/1996	-6.9	-1.1	-4	4.19
6	24/1/1996	-8.3	0.6	-3.85	3.05
6	25/1/1996	-6.7	-0.5	-3.6	0.73
6	26/1/1996	-0.6	6.8	3.1	4.89
6	27/1/1996	0.7	5.2	2.95	1.72
6	28/1/1996	-2.6	3.4	0.4	3.84
6	29/1/1996	1.9	3.6	2.75	1.36
6	30/1/1996	1.4	3.5	2.45	1.2
6	31/1/1996	-0.4	1.6	0.6	1.55
6	1/2/1996	-1.4	0.1	-0.65	1.53
6	2/2/1996	-0.2	2.2	1	0.92
6	3/2/1996	1.2	7.6	4.4	5.15
6	4/2/1996	2	5.7	3.85	2.98
6	5/2/1996	3.4	8.7	6.05	2.15
6	6/2/1996	6.8	11.1	8.95	4.6
6	7/2/1996	1	8.7	4.85	3.5
6	8/2/1996	0.7	9.4	5.05	5.92
6	9/2/1996	1.8	8.1	4.95	2.01
6	10/2/1996	5.3	8.3	6.8	4.56
6	11/2/1996	6.7	8.6	7.65	1.08
6	12/2/1996	7.6	13	10.3	2.09
6	13/2/1996	4.6	12.7	8.65	4.46
6	14/2/1996	4.2	9.2	6.7	4.01
6	15/2/1996	4.7	10.6	7.65	3.5
6	16/2/1996	1.3	6.5	3.9	4.52
6	17/2/1996	-2.1	3.2	0.55	7.27
6	18/2/1996	-5.4	3.5	-0.95	7.19
6	19/2/1996	0.6	6.1	3.35	4.11
6	20/2/1996	1.4	6.8	4.1	6.92
6	21/2/1996	1.9	7.2	4.55	2.73
6	22/2/1996	1.9	7.3	4.6	3.7
6	23/2/1996	0.4	11	5.7	6.83
6	24/2/1996	0.9	9.1	5	1.81
6	25/2/1996	3.9	9.9	6.9	5.5
6	26/2/1996	3.8	9.6	6.7	3.82
6	27/2/1996	3.7	13.4	8.55	7.85
6	28/2/1996	2.6	13.1	7.85	8.48
6	29/2/1996	4.7	15.9	10.3	9.92
6	1/3/1996	4.4	16.1	10.25	10.08
6	2/3/1996	5.9	9.9	7.9	7.12
6	3/3/1996	3.1	10.2	6.65	2.08
6	4/3/1996	3.9	13.5	8.7	4.01
6	5/3/1996	4.3	17.2	10.75	10.45
6	6/3/1996	3.3	10.7	7	10.83
6	7/3/1996	3.5	14.4	8.95	10.99
6	8/3/1996	4.9	13.4	9.15	9.77
6	9/3/1996	2.8	11.1	6.95	6.97
6	10/3/1996	4.6	13.1	8.85	10.31
6	11/3/1996	3.1	8.7	5.9	6.48
6	12/3/1996	6.1	10.6	8.35	0.91
6	13/3/1996	1.5	9.3	5.4	3.59
6	14/3/1996	1.7	6.9	4.3	9.81
6	15/3/1996	2	7.3	4.65	8.64
6	16/3/1996	2.4	9.7	6.05	12.99
6	17/3/1996	7.7	13.4	10.55	6.2
6	18/3/1996	6.5	11.5	9	3.65
6	19/3/1996	6.4	11.6	9	11.996
6	20/3/1996	8.8	11.5	10.15	3.31
6	21/3/1996	6	11	8.5	3.47
6	22/3/1996	3.6	8.6	6.1	4.92
6	23/3/1996	2.5	9.2	5.85	12.43
6	24/3/1996	2.8	8.7	5.75	8.51
6	25/3/1996	4.4	7.7	6.05	7.25
6	26/3/1996	3.9	6.9	5.4	4.46
6	27/3/1996	2.2	10.1	6.15	6.6
6	28/3/1996	1.9	7.2	4.55	10.17
6	29/3/1996	0	8.6	4.3	12.67
6	30/3/1996	4.3	12.7	8.5	13.43
6	31/3/1996	6	13.7	9.85	8.4
6	1/4/1996	4	10.5	7.25	8.41
6	2/4/1996	2.5	11.5	7	10.27
6	3/4/1996	5.4	9.1	7.25	7.44
6	4/4/1996	3.4	9.6	6.5	13.27
6	5/4/1996	1	10.6	5.8	12.94
6	6/4/1996	4.3	12	8.15	11.02
6	7/4/1996	4.8	15.4	10.1	12.27
6	8/4/1996	2.5	16.8	9.65	18.13
6	9/4/1996	4	16.2	10.1	19.03
6	10/4/1996	1.6	16.8	9.2	18.38
6	11/4/1996	3.5	17.1	10.3	17.16
6	12/4/1996	3.9	16.2	10.05	13.1
6	13/4/1996	5.4	10.9	8.15	9.08
6	14/4/1996	8.4	13.1	10.75	10.35
6	15/4/1996	4.8	9.4	7.1	4.34
6	16/4/1996	3.7	8.1	5.9	14.49
6	17/4/1996	4	8.3	6.15	3.14
6	18/4/1996	7.7	15.2	11.45	8.62
6	19/4/1996	4.4	12.5	8.45	22.25
6	20/4/1996	4	11.5	7.75	19.67
6	21/4/1996	3	16.3	9.65	16.97
6	22/4/1996	8.2	15.5	11.85	15.73
6	23/4/1996	6.3	13.4	9.85	6.72
6	24/4/1996	6.8	16.8	11.8	11.39
6	25/4/1996	9.1	16.7	12.9	15.74
6	26/4/1996	9	14.8	11.9	5.33
6	27/4/1996	9	15.1	12.05	15.9
6	28/4/1996	8.4	12.6	10.5	7.5
6	29/4/1996	5.8	13	9.4	18.84
6	30/4/1996	4.5	15.2	9.85	16.68
6	1/5/1996	6.7	12.2	9.45	8.27
6	2/5/1996	4.3	12.5	8.4	13.7
6	3/5/1996	3.5	13.2	8.35	23.05
6	4/5/1996	1.3	15.6	8.45	24.98
6	5/5/1996	3	17.6	10.3	22.94
6	6/5/1996	8.6	16.7	12.65	21.28
6	7/5/1996	11.8	18	14.9	9.94
6	8/5/1996	9.4	13.1	11.25	12.11
6	9/5/1996	7.4	12.3	9.85	5.95
6	10/5/1996	6.5	13.7	10.1	17.39
6	11/5/1996	7.8	14.4	11.1	21.33
