Date	Tmax	Tmin	Tavg
01/01/2009	0	-7	-1.6
02/01/2009	0	-3.1	-2.5
03/01/2009	-0.5	-6.2	-4.2
04/01/2009	-2	-11.5	-7.2
05/01/2009	-0.8	-10.7	-6.1
06/01/2009	-2.9	-8.4	-5.3
07/01/2009	-1	-4.9	-3.4
08/01/2009	-0.7	-6.3	-4.5
09/01/2009	-1.8	-12.5	-7.1
10/01/2009	-2.3	-12.1	-7.7
11/01/2009	-7.2	-10.5	-8.9
12/01/2009	-7.5	-9.7	-8.3
13/01/2009	-3.5	-9.3	-5.4
14/01/2009	-3.1	-5.4	-3.8
15/01/2009	0.6	-3.5	-2.2
16/01/2009	-0.1	-3.8	-1.3
17/01/2009	-0.9	-3.7	-3.1
18/01/2009	4.9	-3.6	1.2
19/01/2009	3.5	0.4	2.6
20/01/2009	5.2	2	4.3
21/01/2009	5.3	2.5	4.4
22/01/2009	4.6	2.5	3.4
23/01/2009	3.2	1.5	2.1
24/01/2009	2.9	0.4	2.2
25/01/2009	5.6	1.4	4
26/01/2009	6.5	1.4	3.7
27/01/2009	3.7	0.5	1.4
28/01/2009	3.3	0.5	2
29/01/2009	4.4	0.5	2.3
30/01/2009	2	0.6	1
31/01/2009	3.4	-0.7	0.4
01/02/2009	0	-1.3	-0.8
02/02/2009	0.7	-1.4	-0.1
03/02/2009	2.5	-0.3	1.1
04/02/2009	4	0.6	1.8
05/02/2009	9.4	0.6	5
06/02/2009	6.5	2.7	4.4
07/02/2009	6.9	3	4.4
08/02/2009	6	3.1	4.3
09/02/2009	8.1	0.2	3.2
10/02/2009	6	-1.2	3.5
11/02/2009	8.6	2.2	3.7
12/02/2009	8.2	-3.3	1.9
13/02/2009	5.6	-3	1.1
14/02/2009	6.1	-3.1	1.1
15/02/2009	5.5	-4.3	0
16/02/2009	6.1	-3.2	0.7
17/02/2009	6.8	-0.9	3.1
18/02/2009	3.7	-6.3	-1.2
19/02/2009	2.5	-7.2	-2.2
20/02/2009	4.5	-6.1	-0.7
21/02/2009	9	-4.7	3.7
22/02/2009	4.9	0.4	1.6
23/02/2009	8	-1.5	3.8
24/02/2009	6.7	-0.7	2.3
25/02/2009	7.5	-2.3	2
26/02/2009	8.3	-2.3	2.9
27/02/2009	15	-1.9	6.5
28/02/2009	16.3	-1	7.5
01/03/2009	13.1	1.2	8.3
02/03/2009	11.8	6.3	9.1
03/03/2009	9.4	6.9	7.4
04/03/2009	8.6	5.6	7.2
05/03/2009	7.5	4.5	5.9
06/03/2009	12.1	4.7	7.9
07/03/2009	13.7	3	9
08/03/2009	16.1	0.6	8.6
09/03/2009	9.1	0.9	2.9
10/03/2009	13	-3.5	6.2
11/03/2009	14	1.7	7.4
12/03/2009	13	-1.3	6.8
13/03/2009	15.8	3	9.2
14/03/2009	15.3	0.1	8.1
15/03/2009	15.6	1.5	8.1
16/03/2009	15.3	2.4	9.7
17/03/2009	13.9	2.3	8.2
18/03/2009	15.4	0.4	8.9
19/03/2009	10.6	0.3	4.7
20/03/2009	5	-2.4	2.3
21/03/2009	8	1.5	4.2
22/03/2009	14.9	-3.1	6.2
23/03/2009	15.7	-0.8	8
24/03/2009	8.3	2.3	3.8
25/03/2009	4.4	-2.1	1.4
26/03/2009	14.4	-0.7	7.7
27/03/2009	12.8	2.8	8.9
28/03/2009	12.3	7.5	11.3
29/03/2009	11.7	7.8	8.4
30/03/2009	7.8	5.8	6.9
31/03/2009	9.9	6.5	7.8
01/04/2009	12.2	6.6	10.1
02/04/2009	10.7	9.4	9.9
03/04/2009	17	8.5	12.5
04/04/2009	20.9	8.6	14.5
05/04/2009	22.1	6.9	14.8
06/04/2009	22.5	6.5	15
07/04/2009	23.6	6.6	15.3
08/04/2009	23.2	6.5	15.4
09/04/2009	23.3	7.5	15.7
10/04/2009	22.9	6.1	15.3
11/04/2009	22.9	5.8	14.9
12/04/2009	23.2	5.9	15.8
13/04/2009	21.7	7.1	15
14/04/2009	22	6	13.3
15/04/2009	23.5	6.6	14.9
16/04/2009	20.5	7	14.4
17/04/2009	18	9.6	12.6
18/04/2009	17.8	7.3	11.8
19/04/2009	13.2	7.6	11
20/04/2009	16.7	10.5	12.7
21/04/2009	17.5	11	13.6
22/04/2009	22.2	6.6	15.7
23/04/2009	14.9	7.1	8.3
24/04/2009	12.8	6.4	9.6
25/04/2009	20.6	7.3	14
26/04/2009	18.7	7.9	13.9
27/04/2009	16.9	10.8	13.8
28/04/2009	15.6	11	12.3
29/04/2009	14.7	9.6	10.8
30/04/2009	16	8.2	11
01/05/2009	23	6.8	14.1
02/05/2009	20.3	7.8	12.5
03/05/2009	18	9	12.5
04/05/2009	20.2	8.3	14
05/05/2009	17.7	11	12.8
06/05/2009	20	8	15
07/05/2009	25.7	12	18.5
08/05/2009	24.5	9.8	18.1
09/05/2009	23.7	11	18.3
10/05/2009	25.7	11.6	19.5
11/05/2009	25.3	11.6	19.5
12/05/2009	25.9	13.7	20.2
13/05/2009	20.5	13.8	16.2
14/05/2009	24.9	14.3	18.4
15/05/2009	23.1	10	16.8
16/05/2009	24.6	11.8	19
17/05/2009	27.2	11.9	20.9
18/05/2009	29.9	13.5	21.6
19/05/2009	26.6	14.5	21.8
20/05/2009	25	14.8	20.6
21/05/2009	28.5	12.8	22.4
22/05/2009	29.3	15.3	23.1
23/05/2009	29.7	14.6	23.7
24/05/2009	29.7	17.2	22.1
25/05/2009	32.2	14.8	22.1
26/05/2009	32.2	15.9	25.5
27/05/2009	26.3	11.7	14.3
28/05/2009	21.7	11.1	17.1
29/05/2009	21	10.7	14.5
30/05/2009	19.7	7.8	11.7
31/05/2009	18.5	8.3	13.7
01/06/2009	21.6	8.4	15.6
02/06/2009	21.7	10.2	17.2
03/06/2009	26	12.2	19.9
04/06/2009	20.3	13.7	14.7
05/06/2009	16.7	12.3	15.2
06/06/2009	25.6	14.3	20.4
07/06/2009	20.8	13.7	15.6
08/06/2009	24.5	11.5	18.6
09/06/2009	25.7	12	20.1
10/06/2009	25	13.1	19.6
11/06/2009	25.2	12.4	17.8
12/06/2009	24.4	12.7	20
13/06/2009	26	12.3	19.8
14/06/2009	29.5	13.1	22.9
15/06/2009	30.3	15.9	23.5
16/06/2009	30.7	20	23.8
17/06/2009	22.6	15	18.9
18/06/2009	29.5	12.4	22.6
19/06/2009	31.3	15	25.1
20/06/2009	25.3	10.5	13.8
21/06/2009	20.8	11.1	16.7
22/06/2009	17.6	11.3	14.6
23/06/2009	15	11.8	13.6
24/06/2009	18.3	12.7	16
25/06/2009	24.2	15.1	18.4
26/06/2009	26.8	14.4	19.3
27/06/2009	24.7	16.5	19.2
28/06/2009	26.1	16	20.6
29/06/2009	24.8	16.6	20.7
30/06/2009	26.4	16.5	21.9
01/07/2009	27.5	17	21.7
02/07/2009	28.2	17.6	23.1
03/07/2009	28	17	22.4
04/07/2009	28.5	18	23.3
05/07/2009	28.2	17.5	22.2
06/07/2009	25.4	16.4	20.5
07/07/2009	22.4	16.9	18.3
08/07/2009	17.5	13.2	15.4
09/07/2009	22.6	11.6	17.7
10/07/2009	18.5	14.3	14.9
11/07/2009	21.5	12.3	16.8
12/07/2009	24.9	11	19.4
13/07/2009	28	13.4	22.2
14/07/2009	29.4	16	24.2
15/07/2009	32.2	17.8	26.2
16/07/2009	31.3	19.4	25.8
17/07/2009	31.5	18.4	25.8
18/07/2009	25.6	14	17.5
19/07/2009	25.5	11.3	19
20/07/2009	27.5	13.1	21.6
21/07/2009	29.8	14.4	23.2
22/07/2009	29.6	16.5	24.4
23/07/2009	31.8	20.6	26
24/07/2009	31.6	17.1	25.4
25/07/2009	25.4	17.2	19.4
26/07/2009	26.2	12.9	20.3
27/07/2009	29.1	13	22.4
28/07/2009	28.4	15.5	22.4
29/07/2009	28.5	16.1	23.2
30/07/2009	32.1	16.5	25
31/07/2009	27.8	18.9	23.6
01/08/2009	30.6	17	24.9
02/08/2009	32.8	17.7	25.8
03/08/2009	28	16.7	20.6
04/08/2009	21.6	17.1	19.1
05/08/2009	26.2	16.9	21.4
06/08/2009	28.1	15.1	22.5
07/08/2009	27.6	16	22.5
08/08/2009	29	16	22.9
09/08/2009	28.2	17.3	22.6
10/08/2009	30	16.8	23.6
11/08/2009	29.1	17.4	22.5
12/08/2009	28.2	16.1	22.2
13/08/2009	31	17.6	24.5
14/08/2009	26	17.5	21.4
15/08/2009	29.1	16.2	22.9
16/08/2009	31.3	16.9	24.6
17/08/2009	32.5	18.3	23.9
18/08/2009	31.1	17	24.4
19/08/2009	31.5	18.2	24.9
20/08/2009	30.3	18.6	24.8
21/08/2009	32.1	18.2	25.4
22/08/2009	30	17.2	21.3
23/08/2009	25.2	15.9	19.7
24/08/2009	25	13.2	20.1
25/08/2009	27	13.2	20.1
26/08/2009	30.3	14	23.2
27/08/2009	32.6	16.9	24.4
28/08/2009	32.9	17.5	25
29/08/2009	24.9	15.4	17.4
30/08/2009	22.7	14.8	17.1
31/08/2009	24.6	9.8	17.9
01/09/2009	28.9	11.7	20.1
02/09/2009	29.7	13.8	22.3
03/09/2009	28	17.1	22.5
04/09/2009	23.5	15.8	18
05/09/2009	15.8	11.1	13.1
06/09/2009	21.5	7.9	14.5
07/09/2009	22	7.6	14.9
08/09/2009	23.3	9	16
09/09/2009	22.1	12.8	16.7
10/09/2009	25.2	13.4	18.2
11/09/2009	22.5	12.3	16.7
12/09/2009	25.1	13.1	18.3
13/09/2009	22.5	12	17.4
14/09/2009	18.2	14.9	15.2
15/09/2009	21.5	13.4	17.7
16/09/2009	20.7	14.7	17.3
17/09/2009	22.7	16.2	18
18/09/2009	22.5	15.6	18.5
19/09/2009	24.1	15.4	18.7
20/09/2009	23.8	14.6	18
21/09/2009	25	13.3	18.3
22/09/2009	24.8	12.7	17.9
23/09/2009	25.3	11.2	17.5
24/09/2009	25	11.3	17.3
25/09/2009	23	12.9	18.1
26/09/2009	22.2	14	16.5
27/09/2009	21	9.5	15.5
28/09/2009	23.5	9.8	15.9
29/09/2009	24.4	11.2	17
30/09/2009	24	11.4	17.3
