date Tavg Tmax Tmin RR IrradiationMJ
01/01/2004 -0.0 0.3 -0.7 -0.8 0.5
02/01/2004 -1.1 -0.1 -1.9 -0.2 1.0
03/01/2004 -0.1 1.7 -1.7 16.0 0.3
04/01/2004 0.8 2.7 -2.1 6.3 1.6
05/01/2004 0.6 3.0 -2.9 4.4 0.8
06/01/2004 3.0 4.4 0.7 6.2 0.3
07/01/2004 4.0 5.2 3.0 1.6 1.3
08/01/2004 5.0 6.3 3.9 0.0 0.5
09/01/2004 3.7 4.4 2.5 0.4 0.8
10/01/2004 3.1 6.2 2.1 3.2 1.1
11/01/2004 6.1 7.3 3.9 22.3 0.1
12/01/2004 4.3 6.3 2.6 13.8 1.6
13/01/2004 3.2 4.5 1.9 2.4 1.2
14/01/2004 2.0 3.5 1.0 0.0 0.9
15/01/2004 1.9 2.7 0.7 0.8 0.5
16/01/2004 1.1 2.6 -1.0 0.1 1.4
17/01/2004 -1.1 1.3 -3.1 -0.0 2.0
18/01/2004 0.9 4.6 -2.3 9.6 0.3
19/01/2004 1.7 4.3 -1.8 0.8 0.9
20/01/2004 -1.6 -0.3 -2.6 0.0 1.0
21/01/2004 -1.5 -1.0 -2.4 -0.1 1.1
22/01/2004 1.1 3.4 -1.3 0.1 0.7
23/01/2004 5.0 6.3 3.0 3.9 0.4
24/01/2004 3.6 5.6 1.4 15.3 0.8
25/01/2004 2.4 3.5 1.6 0.8 1.6
26/01/2004 1.9 3.0 0.3 0.7 1.5
27/01/2004 -0.7 1.2 -3.8 2.4 2.6
28/01/2004 -4.6 -2.7 -7.3 6.6 1.8
29/01/2004 -4.7 -2.8 -7.3 0.4 4.1
30/01/2004 -1.0 2.6 -5.9 2.8 1.4
31/01/2004 0.3 2.3 -1.8 0.2 3.3
01/02/2004 -0.2 2.5 -3.7 0.8 3.0
02/02/2004 3.9 4.7 2.4 1.8 1.5
03/02/2004 7.1 9.1 4.5 17.4 0.3
04/02/2004 6.5 7.3 4.7 1.0 1.2
05/02/2004 5.8 7.1 4.2 6.3 1.0
06/02/2004 5.4 6.7 2.8 6.7 1.3
07/02/2004 3.7 4.9 0.9 10.1 1.1
08/02/2004 0.9 3.5 -1.1 0.1 2.9
09/02/2004 -0.7 1.0 -2.0 0.3 4.4
10/02/2004 0.9 2.9 -1.1 4.3 0.8
11/02/2004 0.1 1.2 -1.7 0.7 2.4
12/02/2004 2.7 4.5 1.1 0.2 3.1
13/02/2004 3.4 5.4 1.6 0.0 2.0
14/02/2004 2.3 6.2 -0.5 0.1 4.8
15/02/2004 -0.0 4.8 -2.3 0.1 3.6
16/02/2004 1.8 3.6 -0.3 1.0 2.2
17/02/2004 4.0 5.6 2.8 -0.0 5.8
18/02/2004 4.5 7.5 1.9 0.1 5.0
19/02/2004 2.3 4.8 0.6 0.1 4.7
20/02/2004 1.9 4.0 -0.5 -0.1 2.2
21/02/2004 2.4 4.7 1.0 0.1 6.5
22/02/2004 0.7 3.3 -0.9 0.2 6.1
23/02/2004 0.3 3.5 -2.6 3.8 7.6
24/02/2004 1.4 4.4 -1.3 6.5 4.3
25/02/2004 1.7 3.5 -1.4 2.5 3.8
26/02/2004 0.6 3.6 -0.7 4.1 3.3
27/02/2004 -1.5 2.2 -4.4 0.2 9.7
28/02/2004 -2.5 1.3 -5.6 0.0 8.3
29/02/2004 -0.4 3.8 -5.1 -0.1 7.2
01/03/2004 4.9 6.2 3.3 1.4 4.0
