Row	Onset
1	21/07/1995
2	20/07/1995
3	22/07/1995
4	17/07/1995
5	22/07/1995
6	23/07/1995
7	24/07/1995
8	22/07/1995
9	22/07/1995
10	22/07/1995
11	21/07/1995
12	23/07/1995
13	21/07/1995
14	22/07/1995
15	22/07/1995
16	18/07/1995
17	23/07/1995
18	22/07/1995
19	23/07/1995
20	23/07/1995
21	16/07/1995
22	22/07/1995
23	23/07/1995
24	21/07/1995
25	23/07/1995
26	22/07/1995
27	23/07/1995
28	22/07/1995
29	20/07/1995
30	22/07/1995
31	22/07/1995
32	21/07/1995
33	20/07/1995
34	23/07/1995
35	21/07/1995
36	22/07/1995
37	21/07/1995
38	28/07/1995
39	03/06/1995
40	28/07/1995
41	26/07/1995
42	25/07/1995
43	02/08/1995
44	31/07/1995
45	31/07/1995
46	01/08/1995
47	30/07/1995
48	29/07/1995
49	31/07/1995
50	29/07/1995
51	29/07/1995
52	30/07/1995
53	25/07/1995
54	31/07/1995
55	27/07/1995
56	28/07/1995
57	27/07/1995
58	26/07/1995
59	27/07/1995
60	28/07/1995
61	29/07/1995
62	28/07/1995
63	28/07/1995
64	27/07/1995
65	26/07/1995
66	30/07/1995
67	28/07/1995
68	28/07/1995
69	29/07/1995
70	26/07/1995
71	27/07/1995
72	28/07/1995
73	27/07/1995
74	26/07/1995
75	27/07/1995
76	28/07/1995
77	26/07/1995
78	27/07/1995
79	28/07/1995
80	26/07/1995
81	27/07/1995
82	29/07/1995
83	30/07/1995
84	29/07/1995
85	29/07/1995
86	29/07/1995
87	28/07/1995
88	31/07/1995
89	29/07/1995
90	28/07/1995
91	29/07/1995
92	25/07/1995
93	27/07/1995
94	30/07/1995
95	20/07/1995
96	20/07/1995
97	20/07/1995
98	21/07/1995
99	21/07/1995
100	22/07/1995
101	27/07/1995
102	24/07/1995
103	23/07/1995
104	23/07/1995
105	23/07/1995
106	23/07/1995
107	21/07/1995
108	21/07/1995
109	26/07/1995
110	19/07/1995
111	23/07/1995
112	23/07/1995
113	20/07/1995
114	23/07/1995
115	23/07/1995
116	21/07/1995
117	26/07/1995
118	22/07/1995
119	26/07/1995
120	26/07/1995
121	22/07/1995
122	23/07/1995
123	24/07/1995
124	23/07/1995
125	21/07/1995
126	26/07/1995
127	22/07/1995
128	23/07/1995
129	21/07/1995
130	19/07/1995
131	19/07/1995
132	18/07/1995
133	18/07/1995
134	19/07/1995
135	20/07/1995
136	21/07/1995
137	21/07/1995
138	19/07/1995
139	20/07/1995
140	20/07/1995
141	23/07/1995
142	22/07/1995
143	22/07/1995
144	22/07/1995
145	21/07/1995
146	23/07/1995
147	24/07/1995
148	25/07/1995
149	23/07/1995
150	24/07/1995
151	25/07/1995
152	26/07/1995
153	27/07/1995
154	27/07/1995
155	27/07/1995
156	26/07/1995
157	27/07/1995
158	25/07/1995
159	26/07/1995
160	27/07/1995
161	23/07/1995
162	01/08/1995
163	02/08/1995
164	02/08/1995
165	01/08/1995
166	01/08/1995
167	02/08/1995
168	04/08/1995
