Date	Tavg	Tmin	Tmax	unknown1	unknown2	unknown3
01/03/2009	6.6	2.5	10.3	80	0	1367.2
02/03/2009	6.8	5.5	9.5	84	4.6	1653
03/03/2009	6.3	3.9	10.1	77	0	1907.1
04/03/2009	4.6	2	8.6	81	11.8	1435
05/03/2009	1.8	0.4	3.4	90	2.8	1025.9
06/03/2009	1.6	0	3.1	88	1.2	969.5
07/03/2009	3.2	-0.8	8.1	69	0	4375
08/03/2009	4.5	-2.9	11.7	71	2.4	3506.9
09/03/2009	3.9	2.4	6.5	74	1.4	1724.6
10/03/2009	3.5	1.9	6.1	80	2.8	1381
11/03/2009	5.7	0.3	10.8	70	1.8	3485.8
12/03/2009	5.1	-1.5	11.9	62	0	4197.8
13/03/2009	8.5	1.7	16	63	0	4608.7
14/03/2009	10.3	2.8	17.3	63	0	3833.8
15/03/2009	10.1	7	15	63	0	4102.4
16/03/2009	8.6	3.9	13.3	59	0	4866.8
17/03/2009	9.2	2.1	14.9	60	0	4814.5
18/03/2009	9.4	4.8	15.1	56	0	4913.3
19/03/2009	8.7	3.3	14.7	40	0	4867.4
20/03/2009	3.5	-0.2	6	50	0	5140
21/03/2009	2.9	-1	7.8	48	0	5152.1
22/03/2009	5.9	-0.4	12.7	41	0	5270.2
23/03/2009	8.2	0.3	14.9	54	0	5087.6
24/03/2009	4.7	1.2	9.7	68	2.4	2509
25/03/2009	3.7	1.1	6.2	74	1.6	1604.7
26/03/2009	7.5	3.5	11.5	69	4	4210.8
27/03/2009	11	8.2	14.2	55	0	3541.6
28/03/2009	7.4	3.3	11	75	4.4	716.3
29/03/2009	5.5	2.3	9.7	78	4.8	3182.4
30/03/2009	6	3.9	8.3	71	0	1918.8
31/03/2009	6.3	1.6	9.3	76	0	3680.1
01/04/2009	8.9	6.4	13.7	70	0	4765.2
02/04/2009	9.1	7.2	13.8	77	0	2432.6
03/04/2009	12.1	7.8	17.6	67	0.8	5234.9
04/04/2009	12.5	6.3	18.8	64	0	5561.5
05/04/2009	12.9	6.3	18.8	65	0	5406.8
06/04/2009	13.8	7	20.5	61	0	5375.6
07/04/2009	12.7	6.3	18.2	64	0	4229.1
08/04/2009	13	8.8	17.7	63	0	4656.5
09/04/2009	14.2	6.2	21.7	57	0	5926.7
10/04/2009	14.7	7.2	21.8	61	0	5535.5
11/04/2009	14.3	8.4	21.1	61	0	4623.4
12/04/2009	14.2	9.1	20.9	63	0	4899.4
13/04/2009	15	9.3	22	64	0	5930.7
14/04/2009	15.3	8.8	22.9	61	0	6171
15/04/2009	15.5	9	21.9	57	0	4745.5
16/04/2009	9.9	6.5	13.8	79	10.8	2181
17/04/2009	10.1	5.8	15.2	69	0	5332.2
18/04/2009	10.7	5.2	17.3	66	0	6137.9
19/04/2009	11	5.3	15.6	70	0	3779.3
20/04/2009	13.1	7.8	18	71	0	5470.9
21/04/2009	15	8.8	21.2	64	0	5993.4
22/04/2009	15.8	9.5	21.5	57	0	6476.3
23/04/2009	13.4	7.8	18.7	49	0	6744.5
24/04/2009	10.8	5.9	16.4	58	0	6388.9
25/04/2009	14.1	5.7	21.4	55	0	6283.9
26/04/2009	13	10.8	16.6	70	0	2103.8
27/04/2009	9.5	8	11.7	90	6.8	1716.4
28/04/2009	8.8	6.3	13.8	82	7.2	3370.6
29/04/2009	7.5	5.6	10.7	80	3.2	3584.8
30/04/2009	9.9	3.6	15.9	68	0	6680.4
