FarmID	FarmType	SoilType	FarmSize	FarmRealID
1	Other	Sand	business	243581
2	Other	Sand	private	420865
3	Other	Sand	business	480258
4	Cattle	Other	business	253642
5	Cattle	Other	business	258037
6	Cattle	Other	business	275689
7	Cattle	Other	business	422591
8	Cattle	Other	business	440123
9	Cattle	Clay	private	267816
10	Cattle	Clay	business	373965
11	Cattle	Sand	business	235226
12	Cattle	Sand	private	241891
13	Cattle	Sand	private	247119
14	Cattle	Sand	business	257963
15	Cattle	Sand	business	271000
16	Cattle	Sand	business	273889
17	Cattle	Sand	private	279642
18	Cattle	Sand	business	283098
19	Cattle	Sand	private	290902
20	Cattle	Sand	business	316184
21	Cattle	Sand	business	327780
22	Cattle	Sand	business	328434
23	Cattle	Sand	business	328561
24	Cattle	Sand	private	344335
25	Cattle	Sand	business	346426
26	Cattle	Sand	business	359074
27	Cattle	Sand	business	359665
28	Cattle	Sand	business	363943
29	Cattle	Sand	business	365138
30	Cattle	Sand	private	382499
31	Cattle	Sand	private	401040
32	Cattle	Sand	business	409583
33	Cattle	Sand	business	415675
34	Cattle	Sand	business	422931
35	Cattle	Sand	business	425248
36	Cattle	Sand	business	425576
37	Cattle	Sand	private	432097
38	Cattle	Sand	private	432238
39	Cattle	Sand	business	436563
40	Cattle	Sand	business	446242
41	Cattle	Sand	business	457886
42	Cattle	Sand	business	458346
43	Cattle	Sand	private	460819
44	Cattle	Sand	private	466168
45	Cattle	Sand	business	467185
46	Cattle	Sand	business	474840
47	Cattle	Sand	business	475004
48	Cattle	Sand	business	476636
49	Cattle	Sand	business	485688
50	Cattle	Sand	private	492129
51	Cattle	Sand	business	505243
52	Cattle	Sand	business	540096
53	Cattle	Sand	business	709961
54	Plant	Other	business	242040
55	Plant	Other	business	254383
56	Plant	Other	business	258283
57	Plant	Other	private	262380
58	Plant	Other	business	272531
59	Plant	Other	private	279773
60	Plant	Other	business	296159
61	Plant	Other	private	301871
62	Plant	Other	business	303436
63	Plant	Other	business	333903
64	Plant	Other	business	343731
65	Plant	Other	private	345150
66	Plant	Other	private	374395
