Identifier	FarmType	SoilType	Fixed	Fodder	FUKey	rotationMax	rotationMin	Nnorm	sellingPrice	subsidy	priceLM	priceHerb	priceFi	priceG	priceH	priceW	alfa	beta1	beta2	alfaHerb	betaHerb 	alfaFi	betaFi	alfaG	betaG	alfaH	betaH	alfaW	betaW
SBarley	Other	Sand	NO	NO	0	27.47	16.67	135	83	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Other	Sand	NO	NO	0	0	0	114	75	2240	3018	165	200	30	0	0	27.54	0.2998	-0.0012	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Other	Sand	YES	NO	0	0	0	109	83	2240	3018	445	80	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
WBarley	Other	Sand	NO	NO	0	32.13	3.83	157	93	2240	3123	300	430	30	0	0	21.4042	0.2785	-0.0007	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Other	Sand	NO	NO	0	34.31	0	171	94	2240	3276	300	358	30	0	0	37.5735	0.2676	-0.0006	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Other	Sand	NO	NO	0	0	0	129	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Other	Sand	NO	NO	0	0	0	145	80	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Other	Sand	NO	NO	0	0	0	122	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Other	Sand	NO	NO	0	0	0	164	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
OOilseed	Other	Sand	NO	NO	0	0	0	123	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
Peas	Other	Sand	YES	NO	0	0	0	0	97	2240	3223	235	83	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
OLSeed	Other	Sand	YES	NO	0	0	0	0	97	2240	3223	100	100	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
GrassSeed	Other	Sand	NO	NO	0	0	0	124	0	2240	2924	460	400	0	0	0	683.35	7.3975	-0.0256	40	50	17.647	3	0	0	0	0	0	0
Potato	Other	Sand	YES	NO	0	0	0	184	0	2240	11213	286	198	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
PotatoFood	Other	Sand	YES	NO	0	0	0	155	0	2240	14570	286	193	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
SugarBeet	Other	Sand	YES	NO	0	0	0	131	0	2240	8037	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
GrassClover	Other	Sand	NO	NO	0	20.45	5.36	371	0	2240	2646	300	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
OLSeedCut	Other	Sand	NO	NO	0	0	0	0	0	2240	3223	717	80	30	0	0	58.939	0.1586	-0.0002	5.9	12	3.1496	4	1.4778	3	0	0	0	0
SCerealSil	Other	Sand	NO	NO	0	0	0	132	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	7.767	8	8.0645	5	2.9126	3	0	0	0	0
PeasSil	Other	Sand	NO	NO	0	0	0	0	0	2240	4612	235	170	30	0	0	37.4708	0.4569	-0.0012	5.9	12	3.1496	4	1.4778	3	0	0	0	0
MaizeSil	Other	Sand	NO	NO	0	0	0	181	0	2240	5649	445	80	30	170	150	137.0854	0.2626	-0.0008	8.1761	13	150	3	2.5157	4	1.8868	3	3.1447	5
WCerealSil	Other	Sand	NO	NO	0	0	0	181	0	2240	4612	232	246	30	0	0	37.4708	0.4569	-0.0012	9.6296	13	8.0645	5	2.9126	3	0	0	0	0
SCerealG	Other	Sand	NO	NO	0	3.74	0	107	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
PerGrassLow	Other	Sand	NO	NO	0	0	0	69	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
PerGrassNorm	Other	Sand	NO	NO	0	15.01	13.78	133	0	500	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv1	Other	Sand	NO	NO	0	0	0	80	0	1920	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassEnv2	Other	Sand	NO	NO	0	0	0	0	0	1880	2606	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
GrassRot	Other	Sand	NO	NO	0	0	0	344	0	2240	2764	300	80	0	0	0	33.252	0.3536	-0.0001	60	3	150	3	0	0	0	0	0	0
Setaside	Other	Sand	YES	NO	0	7.66	6.82	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncult	Other	Sand	YES	NO	0	1.53	0	0	0	2240	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OUncult	Other	Sand	YES	NO	0	0	0	0	0	2240	534	100	100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FodderBeet	Other	Sand	NO	NO	0	0	0	184	0	2240	10191	625	158	0	170	150	98.714	0.5878	-0.0025	0	0	28.125	18	0	0	1.7544	4	21.93	50
CloverGrz	Other	Sand	YES	NO	0	0	0	371	0	2240	2646	717	80	0	0	0	58.939	0.1586	-0.0002	60	3	150	3	0	0	0	0	0	0
Veg	Other	Sand	YES	NO	0	0	0	265	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Fruit	Other	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
FruitTree	Other	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OSpecCrops	Other	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ChrisTree	Other	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
EnergyFor	Other	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Other	Other	Sand	YES	NO	0	0	0	0	1	0	0	100	100	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SBarley	Cattle	Other	NO	YES	102	37.44	9.51	135	0	2240	3018	165	239	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
Oats	Cattle	Other	NO	YES	87	10.83	0	114	0	2240	3018	165	200	30	0	0	27.54	0.2998	-0.0012	8.7379	9	8.7379	8	1.8519	2.5	0	0	0	0
OSCrops	Cattle	Other	YES	NO	0	0	0	109	83	2240	3018	445	80	30	0	0	26.4345	0.2544	-0.0009	7.767	8	25.806	16	2.472	2.5	0	0	0	0
WBarley	Cattle	Other	NO	YES	103	0	0	157	0	2240	3123	300	430	30	0	0	21.4042	0.2785	-0.0007	9.6296	13	10.989	10	2.2222	3	0	0	0	0
WWheat	Cattle	Other	NO	NO	0	29.97	0	171	94	2240	3276	300	358	30	0	0	37.5735	0.2676	-0.0006	12.593	17	23.077	21	2.5926	3.5	0	0	0	0
WRye	Cattle	Other	NO	NO	0	0	0	129	72	2240	2869	300	352	30	0	0	23.9105	0.3517	-0.0012	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
Triticale	Cattle	Other	NO	YES	113	0	0	145	0	2240	2869	300	352	30	0	0	17.9608	0.2425	-0.0005	4.4444	6	7.6923	7	2.2222	3	0	0	0	0
SRape	Cattle	Other	NO	NO	0	0	0	122	163	2240	2950	406	96	0	170	0	20.7141	0.0375	-0.0001	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
WRape	Cattle	Other	NO	NO	0	0	0	164	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	0	0	14.516	9	0	0	3.1579	3	0	0
OOilseed	Cattle	Other	NO	NO	0	0	0	123	163	2240	2950	495	141	0	170	0	24.5493	0.1444	-0.0003	5.2632	5	30.645	19	0	0	1.5789	1.5	0	0
Peas	Cattle	Other	YES	NO	0	19.07	0	0	97	2240	3223	235	83	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
OLSeed	Cattle	Other	YES	NO	0	0	0	0	97	2240	3223	100	100	30	0	0	40	0	0	5.9	12	3.1496	4	1.4778	3	0	0	0	0
GrassSeed	Cattle	Other	NO	NO	0	11.52	0	124	0	2240	2924	460	400	0	0	0	683.35	7.3975	-0.0256	40	50	17.647	3	0	0	0	0	0	0
Potato	Cattle	Other	YES	NO	0	0	0	184	0	2240	11213	286	198	0	0	0	349.75	1.4446	-0.0028	0	0	0	0	0	0	0	0	0	0
