*crop_optimiser::Farm	FarmType	SoilType	FarmSize	FarmRealID
151	Plant	Sand	private	368886
152	Plant	Sand	business	370544
153	Plant	Sand	private	370625
154	Plant	Sand	business	370861
155	Plant	Sand	private	372193
156	Plant	Sand	private	378037
157	Plant	Sand	business	378617
158	Plant	Sand	business	380033
159	Plant	Sand	business	380517
160	Plant	Sand	private	382512
161	Plant	Sand	business	382935
162	Plant	Sand	private	387290
163	Plant	Sand	private	388550
164	Plant	Sand	business	390565
165	Plant	Sand	business	394393
166	Plant	Sand	business	399583
167	Plant	Sand	business	407181
168	Plant	Sand	business	411467
169	Plant	Sand	private	415217
170	Plant	Sand	business	415771
171	Plant	Sand	private	421061
172	Plant	Sand	private	421565
173	Plant	Sand	business	424112
174	Plant	Sand	business	424344
175	Plant	Sand	business	424969
176	Plant	Sand	private	426140
177	Plant	Sand	private	427282
178	Plant	Sand	business	429525
179	Plant	Sand	business	431267
180	Plant	Sand	business	435835
181	Plant	Sand	private	436293
182	Plant	Sand	business	441196
183	Plant	Sand	business	441366
184	Plant	Sand	private	441416
185	Plant	Sand	business	442245
186	Plant	Sand	business	444415
187	Plant	Sand	business	444449
188	Plant	Sand	business	444599
189	Plant	Sand	business	447745
190	Plant	Sand	business	448095
191	Plant	Sand	private	450516
192	Plant	Sand	business	451093
193	Plant	Sand	business	451246
194	Plant	Sand	private	451271
195	Plant	Sand	business	451607
196	Plant	Sand	private	452430
197	Plant	Sand	private	455358
198	Plant	Sand	private	458268
199	Plant	Sand	business	460899
200	Plant	Sand	business	461387
201	Plant	Sand	private	463686
202	Plant	Sand	business	468838
203	Plant	Sand	private	469085
204	Plant	Sand	business	469468
205	Plant	Sand	business	470402
206	Plant	Sand	business	476954
207	Plant	Sand	private	478336
208	Plant	Sand	business	479595
209	Plant	Sand	private	479738
210	Plant	Sand	business	481129
211	Plant	Sand	business	483070
212	Plant	Sand	business	486900
213	Plant	Sand	business	488464
214	Plant	Sand	business	489006
215	Plant	Sand	business	489470
216	Plant	Sand	private	489607
217	Plant	Sand	business	491539
218	Plant	Sand	private	494420
219	Plant	Sand	private	496542
220	Plant	Sand	business	497315
221	Plant	Sand	business	497557
222	Plant	Sand	business	500534
223	Plant	Sand	private	501634
224	Plant	Sand	private	502133
225	Plant	Sand	business	511936
226	Plant	Sand	private	512014
227	Plant	Sand	private	515603
228	Plant	Sand	business	517878
229	Plant	Sand	business	519077
230	Plant	Sand	private	521510
231	Plant	Sand	business	524568
232	Plant	Sand	business	534605
233	Plant	Sand	business	540455
234	Plant	Sand	private	544135
235	Plant	Sand	private	544250
236	Plant	Sand	business	549209
237	Plant	Sand	private	553083
238	Plant	Sand	business	560602
239	Plant	Sand	private	709272
240	Plant	Sand	private	734238
241	Plant	Sand	private	747011
242	Plant	Sand	business	783110
243	Plant	Sand	business	884839
244	Plant	Sand	business	918467
245	Plant	Sand	private	933530
246	Plant	Sand	private	933974
247	Plant	Sand	private	1168785
248	Plant	Sand	private	1172794
249	Plant	Sand	business	1176662
250	Plant	Sand	private	1181581
251	Plant	Sand	business	1189760
252	Plant	Sand	business	1190777
253	Plant	Sand	business	1255252
254	Plant	Sand	private	1256662
255	Pig	Other	business	231241
256	Pig	Other	business	266196
257	Pig	Other	business	317415
258	Pig	Other	private	366029
259	Pig	Other	business	421785
260	Pig	Other	business	463228
261	Pig	Other	business	491609
262	Pig	Other	business	494930
