*FarmType	*SoilType	*FarmSize	SBarley	Oats	OSCrops	WBarley	WWheat	WRye	Triticale	SRape	WRape	OOilseed	Peas	OLSeed	GrassSeed	Potato	PotatoFood	SugarBeet	GrassClover	OLSeedCut	SCerealSil	PeasSil	MaizeSil	WCerealSil	SCerealG	PerGrassLow	PerGrassNorm	GrassEnv1	GrassEnv2	GrassRot	Setaside	Uncult	OUncult	FodderBeet	CloverGrz	Veg	Fruit	FruitTree	OSpecCrops	ChrisTree	EnergyFor	Other
Other	Other	business	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other	Clay	business	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other	Sand	business	27.47	0	0	32.13	34.31	0	0	0	0	0	0	0	0	0	0	0	20.45	0	0	0	0	0	3.74	0	15.01	0	0	0	7.66	1.53	0	0	0	0	0	0	0	0	0	0
Cattle	Other	business	37.44	10.83	0	0	29.97	0	0	0	0	0	19.07	0	11.52	0	0	0	52.34	0	0	0	20.32	0	0	0	23.01	0	0	1.47	9.92	0	0	0	0	0	0	0	0	0	0	0
Cattle	Clay	business	30	0	33.36	0	10.28	0	0	0	0	0	0	0	0	0	0	0	30.99	0	5.93	0	0	0	0	0	0	0	0	0	7.73	0	0	0	0	0	0	0	0	0	0.35	0
Cattle	Sand	business	41.01	5.23	0	18.16	53.36	0	18.07	0	5.48	2.94	0	0	0	0	0	8.62	71.37	0	89.25	6.92	26.74	31.38	7.37	19.31	17.45	3.3	4.44	5.97	9.59	0.5	0	0	0	3.79	0	0	0	27.07	0	0.93
Plant	Other	business	23.95	8.51	3.06	35.73	64.61	24.49	8.33	1.92	15.01	0	30.23	0	28.57	10.41	0	0	60.26	0	23.22	0	14.55	0	0	13.05	7.36	0	33.75	3.54	15.17	11.47	0	0	0	19.28	0	0	0	6.42	5.75	1.69
Plant	Clay	business	38.35	1.57	0	17.82	75.14	0	62.18	0	15.99	0	0	0	0	0	0	0	12.82	0	0	0	0	0	0	7.09	8.9	0	0	0	11.3	0	0	0	0	0	0	0	0	11.17	0	0
Plant	Sand	business	46.57	5.32	3.07	28.63	100	13.67	26.45	0	9.13	0	22.45	43.84	31.68	0	23.56	0	85.54	6.37	19.43	42.92	2.04	16.57	0	35.17	10.08	18.18	13.23	6.42	27.4	37.15	13.7	1.57	6.78	79.16	0	0	26.68	74.52	2.62	31.51
Pig	Other	business	40.68	0	0	15.8	69.35	0	5.6	0	16.54	0	11.85	0	0	0	0	0	23.2	0	0	0	0.57	0	0	2.39	5.36	0	0	15.91	10.31	0.5	0	0	0	0	0	0	0	0.37	0	0
Pig	Clay	business	69.37	0	0	14.85	70.94	0	0	0	14.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.06	0	0	0	0	8.31	10.32	0	0	0	0	0	0	0	0	0	0
Pig	Sand	business	33.88	7.67	0	18.66	61.45	4.38	16.37	0	16.67	0	0	0	5.23	0	0	0	12.54	0	0	16.16	1.33	0	0	2.26	3.38	0	0	0.69	12.39	8.99	0	0	0	0	0	0	0	9.6	1.76	0
Other	Other	private	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other	Clay	private	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other	Sand	private	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Cattle	Other	private	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cattle	Clay	private	45.26	0	0	23.16	31.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cattle	Sand	private	84.21	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45	0	70.63	0	0	0	0	0	0	100	100	0	0	43.83	0	0	0	0	0	0	1.62	0	0	0	0	0
Plant	Other	private	46.81	0	0	10.13	53.19	0	0	0	0	0	0	0	0	0	0	0	32.99	0	0	0	0	0	0	100	0	64.47	0	0	100	75.59	0	0	0	0	0	0	0	86.63	0	0
Plant	Clay	private	0	0	0	0	23.81	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant	Sand	private	100	18.86	15.63	94.81	66.62	0	70.24	0	17.36	0	0	0	29.61	0	100	0	100	0	66	0	61.32	100	61.18	100	100	0	29.26	86.67	0	100	12.73	0	0	0	0	12.66	0	87.72	0	26.42
Pig	Other	private	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pig	Clay	private	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Pig	Sand	private	0	0	0	0	0	0	74.04	0	0	0	0	0	0	0	0	0	19.19	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
