Date	Time	DecimalDay	Tavg	SWPkPa
01/01/2008	1:00	0.04	10.04	-33.49811
01/01/2008	2:00	0.08	7.5	-33.79439
01/01/2008	3:00	0.12	5.27	-34.09049
01/01/2008	4:00	0.17	3.73	-34.39302
01/01/2008	5:00	0.21	2.56	-34.71687
01/01/2008	6:00	0.25	1.72	-35.04473
01/01/2008	7:00	0.29	1.2	-35.37521
01/01/2008	8:00	0.33	1.06	-35.70486
01/01/2008	9:00	0.38	1.16	-36.02944
01/01/2008	10:00	0.42	1.7	-36.34424
01/01/2008	11:00	0.46	3.66	-36.64435
01/01/2008	12:00	0.5	5.71	-36.92477
01/01/2008	13:00	0.54	7.4	-37.18065
01/01/2008	14:00	0.58	8.64	-37.40741
01/01/2008	15:00	0.62	9.31	-37.60091
01/01/2008	16:00	0.67	9.47	-37.75765
01/01/2008	17:00	0.71	9.37	-37.87487
01/01/2008	18:00	0.75	9.43	-37.95067
01/01/2008	19:00	0.79	9.51	-37.98413
01/01/2008	20:00	0.83	9.42	-37.9753
01/01/2008	21:00	0.88	9.09	-37.92526
01/01/2008	22:00	0.92	8.52	-37.83605
01/01/2008	23:00	0.96	7.73	-37.71058
02/01/2008	0:00	1	6.77	-37.587
02/01/2008	1:00	1.04	4.88	-37.50056
02/01/2008	2:00	1.08	3.32	-37.51481
02/01/2008	3:00	1.12	2.31	-37.59307
02/01/2008	4:00	1.17	1.49	-37.71158
02/01/2008	5:00	1.21	0.99	-37.85873
02/01/2008	6:00	1.25	0.51	-38.02638
02/01/2008	7:00	1.29	0.18	-38.20786
02/01/2008	8:00	1.33	0.06	-38.39727
02/01/2008	9:00	1.38	0.15	-38.58914
02/01/2008	10:00	1.42	0.48	-38.77836
02/01/2008	11:00	1.46	0.86	-38.96005
02/01/2008	12:00	1.5	2.16	-39.12966
02/01/2008	13:00	1.54	3.52	-39.28296
02/01/2008	14:00	1.58	4.4	-39.41613
02/01/2008	15:00	1.62	4.96	-39.52584
02/01/2008	16:00	1.67	5.22	-39.60932
02/01/2008	17:00	1.71	5.18	-39.66441
02/01/2008	18:00	1.75	5.17	-39.68965
02/01/2008	19:00	1.79	5.2	-39.6843
02/01/2008	20:00	1.83	5.15	-39.64835
02/01/2008	21:00	1.88	4.96	-39.58254
02/01/2008	22:00	1.92	4.62	-39.48827
02/01/2008	23:00	1.96	4.16	-39.36762
03/01/2008	0:00	2	3.59	-39.24979
03/01/2008	1:00	2.04	3.12	-39.17899
03/01/2008	2:00	2.08	2.76	-39.1938
03/01/2008	3:00	2.12	2.19	-39.26947
03/01/2008	4:00	2.17	1.83	-39.38375
03/01/2008	5:00	2.21	1.56	-39.52572
03/01/2008	6:00	2.25	1.38	-39.68752
03/01/2008	7:00	2.29	1.26	-39.86262
03/01/2008	8:00	2.33	1.21	-40.04379
03/01/2008	9:00	2.38	1.25	-40.22677
03/01/2008	10:00	2.42	1.47	-40.40679
03/01/2008	11:00	2.46	2.44	-40.57889
03/01/2008	12:00	2.5	3.28	-40.73842
03/01/2008	13:00	2.54	3.85	-40.88114
03/01/2008	14:00	2.58	4.2	-41.0032
03/01/2008	15:00	2.62	4.31	-41.10125
03/01/2008	16:00	2.67	4.18	-41.17253
03/01/2008	17:00	2.71	3.82	-41.2149
03/01/2008	18:00	2.75	3.56	-41.22695
03/01/2008	19:00	2.79	3.46	-41.20797
03/01/2008	20:00	2.83	3.38	-41.158
03/01/2008	21:00	2.88	3.27	-41.07785
03/01/2008	22:00	2.92	3.13	-40.96898
03/01/2008	23:00	2.96	2.95	-40.83352
04/01/2008	0:00	3	2.73	-40.70128
04/01/2008	1:00	3.04	3.38	-39.47827
04/01/2008	2:00	3.08	3.38	-38.99512
04/01/2008	3:00	3.12	3.19	-38.70532
04/01/2008	4:00	3.17	2.95	-38.51906
04/01/2008	5:00	3.21	2.73	-38.39977
04/01/2008	6:00	3.25	2.57	-38.3266
04/01/2008	7:00	3.29	2.48	-38.28539
04/01/2008	8:00	3.33	2.48	-38.26548
04/01/2008	9:00	3.38	2.71	-38.25821
04/01/2008	10:00	3.42	3.36	-38.25627
04/01/2008	11:00	3.46	4.14	-38.2533
04/01/2008	12:00	3.5	4.91	-38.24379
04/01/2008	13:00	3.54	5.57	-38.22294
04/01/2008	14:00	3.58	6.05	-38.18663
04/01/2008	15:00	3.62	6.33	-38.1315
04/01/2008	16:00	3.67	6.35	-38.0549
04/01/2008	17:00	3.71	6.13	-37.95493
04/01/2008	18:00	3.75	5.97	-37.83045
