time	PAR	temp	PN	
00:00:10	349	21.10	5.40	
00:00:26	344	21.30	4.90	
00:00:42	341	21.20	5.30	
00:00:58	342	21.30	5.40	
00:01:14	357	21.30	5.00	
00:01:30	355	21.30	5.60	
00:01:46	381	21.30	5.20	
00:02:02	349	21.20	5.10	
00:02:18	348	21.20	5.60	
00:02:34	344	21.20	5.40	
00:02:50	334	21.20	5.40	
00:03:06	323	21.20	5.70	
00:03:22	312	21.20	5.20	
00:03:38	304	21.10	5.90	
00:03:54	302	21.00	5.50	
00:04:00	309	21.00	5.50	
00:04:25	331	20.90	6.10	
00:04:41	331	20.90	6.10	
00:04:57	370	20.90	6.00	
00:05:13	560	21.30	6.30	
00:05:29	767	21.80	7.50	
00:05:45	782	22.10	8.00	
00:06:01	667	22.30	8.60	
00:06:17	667	22.00	8.20	
00:06:33	652	22.00	8.60	
00:06:49	529	21.70	8.90	
00:07:05	425	21.40	9.10	
00:07:21	450	21.20	9.30	
00:07:37	399	21.10	8.90	
00:07:53	388	21.10	10.00	
00:08:00	383	21.00	9.40	
00:08:25	390	21.00	9.40	
00:08:41	415	21.00	9.30	
00:08:56	393	21.00	9.60	
00:09:12	404	20.90	10.10	
00:09:28	461	21.00	10.60	
00:09:44	404	20.90	11.20	
00:10:00	422	20.90	11.10	
00:10:16	363	20.80	10.50	
00:10:32	338	20.60	10.20	
00:10:48	330	20.50	9.40	
00:11:04	332	20.50	9.00	
00:11:20	366	20.50	9.00	
00:11:36	357	20.60	9.10	
00:11:52	403	20.70	8.70	
00:12:08	333	20.80	9.20	
00:12:24	298	20.70	8.80	
00:12:40	294	20.50	7.50	
00:12:56	302	20.50	7.60	
00:13:12	340	20.60	6.30	
00:13:28	322	20.60	6.50	
00:13:43	346	20.50	5.40	
00:13:59	349	20.50	5.40	
00:14:15	346	20.30	5.60	
00:14:31	347	20.30	4.80	
00:14:47	340	20.30	5.10	
00:15:03	347	20.30	5.10	
00:15:19	356	20.30	5.50	
00:15:35	329	20.20	5.10	
00:15:51	319	20.30	4.80	
00:16:07	320	20.30	4.70	
00:16:23	319	20.30	5.30	
00:16:39	308	20.30	5.50	
00:16:55	309	20.30	4.70	
00:17:11	324	20.30	4.90	
00:17:27	338	20.40	5.10	
00:17:43	330	20.50	5.50	
00:17:59	319	20.60	6.00	
00:18:14	318	20.70	5.60	
00:18:30	321	20.70	5.50	
00:18:46	325	20.70	5.70	
00:19:02	330	20.80	6.30	
00:19:18	324	20.70	6.50	
00:19:34	337	20.70	6.40	
00:19:50	338	20.70	6.30	
00:20:06	353	20.60	6.70	
00:20:22	513	20.70	7.40	
00:20:38	553	20.80	8.00	
00:20:54	472	20.90	8.70	
00:21:00	370	20.70	9.10	
00:21:26	296	20.30	9.10	
00:21:42	278	20.10	8.00	
00:21:58	264	19.80	7.10	
00:22:14	253	19.60	7.10	
00:22:30	243	19.50	6.70	
