Date	Tmin	Tmax			
14/05/1996	18.4	37.8			
15/05/1996	20	36.1			
16/05/1996	21.1	36.1			
17/05/1996	18.8	35.4			
18/05/1996	18.9	38.3			
19/05/1996	19.1	36.6			
20/05/1996	18.1	34.4			
21/05/1996	16.4	35.6			
22/05/1996	19.3	33.4			
23/05/1996	19.2	30.8			
24/05/1996	17.6	26.8			
25/05/1996	17.1	25.5			
26/05/1996	12	27.7			
27/05/1996	17.1	33.6			
28/05/1996	17.2	33.4			
29/05/1996	17.5	34.6			
30/05/1996	16.4	33.4			
31/05/1996	15.5	34.1			
01/06/1996	15.2	38.4			
02/06/1996	18.2	41.1			
03/06/1996	18.6	43			
04/06/1996	18.7	42.3			
05/06/1996	19.9	43.5			
06/06/1996	20.1	41.5			
07/06/1996	21	42			
08/06/1996	21.6	42.5			
09/06/1996	21.4	41.6			
10/06/1996	21	41.5			
11/06/1996	21.2	40.4			
12/06/1996	22.6	40.3			
13/06/1996	22.6	37.8			
14/06/1996	24.2	40.4			
15/06/1996	22.3	40			
16/06/1996	18.5	40.3			
17/06/1996	21.1	40.8			
18/06/1996	21.2	41.6			
19/06/1996	21.3	42.6			
20/06/1996	24.3	42.4			
21/06/1996	24.6	40.2			
22/06/1996	19	37.1			
23/06/1996	18.4	38.9			
24/06/1996	18.2	39			
25/06/1996	17.6	38.9			
26/06/1996	21	36			
27/06/1996	19.7	34.6			
28/06/1996	16.6	35.7			
29/06/1996	16.8	40.7			
30/06/1996	28.2	41.5			
01/07/1996	24.7	43.8			
02/07/1996	25.2	42.6			
03/07/1996	27.7	40.9			
04/07/1996	27.4	41.9			
05/07/1996	30.2	42.7			
06/07/1996	28.5	42.9			
07/07/1996	28.1	40.9			
08/07/1996	30.3	40.5			
09/07/1996	24.3	34.2			
10/07/1996	27.1	38			
11/07/1996	28.2	39.6			
12/07/1996	26.6	40.1			
13/07/1996	27.8	39.8			
14/07/1996	24.3	38.2			
15/07/1996	23.1	35			
16/07/1996	26.2	37			
17/07/1996	23.2	39.5			
18/07/1996	24	40.9			
19/07/1996	22.4	42.1			
20/07/1996	24.4	40.8			
21/07/1996	24.4	41.4			
22/07/1996	27.2	42.3			
23/07/1996	25.4	41.5			
24/07/1996	27	41.3			
25/07/1996	23	41.3			
26/07/1996	23.3	38.2			
27/07/1996	24.9	40.9			
28/07/1996	26	40.7			
29/07/1996	26.4	42.1			
30/07/1996	27.6	44.8			
31/07/1996	26.3	45			
01/08/1996	26.8	39.2			
02/08/1996	26.8	38.3			
03/08/1996	27.6	39.3			
04/08/1996	24.9	38.4			
05/08/1996	21.5	38.5			
06/08/1996	21.4	39.1			
07/08/1996	21.4	41.9			
08/08/1996	24.9	42.9			
09/08/1996	26.3	39.5			
10/08/1996	25.9	41.5			
11/08/1996	28	43.7			
12/08/1996	27.5	44.6			
13/08/1996	26.4	42.2			
14/08/1996	25.8	41.1			
15/08/1996	23.2	39.8			
16/08/1996	24.5	41.6			
17/08/1996	25.4	38.7			
18/08/1996	24.7	38.4			
19/08/1996	22.8	38			
20/08/1996	25.9	39.4			
21/08/1996	27.1	41			
22/08/1996	27	41.3			
