*crop_optimiser::Farm	FarmType	SoilType	FarmSize	FarmRealID
1	Other	Sand	business	243581
2	Other	Sand	private	420865
3	Other	Sand	business	480258
4	Cattle	Other	business	253642
5	Cattle	Other	business	258037
6	Cattle	Other	business	275689
7	Cattle	Other	business	422591
8	Cattle	Other	business	440123
9	Cattle	Clay	private	267816
10	Cattle	Clay	business	373965
11	Cattle	Sand	business	235226
12	Cattle	Sand	private	241891
13	Cattle	Sand	private	247119
14	Cattle	Sand	business	257963
15	Cattle	Sand	business	271000
16	Cattle	Sand	business	273889
17	Cattle	Sand	private	279642
18	Cattle	Sand	business	283098
19	Cattle	Sand	private	290902
20	Cattle	Sand	business	316184
21	Cattle	Sand	business	327780
22	Cattle	Sand	business	328434
23	Cattle	Sand	business	328561
24	Cattle	Sand	private	344335
25	Cattle	Sand	business	346426
26	Cattle	Sand	business	359074
27	Cattle	Sand	business	359665
28	Cattle	Sand	business	363943
29	Cattle	Sand	business	365138
30	Cattle	Sand	private	382499
31	Cattle	Sand	private	401040
32	Cattle	Sand	business	409583
33	Cattle	Sand	business	415675
34	Cattle	Sand	business	422931
35	Cattle	Sand	business	425248
36	Cattle	Sand	business	425576
37	Cattle	Sand	private	432097
38	Cattle	Sand	private	432238
39	Cattle	Sand	business	436563
40	Cattle	Sand	business	446242
41	Cattle	Sand	business	457886
42	Cattle	Sand	business	458346
43	Cattle	Sand	private	460819
44	Cattle	Sand	private	466168
45	Cattle	Sand	business	467185
46	Cattle	Sand	business	474840
47	Cattle	Sand	business	475004
48	Cattle	Sand	business	476636
49	Cattle	Sand	business	485688
50	Cattle	Sand	private	492129
51	Cattle	Sand	business	505243
52	Cattle	Sand	business	540096
53	Cattle	Sand	business	709961
54	Plant	Other	business	242040
55	Plant	Other	business	254383
56	Plant	Other	business	258283
57	Plant	Other	private	262380
58	Plant	Other	business	272531
59	Plant	Other	private	279773
60	Plant	Other	business	296159
61	Plant	Other	private	301871
62	Plant	Other	business	303436
63	Plant	Other	business	333903
64	Plant	Other	business	343731
65	Plant	Other	private	345150
66	Plant	Other	private	374395
67	Plant	Other	business	430899
68	Plant	Other	business	438642
69	Plant	Other	business	451463
70	Plant	Other	business	463737
71	Plant	Other	business	465744
72	Plant	Other	business	471038
73	Plant	Other	private	479036
74	Plant	Other	business	494747
75	Plant	Other	private	496411
76	Plant	Other	private	503695
77	Plant	Other	business	510225
78	Plant	Other	business	511925
79	Plant	Other	business	557177
80	Plant	Other	private	569923
81	Plant	Clay	private	237039
82	Plant	Clay	business	252664
83	Plant	Clay	business	300614
84	Plant	Clay	business	365020
85	Plant	Clay	business	394210
86	Plant	Clay	business	413082
87	Plant	Clay	private	465337
88	Plant	Clay	private	477878
89	Plant	Clay	business	498400
90	Plant	Clay	business	551556
91	Plant	Sand	private	232040
92	Plant	Sand	private	232551
93	Plant	Sand	business	233385
94	Plant	Sand	business	233770
95	Plant	Sand	private	234281
96	Plant	Sand	private	239938
97	Plant	Sand	business	240012
98	Plant	Sand	business	246365
99	Plant	Sand	private	253543
100	Plant	Sand	business	254743
101	Plant	Sand	business	255169
102	Plant	Sand	private	258297
103	Plant	Sand	business	259373
104	Plant	Sand	business	266981
105	Plant	Sand	business	270209
106	Plant	Sand	private	271173
107	Plant	Sand	business	272769
108	Plant	Sand	private	274188
109	Plant	Sand	business	276870
110	Plant	Sand	business	279297
111	Plant	Sand	business	280475
112	Plant	Sand	business	281313
113	Plant	Sand	business	283002
114	Plant	Sand	business	283391
115	Plant	Sand	business	284325
116	Plant	Sand	private	284423
117	Plant	Sand	private	286797
118	Plant	Sand	business	293437
119	Plant	Sand	private	293742
120	Plant	Sand	private	298737
121	Plant	Sand	business	299396
122	Plant	Sand	business	302696
123	Plant	Sand	business	305770
124	Plant	Sand	private	306341
125	Plant	Sand	private	307435
126	Plant	Sand	private	309178
127	Plant	Sand	business	311622
128	Plant	Sand	private	313918
129	Plant	Sand	business	318876
130	Plant	Sand	business	321922
131	Plant	Sand	business	322565
132	Plant	Sand	business	332419
133	Plant	Sand	private	333406
134	Plant	Sand	private	337829
135	Plant	Sand	private	339214
136	Plant	Sand	business	339694
137	Plant	Sand	private	343930
138	Plant	Sand	business	344945
139	Plant	Sand	private	345893
140	Plant	Sand	business	347171
141	Plant	Sand	business	350100
142	Plant	Sand	private	351636
143	Plant	Sand	private	352990
144	Plant	Sand	private	354208
145	Plant	Sand	business	355326
146	Plant	Sand	business	357218
147	Plant	Sand	business	358668
148	Plant	Sand	business	359809
149	Plant	Sand	business	362327
150	Plant	Sand	private	362600
